"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자","관리주체",
"105","병원","01_01_01_P","4261000","PHMA220094260015021200001","2009-10-28","","03","폐업","03","폐업","2012-03-22","2011-12-16","2012-03-16","","345-7171","","225-808","강원특별자치도 횡성군 횡성읍 읍하리 484번지 1호","강원특별자치도 횡성군 횡성읍 삼일로81번길 40","225-808","횡성제일병원","2012-03-23 10:02:10","I","2023-06-13 00:00:00","병원","286966.897533628","444220.776857603","병원","10","6","98","2628.48","101 102 122 301 103","내과, 신경과, 정신건강의학과, 가정의학과, 한방내과","","","","0","0","","","0","","시군구",
"106","병원","01_01_01_P","4261000","PHMA220124260015021200001","2012-10-22","","03","폐업","03","폐업","2018-06-01","2017-09-08","2018-05-31","","033-345-8275","","225-808","강원특별자치도 횡성군 횡성읍 읍하리 484번지 1호","강원특별자치도 횡성군 횡성읍 삼일로81번길 40","25217","횡성진병원","2018-05-31 16:19:44","I","2023-06-13 00:00:00","병원","286966.897533628","444220.776857603","병원","8","22","100","2100","101 104 110 106 105","내과, 외과, 정형외과, 신경외과, 산부인과","","","","0","0","","","0","","시군구",
"107","병원","01_01_01_P","4261000","PHMA219884260015021200001","1988-07-14","","01","영업/정상","13","영업중","","","","","033-343-0901","2990.57","225-800","강원특별자치도 횡성군 횡성읍 입석리","강원특별자치도 횡성군 횡성읍 횡성로 275","225-800","횡성대성병원","2024-08-12 10:23:55","U","2024-08-14 02:40:00","병원","286612.789231186","442256.80743604","병원","16","31","104","2990.57","116 109 108 106 105 101","내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 영상의학과","","","","0","0","","","0","","시도",
"108","병원","01_01_01_P","4261000","PHMA220164260015021200001","2016-10-07","","04","취소/말소/만료/정지/중지","24","직권폐업","2020-06-09","","","","033-340-9700","","","","강원특별자치도 횡성군 횡성읍 읍상서로 21","25232","횡성하나요양병원","2020-07-04 12:46:31","I","2023-06-13 00:00:00","요양병원(일반요양병원)","287262.274150206","443630.578461615","요양병원(일반요양병원)","3","0","0","1778","122 114 105 104 102 101","내과, 신경과, 외과, 정형외과, 피부과, 가정의학과","","","","0","0","","","0","","시군구",
"109","병원","01_01_01_P","4271000","PHMA220064270014021200001","2006-09-29","","01","영업/정상","13","영업중","","","","","033-372-0691","1661.9","","","강원특별자치도 영월군 영월읍 남중골길 5-  (5)","00000","영월요양병원","2025-03-27 16:44:51","U","2025-03-29 02:40:00","요양병원(일반요양병원)","336597.808711362","409924.894034941","요양병원(일반요양병원)","4","27","81","1661.9","308 307 306 305 304 303 302 301 122 120 102 101","내과, 신경과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","","시도",
"110","병원","01_01_01_P","4271000","PHMA219834270014021200002","1983-07-01","","01","영업/정상","13","영업중","","","","","033-370-9101","14179","","","강원특별자치도 영월군 영월읍 중앙1로 59-  ( )","00000","강원특별자치도영월의료원","2024-11-28 14:21:26","U","2024-11-30 02:40:00","종합병원","330027.341653817","410409.983715698","종합병원","56","60","188","14179","412 119 116 114 112 111 110 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 피부과, 영상의학과, 진단검사의학과, 통합치의학과","","","","0","0","","","0","","시도",
"111","병원","01_01_01_P","4281000","PHMA220154280009021200001","2015-08-13","","01","영업/정상","13","영업중","","","","","033-335-7582","2096","","","강원특별자치도 평창군 봉평면 기풍로 199","25304","해오름자연요양병원","2023-09-05 09:46:33","U","2023-09-07 02:40:00","요양병원(일반요양병원)","321414.822893207","458363.631656906","요양병원(일반요양병원)","4","28","50","2096","122 104 101","내과, 외과, 가정의학과","","","","0","0","","","0","","시군구",
"112","병원","01_01_01_P","4281000","PHMA220064280009021200001","2006-05-12","","01","영업/정상","13","영업중","","","","","033-336-0216","","232-921","강원특별자치도 평창군 봉평면 원길리 325","강원특별자치도 평창군 봉평면 북길동길 17","25302","혜민요양병원","2021-06-09 09:40:00","I","2023-06-13 00:00:00","요양병원(일반요양병원)","321485.022784764","458761.537725319","요양병원(일반요양병원)","12","22","72","1145.28","109 122","마취통증의학과, 가정의학과","","","","0","0","","","0","","시군구",
"113","병원","01_01_01_P","4291000","PHMA219984290013021200001","1998-07-20","","03","폐업","03","폐업","2012-11-01","","","","033-592-4057","","","강원특별자치도 정선군 고한읍 고한12리 120-50","강원특별자치도 정선군 고한읍 고한로 39","233-812","고한성심병원","2014-06-11 16:23:03","I","2023-06-13 00:00:00","병원","363601.452169515","413358.293340804","병원","3","23","67","948.86","101 116","내과, 영상의학과","","","","0","0","","","0","","시군구",
"114","병원","01_01_01_P","4291000","PHMA220084290013021200001","2008-01-30","","03","폐업","03","폐업","2014-03-19","","","","033-591-2460","","","강원특별자치도 정선군 고한읍 고한리 39-6","강원특별자치도 정선군 고한읍 고한9길 26","233-810","한일병원","2014-03-19 13:54:08","I","2023-06-13 00:00:00","병원","365064.932790152","412177.92162491","병원","4","14","51","946.95","101 105 110 111","내과, 정형외과, 산부인과, 소아청소년과","","","","0","0","","","0","","시군구",
"115","병원","01_01_01_P","4291000","PHMA219774290013021200001","1977-05-01","","03","폐업","03","폐업","2016-04-01","","","","033-592-3121","","","강원특별자치도 정선군 사북읍 사북1리 305-16","강원특별자치도 정선군 사북읍 지장천로 727","26150","한국병원","2016-04-01 17:57:20","I","2023-06-13 00:00:00","병원","362023.877879962","415331.483541067","병원","9","29","100","7127.93","105 122 115","정형외과, 비뇨의학과, 가정의학과","","","","0","0","","","0","","시군구",
"116","병원","01_01_01_P","4291000","PHMA220164290013021200001","2016-04-01","","01","영업/정상","13","영업중","","","","","033592-3121","6602.66","","","강원특별자치도 정선군 사북읍 지장천로 727","26150","정선군립병원","2025-06-30 16:38:15","U","2025-07-02 02:40:00","병원","362023.877879962","415331.483541067","병원","13","10","30","6602.66","","","","","","0","0","","","0","","시도",
"117","병원","01_01_01_P","4291000","PHMA219884290013021200001","1988-11-21","","01","영업/정상","13","영업중","","","","","033-560-7100","11177.66","","강원특별자치도 정선군 정선읍 봉양4리 430-8","강원특별자치도 정선군 정선읍 봉양1길 145","26129","근로복지공단정선병원","2024-11-26 14:04:32","U","2024-11-28 02:40:00","병원","346855.588954997","432530.667942067","병원","51","50","149","11177.66","124 116 101","내과, 영상의학과, 직업환경의학과","","","","0","0","","","0","","시도",
"118","병원","01_01_01_P","4301000","PHMA220064300012021200001","2006-12-12","","03","폐업","03","폐업","2008-12-08","2008-08-06","2008-12-06","","033-456-2119","","269-816","강원특별자치도 철원군 동송읍 이평리 730번지 8호","강원특별자치도 철원군 동송읍 금학로157번길 23-17","","철원성모병원","2008-12-10 16:12:06","I","2023-06-13 00:00:00","병원","219225.238872663","522044.742484309","병원","1","21","98","1352.13","101 104 113 105 108 111 114 106 109 115 110","내과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","","시군구",
"119","병원","01_01_01_P","4301000","PHMA219884300012021200001","1988-07-20","","03","폐업","03","폐업","2017-11-01","","","","033-452-5011","","","강원특별자치도 철원군 갈말읍 군탄리 339번지","강원특별자치도 철원군 갈말읍 명성로 208 (철원길병원)","24034","철원길병원","2017-11-01 10:41:09","I","2023-06-13 00:00:00","병원","226929.100240543","516412.772602971","병원","27","30","139","5813.38","101 104 105 106 111 110 109 116 119 401","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과, 치과","","","","0","0","","","0","","시군구",
"120","병원","01_01_01_P","4301000","PHMA220094300012021200001","2009-05-13","","03","폐업","03","폐업","2010-02-11","2010-01-25","2010-03-01","","033-456-2119","","269-816","강원특별자치도 철원군 동송읍 이평리 730번지 8호","강원특별자치도 철원군 동송읍 금학로157번길 23-17","","철원성모병원","2010-02-11 16:18:33","I","2023-06-13 00:00:00","병원","219225.238872663","522044.742484309","병원","3","16","83","4909.91","101 104 106 105 111 114 115","내과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","","시군구",
"121","병원","01_01_01_P","4301000","PHMA220114300012021200001","2011-07-14","","01","영업/정상","13","영업중","","","","","033-455-3131","4897.61","","강원특별자치도 철원군 동송읍 이평리 730번지 8호","강원특별자치도 철원군 동송읍 금학로157번길 23-17 (철원성모병원)","24020","철원요양병원","2025-09-11 11:40:52","U","2025-09-13 02:40:00","요양병원(일반요양병원)","219225.238872663","522044.742484309","요양병원(일반요양병원)","20","28","154","4897.61","308 301 122 106 104","외과, 신경외과, 가정의학과, 한방내과, 침구과","","","","0","0","","","0","","시도",
"122","병원","01_01_01_P","4301000","PHMA220174300012021200001","2017-11-01","","01","영업/정상","13","영업중","","","","","033452-5011","6440.45","","","강원특별자치도 철원군 갈말읍 명성로 208-0","24034","철원병원","2025-03-20 10:04:02","U","2025-03-22 02:40:00","병원","226929.100240543","516412.772602971","병원","30","26","68","6440.45","119 116 111 110 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과","","","","0","0","","","0","","시도",
"123","병원","01_01_01_P","4321000","PHMA220024320010021200001","2002-01-23","","01","영업/정상","13","영업중","","","","","033-480-8803","2110.15","255-804","강원특별자치도 양구군 양구읍 상리 256-5,9번지","강원특별자치도 양구군 양구읍 중심로 160","255-800","의료법인 성심의료재단 양구성심병원","2024-09-24 17:54:51","U","2024-09-26 02:40:00","병원","286866.041727519","511784.781771199","병원","15","19","49","2110.15","125 111 110 105 101","내과, 정형외과, 산부인과, 소아청소년과, 응급의학과","","","","0","0","","","0","","시도",
"124","병원","01_01_01_P","4321000","PHMA219984320010021200001","1988-05-02","","01","영업/정상","13","영업중","","","","","033-854-7114","1345.2","255-806","강원특별자치도 양구군 양구읍 정림리 188-3번지","강원특별자치도 양구군 양구읍 양구새싹로 7-7","255-806","의료법인 양구우리병원","2025-07-22 10:40:46","U","2025-07-24 02:40:00","병원","286428.645589124","511504.251536348","병원","15","15","52","1345.2","122 120 115 114 113 111 109 108 107 106 105 104 101","내과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시도",
"125","병원","01_01_01_P","4331000","PHMA220034330012021200001","2003-06-23","","02","휴업","02","휴업","","2019-08-09","2019-09-30","","033-462-0129","","252-847","강원특별자치도 인제군 기린면 현리982-2","강원특별자치도 인제군 기린면 내린천로 3760","24657","의료법인 지산의료재단 현인요양병원","2019-08-09 16:33:13","I","2023-06-13 00:00:00","요양병원(일반요양병원)","315254.628882192","493133.838730017","요양병원(일반요양병원)","2","14","74","2253.54","102 104","신경과, 외과","","","","0","0","","","0","","시군구",
"126","병원","01_01_01_P","4331000","PHMA220104330012021200001","2010-02-24","","03","폐업","03","폐업","2010-07-30","","","","033-462-2900","","252-822","강원특별자치도 인제군 북면 원통1리 727번지 1호","강원특별자치도 인제군 북면 원통로 138-3","252-824","원통중앙병원","2010-12-16 09:48:00","I","2023-06-13 00:00:00","병원","305282.96483062","513628.912261404","병원","5","7","35","1511.24","101 102 115 120 122","내과, 신경과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시군구",
"127","병원","01_01_01_P","4331000","PHMA220114330012021200001","2011-05-12","","03","폐업","03","폐업","2011-08-01","","","","033-461-2900","","252-822","강원특별자치도 인제군 북면 원통1리 727번지 1호","강원특별자치도 인제군 북면 원통로 138-3","252-824","동산병원","2011-08-02 08:50:09","I","2023-06-13 00:00:00","병원","305282.96483062","513628.912261404","병원","6","0","35","1393.04","101 122 111 120 113 115 114","내과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시군구",
"128","병원","01_01_01_P","4331000","PHMA220134330012021200001","2013-05-22","","03","폐업","03","폐업","2014-11-15","","","","033-460-0800","","252-841","강원특별자치도 인제군 기린면 방동리 1022번지","강원특별자치도 인제군 기린면 오류동길 116","252-841","시니어스인제병원","2014-11-10 10:57:14","I","2023-06-13 00:00:00","요양병원(일반요양병원)","318205.876344189","494394.014830014","요양병원(일반요양병원)","5","0","32","4139.14","122 101 104","내과, 외과, 가정의학과","","","","0","0","","","0","","시군구",
"129","병원","01_01_01_P","4331000","PHMA220084330012021200001","2008-04-22","","03","폐업","03","폐업","2009-06-15","2008-12-23","2009-03-23","","033-461-5400","","252-823","강원특별자치도 인제군 북 면 원통리727-1","","","현대병원","2009-06-15 15:44:41","I","2023-06-13 00:00:00","병원","","","병원","2","7","35","2875.43","101 102 105 114","내과, 신경과, 정형외과, 피부과","","","","0","0","","","0","","시군구",
"130","병원","01_01_01_P","4331000","PHMA220024330012021200001","2002-03-08","","01","영업/정상","13","영업중","","","","","033-461-0088","","252-806","강원특별자치도 인제군 인제읍 상동리256-2","강원특별자치도 인제군 인제읍 비봉로 19","24635","인제고려병원","2013-01-03 16:09:37","I","2023-06-13 00:00:00","병원","302912.73125824","507859.14990635","병원","4","12","42","1259.71","101 105 108 113","내과, 정형외과, 성형외과, 이비인후과","","","","0","0","","","0","","시군구",
"131","병원","01_01_01_P","6530000","200864200002000010","2008-06-01","","01","영업/정상","1","정상","","","","","0335207000","0","","","강원특별자치도 동해시 동해대로 5143-0,  (효가동)층 (효가동)","","동해금강요양병원","2025-09-26 14:40:24","U","2025-09-28 02:40:00","요양병원(일반요양병원)","386195.709266966","446636.179304561","의사","18","24","96","0","","","","","","0","0","","","0","","시도",
"132","병원","01_01_01_P","6530000","201564200002000008","2015-12-24","","01","영업/정상","1","정상","","","","","0335312500","6534.43","","강원특별자치도 동해시 천곡동  884번지 0호 동해요양병원 0호","강원특별자치도 동해시 중앙로 218-0, 동해요양병원층 (천곡동,동해요양병원)","","동해요양병원","2025-09-25 13:40:24","U","2025-09-27 02:40:00","요양병원(일반요양병원)","386974.192783286","448557.45116627","","42","47","289","6534.43","","","","","","0","0","","","0","","시도",
"133","병원","01_01_01_P","6530000","201064200002000002","2010-01-22","","01","영업/정상","1","정상","","","","","0332407500","4555","","","강원특별자치도 춘천시 동면 세실로 252","","춘천시노인전문병원","2025-10-17 11:08:27","U","2025-10-19 02:40:00","요양병원(일반요양병원)","266472.713057028","486655.634360717","","28","28","179","4555","","","","","","0","0","","","0","","시도",
"134","병원","01_01_01_P","6530000","201764200002000001","2017-05-12","","01","영업/정상","1","정상","","","","","0337326000","670.54","","","강원특별자치도 원주시 서원대로 188,  (단계동)층 (단계동)","","그랜드치과병원","2024-05-27 20:07:46","U","2024-05-29 02:40:00","치과병원","282529.751898657","427262.864678469","치과의사","2","0","0","670.54","","","","","","0","0","","","0","","시도",
"135","병원","01_01_01_P","6530000","201864200002000005","2018-09-17","","01","영업/정상","1","정상","","","","","0332565688","911.65","","","강원특별자치도 춘천시 중앙로 60-0,  (중앙로2가)층 (중앙로2가)","","영인요양병원","2025-08-22 11:23:00","U","2025-08-24 02:40:00","요양병원(일반요양병원)","263880.346242301","486625.49210852","","3","8","44","911.65","","","","","","0","0","","","0","","시도",
"136","병원","01_01_01_P","6530000","202064200002000003","2020-09-01","","01","영업/정상","1","정상","","","","","0336557579","2004.1","","","강원특별자치도 강릉시 솔올로 35-0, 3층~6층층 (교동)","","한가온한방병원","2025-10-17 11:09:47","U","2025-10-19 02:40:00","한방병원","365401.686801998","475287.218473391","한의사","18","25","66","2004.1","","","","","","0","0","","","0","","시도",
"137","병원","01_01_01_P","6530000","202064200002000004","2020-09-04","","01","영업/정상","1","정상","","","","","0337347500","1508.04","","","강원특별자치도 원주시 지정면 신지정로 190-0,  5~6층층","","신원주한방병원","2025-05-20 11:36:36","U","2025-05-22 02:40:00","한방병원","277508.30609863","430604.682729714","한의사","2","15","44","1508.04","","","","","","0","0","","","0","","시도",
"138","병원","01_01_01_P","6530000","200964200002000008","2009-10-28","","01","영업/정상","1","정상","","","","","0337331199","3635.19","","","강원특별자치도 원주시 남원로 562-5,  (개운동)층 (개운동)","","내안에병원","2025-09-08 08:52:23","U","2025-09-10 02:40:00","정신병원","284004.108457156","426211.92172411","의사","18","48","205","3635.19","","","","","","0","0","","","0","","시도",
"139","병원","01_01_01_P","6530000","201164200002000006","2011-10-28","","01","영업/정상","1","정상","","","","","0337476701","1520","","","강원특별자치도 원주시 원일로 176-1,  (학성동)층 (학성동)","","원주효요양병원","2025-07-11 11:18:58","U","2025-07-13 02:40:00","요양병원(일반요양병원)","283756.782954782","428388.408815569","","8","14","79","1520","","","","","","0","0","","","0","","시도",
"140","병원","01_01_01_P","6530000","198464200002000001","1984-12-10","","01","영업/정상","1","정상","","","","","0332405000","28462.8","","","강원특별자치도 춘천시 삭주로 77, 77층 (교동)","","한림대학교춘천성심병원","2025-10-17 11:08:44","U","2025-10-19 02:40:00","종합병원","264995.790705309","487048.050495199","","728","89","439","28462.8","","","","","","0","0","","","0","","시도",
"141","병원","01_01_01_P","6530000","200864200002000012","2008-10-20","","01","영업/정상","1","정상","","","","","0332519911","2355.52","","","강원특별자치도 춘천시 옛경춘로 663, 663층 (삼천동)","","춘천호반요양병원","2025-09-08 08:47:53","U","2025-09-10 02:40:00","요양병원(일반요양병원)","262179.991029736","484053.913065895","","31","33","156","2355.52","","","","","","0","0","","","0","","시도",
"142","병원","01_01_01_P","6530000","202164200002000002","2021-06-25","","01","영업/정상","1","정상","","","","","0332638100","1956.44","","","강원특별자치도 춘천시 남면 박암관천길 821-0","","춘천태동요양병원","2025-08-22 11:31:55","U","2025-08-24 02:40:00","요양병원(일반요양병원)","245533.487264355","469239.053751879","","4","26","56","1956.44","","","","","","0","0","","","0","","시도",
"143","병원","01_01_01_P","6530000","202164200002000003","2021-07-16","","01","영업/정상","1","정상","","","","","0337657501","1697.71","","","강원특별자치도 원주시 시청로 528-0,  3~5층 (관설동)층 (관설동)","","바른몸한방병원","2025-09-04 10:33:31","U","2025-09-06 02:40:00","한방병원","285566.842353589","424120.017865798","한의사","8","20","77","1697.71","","","","","","0","0","","","0","","시도",
"144","병원","01_01_01_P","6530000","202164200002000005","2021-10-27","","01","영업/정상","1","정상","","","","","0339100993","1336","","","강원특별자치도 춘천시 춘천로 188-0,  10층 (효자동)층 (효자동)","","365다담은한방병원","2025-08-22 11:28:34","U","2025-08-24 02:40:00","한방병원","264625.007546706","486195.45439825","한의사","21","16","46","1336","","","","","","0","0","","","0","","시도",
"145","병원","01_01_01_P","6530000","202264200002000001","2022-04-25","","01","영업/정상","1","정상","","","","","0337345844","1914.08","","","강원특별자치도 원주시 양지로 80-0,  6층 (반곡동)층 (반곡동)","","강남한방병원","2025-09-08 13:35:20","U","2025-09-10 02:40:00","한방병원","287336.98603588","425561.69150027","한의사","7","21","74","1914.08","","","","","","0","0","","","0","","시도",
"146","병원","01_01_01_P","6530000","198364200002000002","1983-07-01","","01","영업/정상","1","정상","","","","","0333709101","14267","","강원특별자치도 영월군 영월읍 영흥리 1072번지 0호 영월의료원 0호","강원특별자치도 영월군 영월읍 중앙1로 59-0, 영월의료원층 (영월의료원)","","강원특별자치도영월의료원","2025-10-24 16:33:22","U","2025-10-26 02:40:00","종합병원","330027.341653817","410409.983715698","","150","65","209","14267","","","","","","0","0","","","0","","시도",
"147","병원","01_01_01_P","6530000","198364200002000004","1983-07-01","","01","영업/정상","1","정상","","","","","0337604500","41401.52","","","강원특별자치도 원주시 서원대로 387,  (개운동)층 (개운동)","","강원특별자치도원주의료원","2025-10-17 11:01:16","U","2025-10-19 02:40:00","종합병원","284004.892022232","426080.573873519","의사","231","58","204","41401.52","","","","","","0","0","","","0","","시도",
"148","병원","01_01_01_P","6530000","198364200002000006","1983-07-01","","01","영업/정상","1","정상","","","","","0336101200","9231.26","","강원특별자치도 강릉시 남문동  164번지 1호 강릉의료원 1호","강원특별자치도 강릉시 경강로 2007-0, 강릉의료원층 (남문동,강릉의료원)","","강원특별자치도강릉의료원","2025-10-17 11:01:37","U","2025-10-19 02:40:00","종합병원","366422.253758707","473561.999489545","의사","117","43","173","9231.26","","","","","","0","0","","","0","","시도",
"149","병원","01_01_01_P","6530000","197764200002000003","1977-05-01","","01","영업/정상","1","정상","","","","","0335803114","19425.5","","","강원특별자치도 태백시 보드미길 8,  (장성동)층 (장성동)","","근로복지공단 태백병원","2025-10-24 16:40:16","U","2025-10-26 02:40:00","종합병원","378094.499102264","402124.576851536","","171","83","281","19425.5","","","","","","0","0","","","0","","시도",
"150","병원","01_01_01_P","6530000","198264200002000001","1982-07-08","","01","영업/정상","1","정상","","","","","0332582000","75746.3","","","강원특별자치도 춘천시 백령로 156, (효자동)층 (효자동)","","강원대학교병원","2025-10-24 16:39:15","U","2025-10-26 02:40:00","종합병원","265438.256393839","486072.554860519","의사","1028","193","693","75746.3","","","","","","0","0","","","0","","시도",
"151","병원","01_01_01_P","6530000","200664200002000004","2006-08-10","","01","영업/정상","1","정상","","","","","0332638275","2847.02","","","강원특별자치도 춘천시 서면 율장길 328","","암스트롱요양병원","2025-10-24 15:08:31","U","2025-10-26 02:40:00","요양병원(일반요양병원)","251297.162611282","485018.162573848","","7","34","62","2847.02","","","","","","0","0","","","0","","시도",
"152","병원","01_01_01_P","6530000","198364200002000007","1983-07-01","","01","영업/정상","1","정상","","","","","0336306000","13723.78","","","강원특별자치도 속초시 영랑호반길 3,  (영랑동)층 (영랑동)","","강원특별자치도속초의료원","2025-09-22 14:51:49","U","2025-09-24 02:40:00","종합병원","339079.48882574","524917.714740154","","111","54","192","13723.78","","","","","","0","0","","","0","","시도",
"153","병원","01_01_01_P","6530000","200664200002000006","2006-10-13","","01","영업/정상","1","정상","","","","","0335337741","2603.87","","","강원특별자치도 동해시 덕골길 76-40,  (천곡동)층 (천곡동)","","동해이레요양병원","2025-04-17 17:53:24","U","2025-04-19 02:40:00","요양병원(일반요양병원)","385324.062341138","448253.714969029","의사","19","30","158","2603.87","","","","","","0","0","","","0","","시도",
"154","병원","01_01_01_P","6530000","200364200002000007","2003-12-01","","01","영업/정상","1","정상","","","","","0337620100","7189.05","","","강원특별자치도 원주시 판부면 치악로 1139","","바른요양병원","2025-09-26 14:39:33","U","2025-09-28 02:40:00","요양병원(일반요양병원)","287769.044644282","421689.925766276","","48","74","300","7189.05","","","","","","0","0","","","0","","시도",
"155","병원","01_01_01_P","6530000","201564200002000001","2015-02-23","","01","영업/정상","1","정상","","","","","0336408800","4218.33","","강원특별자치도 강릉시 남문동  164번지 1호 강원특별자치도립강릉요양병원 1호","강원특별자치도 강릉시 경강로 2009-0, 강원특별자치도립강릉요양병원층 (남문동,강원특별자치도립강릉요양병원)","","강원특별자치도립 강릉요양병원","2025-09-18 11:25:13","U","2025-09-20 02:40:00","요양병원(일반요양병원)","","","","18","29","133","4218.33","","","","","","0","0","","","0","","시도",
"156","병원","01_01_01_P","6530000","201564200002000006","2015-09-21","","01","영업/정상","1","정상","","","","","0332550085","1429.42","","","강원특별자치도 춘천시 공지로 270-0,  (효자동)층 (효자동)","","베드로병원","2025-08-22 11:20:10","U","2025-08-24 02:40:00","정신병원","264636.115691457","485077.929690747","의사","7","14","73","1429.42","","","","","","0","0","","","0","","시도",
"157","병원","01_01_01_P","6530000","199964200002000001","1999-12-01","","01","영업/정상","1","정상","","","","","0332610999","4659.81","","","강원특별자치도 춘천시 동산면 새술막길 315-77, 315층","","의료법인 춘천서인병원","2025-10-24 15:08:51","U","2025-10-26 02:40:00","정신병원","264130.762308811","474489.513266524","의사","21","48","234","4659.81","","","","","","0","0","","","0","","시도",
"158","병원","01_01_01_P","6530000","201764200002000002","2017-08-16","","01","영업/정상","1","정상","","","","","03316702020","5222.15","","","강원특별자치도 원주시 원일로 230,  (학성동)층 (학성동)","","원주연세병원","2025-07-18 10:29:39","U","2025-07-20 02:40:00","병원","283550.429134371","428716.135471866","의사","48","47","171","5222.15","","","","","","0","0","","","0","","시도",
"159","병원","01_01_01_P","6530000","201764200002000004","2017-11-01","","01","영업/정상","1","정상","","","","","0334525011","6440.45","","","강원특별자치도 철원군 갈말읍 명성로 208-0","","철원병원","2025-10-24 16:32:51","U","2025-10-26 02:40:00","병원","226929.100240543","516412.772602971","의사","35","33","88","6440.45","","","","","","0","0","","","0","","시도",
"160","병원","01_01_01_P","6530000","202164200002000001","2021-01-28","","01","영업/정상","1","정상","","","","","0337499900","10957","","","강원특별자치도 원주시 혁신로 5-0,  1동 (반곡동,세인트병원)층 (반곡동)","","의료법인삼산의료재단 삼산병원","2025-10-17 11:07:01","U","2025-10-19 02:40:00","병원","286368.932064117","425375.093838049","","25","67","234","10957","","","","","","0","0","","","0","","시도",
"161","병원","01_01_01_P","6530000","202164200002000004","2021-07-22","","01","영업/정상","1","정상","","","","","03315223375","3909.32","","강원특별자치도 원주시 개운동  452번지 5호 5호","강원특별자치도 원주시 남원로 556-0 (개운동)","","원주프라임병원","2025-10-17 11:09:39","U","2025-10-19 02:40:00","병원","283947.615566162","426147.949254198","의사","23","22","84","3909.32","","","","","","0","0","","","0","","시도",
"162","병원","01_01_01_P","6530000","202164200002000006","2021-12-08","","01","영업/정상","1","정상","","","","","0338131111","4963.19","","","강원특별자치도 원주시 평원로 100-0,  (학성동)층 (학성동)","","연세명인병원","2025-10-24 15:07:01","U","2025-10-26 02:40:00","병원","283992.304984137","428352.538835144","의사","72","40","139","4963.19","","","","","","0","0","","","0","","시도",
"163","병원","01_01_01_P","6530000","199064200002000001","1990-03-05","","01","영업/정상","1","정상","","","","","0337435412","0","","강원특별자치도 원주시 학성동  1023번지 68호 원주카톨릭병원 68호","강원특별자치도 원주시 남산로 199-0, 원주카톨릭병원층 (학성동,원주카톨릭병원)","","원주카톨릭병원","2025-02-19 09:24:40","U","2025-02-21 02:40:00","병원","283316.518675463","428391.532010113","","5","28","75","0","","","","","","0","0","","","0","","시도",
"164","병원","01_01_01_P","6530000","200364200002000006","2003-04-15","","01","영업/정상","1","정상","","","","","0337439840","0","","강원특별자치도 원주시 우산동  70번지 3호 3호","강원특별자치도 원주시 북원로 2572 (우산동)","","원주우리병원","2025-10-24 15:13:40","U","2025-10-26 02:40:00","병원","283509.223349557","430585.872619365","의사","7","18","94","0","내과, 정형외과","내과, 정형외과","","","","0","0","","","0","","시도",
"165","병원","01_01_01_P","6530000","202465300002000002","2024-09-06","","01","영업/정상","1","정상","","","","","0338122882","2244","","","강원특별자치도 원주시 만대공원길 59-0,  4~6층 (무실동)층 (무실동)","","서울매일치과병원","2025-05-20 13:15:53","U","2025-05-22 02:40:00","치과병원","","","치과의사","10","0","0","2244","","","","","","0","0","","","0","","시도",
