"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"167","관광숙박업","03_11_01_P","4231000","CDFI2260031989000001","1989-07-24","","01","영업/정상","13","영업중","","","","","033-630-5637","","","강원특별자치도 속초시 장사동 24-40","강원특별자치도 속초시 미시령로2983번길 16, 한화콘도미니엄(신관) (장사동)","24801","한화호텔앤드리조트(주) 별관","2025-10-23 14:43:38","U","2025-10-26 02:40:00","","334472.81464082","523534.75442478","관광숙박업","","","8","","","","","7","1","796","64336","HANWHA HOTEL & RESORT CONDOMINIUM","TOURIST ACCOMODATION(CONDOMINIUM)","0","0","","0","0","","0","11399","","0","","","","","","","0","","","","11399","휴양콘도미니엄업",
"168","관광숙박업","03_11_01_P","4231000","CDFI2260031991000001","1991-07-29","","01","영업/정상","13","영업중","","","","","033-635-5800","","","강원특별자치도 속초시 노학동 746-96","강원특별자치도 속초시 관광로408번길 14 (노학동)","24859","설악파인리조트 휴양콘도미니엄","2024-10-23 14:47:59","U","2024-10-26 02:40:00","","334748.677009013","522552.478010903","관광숙박업","관광사업","자연녹지지역","10","기타","","","콘도미니엄","9","1","141","18296","SEORAK PINE RESORT CONDOMINIUM","Resort Condominium","0","0","","0","0","","0","18363.23","","0","","","","","","","0","","","","18363","휴양콘도미니엄업",
"169","관광숙박업","03_11_01_P","4231000","CDFI2260031993000001","1993-06-02","","01","영업/정상","13","영업중","","","","","033-635-9090","","","강원특별자치도 속초시 노학동 729-3","강원특별자치도 속초시 이목로 153 (노학동)","24859","주식회사 현대수리조트","2024-10-23 14:48:42","U","2024-10-26 02:40:00","","335346.035989127","522985.930163102","관광숙박업","관광사업","녹지지역","10","기타","","","콘도미니엄","10","2","475","40351","","","0","0","","0","0","","0","5998.97","","0","","","","","","","200000000","","","","5999","휴양콘도미니엄업",
"170","관광숙박업","03_11_01_P","4231000","CDFI2260031996000001","1996-05-28","","01","영업/정상","13","영업중","","","","","033-635-9631","","","강원특별자치도 속초시 대포동 790-4","강원특별자치도 속초시 동해대로 3707 (대포동)","24902","베니키아호텔 산과바다 속초","2024-01-29 14:00:37","U","2024-01-31 02:40:00","","340804.615814931","519518.999123705","관광숙박업","관광사업","자연녹지지역","8","기타","","","근린생활시설","7","1","62","6921","","","0","0","","0","0","","0","6920.84","","0","","","","","","","100000000","","","","6921","가족호텔업",
"171","관광숙박업","03_11_01_P","4231000","CDFI2260031996000002","1996-02-01","","01","영업/정상","13","영업중","","","","","033-636-7540","","","강원특별자치도 속초시 도문동 155","강원특별자치도 속초시 설악산로 470-7 (도문동)","24904","더케이호텔앤리조트(주) 더케이설악산가족호텔","2025-07-18 13:35:05","U","2025-07-20 02:40:00","","336198.408904293","519310.752368986","관광숙박업","관광사업","자연녹지지역","4","기타","","","호텔","3","1","77","8509","The K Hotel & Resort Co., Ltd. The K Seoraksan Family Hotel","Family Hotel","0","0","","0","0","","0","8508.72","","0","","","","","","","22799999000","","","","8509","가족호텔업",
"172","관광숙박업","03_11_01_P","4231000","CDFI2260031997000001","1997-06-07","","01","영업/정상","13","영업중","","","","","033-636-8000","","","강원특별자치도 속초시 노학동 795-4","강원특별자치도 속초시 사당골길 43 (노학동)","24868","금호리조트(주)설악","2024-10-23 14:49:11","U","2024-10-26 02:40:00","","335609.256308455","521287.977235485","관광숙박업","관광사업","자연녹지지역","9","기타","","","콘도미니엄","9","2","247","28426","","","0","0","","0","0","","0","28426.47","","0","","","","","","","0","","","","28426","휴양콘도미니엄업",
"173","관광숙박업","03_11_01_P","4231000","CDFI2260031997000002","1997-12-11","","01","영업/정상","13","영업중","","","","","033-638-0777","","","강원특별자치도 속초시 노학동 416-1","강원특별자치도 속초시 싸리재길 247-20 (노학동)","24868","연호콘도미니엄","2023-01-26 11:00:15","I","2023-06-13 00:00:00","","336475.508071443","521234.06668967","관광숙박업","관광사업","","12","","","","콘도미니엄","10","2","119","14253","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
"174","관광숙박업","03_11_01_P","4231000","CDFI2260032003000001","2003-07-21","","01","영업/정상","13","영업중","","","","","033-637-9925","","","강원특별자치도 속초시 조양동 1432-1","강원특별자치도 속초시 해오름로 204 (조양동)","24886","호텔굿모닝","2024-10-23 10:35:40","U","2024-10-26 02:40:00","","340126.15392209","522058.947980908","관광숙박업","관광사업","일반상업지역","11","기타","","","호텔","10","1","88","4987","","","0","0","","0","0","","0","4986.92","","0","","","","","","","0","","","","4987","가족호텔업",
"175","관광숙박업","03_11_01_P","4231000","CDFI2260032022000002","2022-07-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 도문동 1486-1","강원특별자치도 속초시 하도문길 50, 1,2층 (도문동)","24902","하도문 스테이","2023-01-19 11:51:15","I","2023-06-13 00:00:00","","340101.79195244","519271.314180619","관광숙박업","","일반주거지역","2","기타","","","숙박시설","2","0","5","525","","","0","0","","0","0","","0","525.21","","0","","","","","","","0","","","","525","호스텔업",
"176","관광숙박업","03_11_01_P","4231000","CDFI2260032022000003","2022-08-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 장사동 647-12","강원특별자치도 속초시 영랑호반길 591, 3층 (장사동)","24805","레이크스톤","2023-01-19 11:54:07","I","2023-06-13 00:00:00","","338732.694865725","525535.752051692","관광숙박업","","자연녹지지역","3","학교정화(상대)","","","숙박시설","3","0","2","552","","","0","0","","0","0","","0","137.55","","0","","","","","","","0","","","","138","호스텔업",
"177","관광숙박업","03_11_01_P","4231000","CDFI2260032023000001","2023-01-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 동명동 522-7","강원특별자치도 속초시 번영로 115-1 (동명동)","24828","가족독채펜션편한대로","2023-12-05 14:44:45","U","2023-12-07 02:40:00","","338976.12127181","524124.140761643","관광숙박업","","일반주거지역","1","학교정화(절대)","","","숙박시설","1","0","2","0","","","0","0","","0","0","","0","67.38","","0","","","","","","","0","","","","67","호스텔업",
"178","관광숙박업","03_11_01_P","4231000","CDFI2260032024000001","2024-04-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 조양동 1553-5","강원특별자치도 속초시 엑스포로 3 (조양동)","24872","미르관광호텔","2024-11-20 10:13:40","U","2024-11-22 02:40:00","","339223.795945277","522032.936206338","관광숙박업","","일반상업지역","6","","","","호텔","6","1","45","3446","","","0","0","","0","0","","0","3445","","0","","","","","","","4499999700","","","","3445","관광호텔업",
"179","관광숙박업","03_11_01_P","4231000","CDFI2260032025000002","2025-07-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 영랑동 147-266","강원특별자치도 속초시 영랑해안길 155 (영랑동)","24810","미스터슬로우","2025-07-18 15:58:20","I","2025-07-20 00:20:22","","339660.978669547","524912.355124921","관광숙박업","","준주거지역","4","","","","숙박시설","4","0","0","0","","","0","0","","0","0","","0","83.08","","0","","","","","","","0","","","","83","호스텔업",
"180","관광숙박업","03_11_01_P","4231000","CDFI2260032025000001","2025-02-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 대포동 421-8","강원특별자치도 속초시 대포항길 11 (대포동)","24901","마루펜션","2025-02-06 11:43:25","U","2025-02-08 02:40:00","","340579.612483283","520231.344531862","관광숙박업","","일반상업지역","5","","","","숙박시설","5","0","7","422","","","0","0","","0","0","","0","421.98","","0","","","","","","","0","","","","422","호스텔업",
"181","관광숙박업","03_11_01_P","4231000","CDFI2260031995000001","1995-03-02","2019-03-11","04","취소/말소/만료/정지/중지","31","등록취소","","","","","033-631-8711","","217-812","강원특별자치도 속초시 조양동 1401","강원특별자치도 속초시 동해대로 3964 (조양동)","","(주)현대스카이리조트","2019-03-21 09:57:48","I","2023-06-13 00:00:00","","340179.69140755","521888.139514971","관광숙박업","관광사업","일반상업지역","9","기타","","","콘도미니엄","7","2","0","0","","","0","0","","0","0","","0","16185.08","","0","","","","","","","0","","","","16185","휴양콘도미니엄업",
"182","관광숙박업","03_11_01_P","4241000","CDFI2260032002000001","2002-07-26","","02","휴업","02","휴업","","2025-03-01","2026-03-01","","033-763-0423","","","강원특별자치도 삼척시 정하동 5-4","강원특별자치도 삼척시 새천년도로 219 (정하동)","25925","더시에나 삼척","2025-03-11 08:46:58","U","2025-03-13 02:40:00","","393591.240342379","440789.373227236","관광숙박업","관광사업","자연녹지지역","11","기타","","","호텔","9","2","0","0","","","0","0","","0","0","","0","17896.39","","0","","","","","","","3000000000","","","","17896","관광호텔업",
"183","관광숙박업","03_11_01_P","4241000","CDFI2260031999000001","1999-02-19","","03","폐업","03","폐업","2012-01-25","","","","033-576-1001","","245-803","강원특별자치도 삼척시 원덕읍 호산리 39","강원특별자치도 삼척시 원덕읍 호산해변길 229","245-800","호산비치가족호텔","2015-04-23 16:14:55","I","2023-06-13 00:00:00","","","","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"184","관광숙박업","03_11_01_P","4241000","CDFI2260032010000001","2010-10-28","","03","폐업","03","폐업","2020-01-01","","","","","","245-130","강원특별자치도 삼척시 정상동 351-2","강원특별자치도 삼척시 동해대로 4098 (정상동)","25925","삼척관광호텔","2020-01-13 19:25:08","I","2023-06-13 00:00:00","","392808.161887656","440464.540678765","관광숙박업","","상업지역","9","주택가주변","","","숙박시설","9","1","70","0","","","0","0","","0","0","","0","2627","","0","","","","","","","4499999700","","","","2627","관광호텔업",
"185","관광숙박업","03_11_01_P","4241000","CDFI2260032012000001","2012-03-26","","01","영업/정상","13","영업중","","","","","033-570-5000","","245-833","강원특별자치도 삼척시 근덕면 하맹방리 221-45","강원특별자치도 삼척시 근덕면 상맹방길 30-80","25932","씨스포빌 콘도","2023-09-08 16:53:14","U","2023-09-10 02:40:00","","396612.869375498","434953.660543651","관광숙박업","","관리지역","5","기타","","","","4","1","101","12481","","","0","0","","0","0","","0","4218.24","","0","","","","","","","1000000000","","","","4218","휴양콘도미니엄업",
"186","관광숙박업","03_11_01_P","4241000","CDFI2260032016000001","2016-06-17","","01","영업/정상","13","영업중","","","","","033-803-7951","","","강원특별자치도 삼척시 갈천동 225 (주)대명레저산업 삼척지점","강원특별자치도 삼척시 수로부인길 453 (갈천동)","25909","쏠비치 리조트 삼척","2025-05-14 14:20:24","U","2025-05-16 02:40:00","","391420.652116354","443183.726638104","관광숙박업","","녹지지역","14","기타","","","콘도미니엄","10","4","492","0","SOL BEACH RESORT SAMCHEOK","TOURIST ACCOMODATIONS (TOURIST CONDOMINIUMS)","0","0","","0","0","","0","93375.42","","0","","","","","","","28205260800","","","","93375","휴양콘도미니엄업",
"187","관광숙박업","03_11_01_P","4241000","CDFI2260032016000002","2016-06-17","","01","영업/정상","13","영업중","","","","","033-803-7951","","","강원특별자치도 삼척시 갈천동 225 (주)대명레저산업 삼척지점","강원특별자치도 삼척시 수로부인길 453 (갈천동)","25909","쏠비치 호텔 삼척","2025-05-13 17:10:00","U","2025-05-15 02:40:00","","391420.652116354","443183.726638104","관광숙박업","","녹지지역","14","기타","","","호텔","10","4","217","0","SOL BEACH HOTEL SAMCHEOK","TOURIST ACCOMODATIONS (TOURIST HOTEL)","0","0","","0","0","","0","93375.42","","0","","","","","","","28205260800","","","","93375","관광호텔업",
"188","관광숙박업","03_11_01_P","4241000","CDFI2260032018000001","2018-05-28","","01","영업/정상","13","영업중","","","","","033 575 5785","","","강원특별자치도 삼척시 남양동 37-14","강원특별자치도 삼척시 오십천로 427, NS호스텔 (남양동)","25920","NS호스텔","2022-02-03 14:20:44","I","2023-06-13 00:00:00","","391550.850018629","439810.11478029","관광숙박업","","일반상업지역","6","기타","","","숙박시설","6","0","31","0","","","0","0","","0","0","","0","994.38","","0","","","","","","","0","","","","994","호스텔업",
"189","관광숙박업","03_11_01_P","4241000","CDFI2260032022000001","2022-01-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 삼척시 도계읍 도계리 303-1","강원특별자치도 삼척시 도계읍 도계대한길 36, 탄광촌 유리게스트하우스","25948","도계 유리게스트하우스","2025-05-15 17:59:42","U","2025-05-17 02:40:00","","381692.032224774","416776.163378779","관광숙박업","","일반주거지역","3","기타","","","숙박시설","3","0","18","1897","","","0","0","","0","0","","0","1897.27","","0","","","","","","","90648977000","","","","1897","호스텔업",
"190","관광숙박업","03_11_01_P","4241000","CDFI2260032005000001","2005-01-05","","04","취소/말소/만료/정지/중지","30","허가취소","","","","","","","245-160","강원특별자치도 삼척시 오분동 18-1","","","(주)삼안비치가족호텔","2007-06-07 11:33:05","I","2023-06-13 00:00:00","","394057.601762548","437885.724418807","관광숙박업","관광사업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"191","관광숙박업","03_11_01_P","4251000","CDFI2260032004000001","2004-03-17","","03","폐업","03","폐업","2015-12-31","","","","033)434-7600","","250-808","강원특별자치도 홍천군 홍천읍 진리 62-10","강원특별자치도 홍천군 홍천읍 꽃뫼로 147","","홍천관광호텔","2016-01-04 10:15:53","I","2023-06-13 00:00:00","","278443.976833775","465909.643636877","관광숙박업","관광사업","일반상업지역","10","기타","","","숙박시설","9","1","0","0","","","0","0","","0","0","","0","5842.07","","0","","","","","","","0","","","","5842","관광호텔업",
"192","관광숙박업","03_11_01_P","4251000","CDFI2260031994000001","1994-12-10","","01","영업/정상","13","영업중","","","","","434-8311","","250-856","강원특별자치도 홍천군 서면 팔봉리 1290-2","강원특별자치도 홍천군 서면 한치골길 262","","소노벨 타워 C 비발디파크","2025-05-08 10:28:04","U","2025-05-10 02:40:00","","260030.280736472","460691.714032464","관광숙박업","관광사업","준주거지역","13","기타","","","콘도미니엄","12","1","375","29717","SONO Belle Tower C Vivaldi Park","Resort Condominium","0","0","","0","0","","0","29716","","0","","","","","","","0","","","","29716","휴양콘도미니엄업",
"193","관광숙박업","03_11_01_P","4251000","CDFI2260031995000001","1995-12-09","","01","영업/정상","13","영업중","","","","","033-434-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 1290-14","강원특별자치도 홍천군 서면 한치골길 262","25102","소노벨 타워 B 비발디파크","2025-05-08 10:27:48","U","2025-05-10 02:40:00","","259927.662555703","460597.297045951","관광숙박업","관광사업","준주거지역","22","기타","","","콘도미니엄","20","2","715","66118","SONO Belle Tower B
Vivaldi Park","Resort Condominium","0","0","","0","0","","0","66118.25","","0","","","","","","","0","","","","66118","휴양콘도미니엄업",
"194","관광숙박업","03_11_01_P","4251000","CDFI2260032004000003","2004-12-03","","01","영업/정상","13","영업중","","","","","033-434-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 1290-17","강원특별자치도 홍천군 서면 한치골길 262","25102","소노캄 비발디파크","2025-05-08 10:28:19","U","2025-05-10 02:40:00","","260069.190891548","460831.750459331","관광숙박업","관광사업","관리지역","19","기타","","","콘도미니엄","19","1","523","74476","SONO Belle Tower D Vivaldi Park","Resort Condominium","0","0","","0","0","","0","74476.19","","0","","","","","","","0","","","","74476","휴양콘도미니엄업",
"195","관광숙박업","03_11_01_P","4251000","CDFI2260032009000001","2009-12-09","","01","영업/정상","13","영업중","","","","","033-430-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 1278-11","강원특별자치도 홍천군 서면 한치골길 262","25102","소노펠리체 비발디파크","2025-05-08 10:28:34","U","2025-05-10 02:40:00","","260173.247115994","461255.142360437","관광숙박업","","관리지역","17","기타","","","콘도미니엄","17","3","504","133715","SONO FELICE Vivaldi Park","Resort Condominium","0","0","","0","0","","0","57332","","0","","","","","","","20000000000","","","","57332","휴양콘도미니엄업",
"196","관광숙박업","03_11_01_P","4251000","CDFI2260032010000001","2010-12-23","","01","영업/정상","13","영업중","","","","","033-430-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 1290-15","강원특별자치도 홍천군 서면 한치골길 262","25102","소노벨 타워 A 비발디파크","2025-05-08 10:27:33","U","2025-05-10 02:40:00","","259876.953791163","460415.693018943","관광숙박업","","관리지역","11","기타","","","콘도미니엄","10","1","279","26606","SONO Belle Tower A Vivaldi Park","Resort Condominium","0","0","","0","0","","0","26606.06","","0","","","","","","","20000000000","","","","26606","휴양콘도미니엄업",
"197","관광숙박업","03_11_01_P","4251000","CDFI2260032014000001","2014-07-17","","01","영업/정상","13","영업중","","","","","033-430-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 산 279","강원특별자치도 홍천군 서면 한치골길 262","25102","소노펠리체 빌리지 A~D 비발디파크","2025-06-16 16:50:05","U","2025-06-18 02:40:00","","260030.280736472","460691.714032464","관광숙박업","","관리지역","4","기타","","","콘도미니엄","3","1","44","7602","SONO FELICE Village A~D Vivaldi Park","Resort Condominium","0","0","","0","0","","0","7601.52","","0","","","","","","","1000000000","","","","7602","휴양콘도미니엄업",
"198","관광숙박업","03_11_01_P","4251000","CDFI2260032015000001","2015-01-26","","01","영업/정상","13","영업중","","","","","","","250-807","강원특별자치도 홍천군 홍천읍 연봉리 4-40","강원특별자치도 홍천군 홍천읍 남산강변로 55","25149","LK HOTEL","2022-07-08 16:14:28","I","2023-06-13 00:00:00","","277987.514039889","465236.662685769","관광숙박업","","자연녹지지역","5","기타","","한화","숙박시설","4","1","33","1887","LK HOTEL","Tourist accommodation business","0","0","","0","0","","0","1887.29","","0","","","","","","","5000000000","","","","1887","가족호텔업",
"199","관광숙박업","03_11_01_P","4251000","CDFI2260032015000002","2015-03-16","","01","영업/정상","13","영업중","","","","","","","250-921","강원특별자치도 홍천군 홍천읍 갈마곡리 23-1","강원특별자치도 홍천군 홍천읍 소옥개로 142","25128","호텔 화양강","2023-11-21 10:25:47","U","2023-11-23 02:40:00","","279923.699249","466758.749110956","관광숙박업","","자연녹지지역","5","기타","","KB금융그룹","호텔","4","1","43","1988","HWAYANGGANG HOTEL","Tourist Accommodation Business(Family Hotel Business)","0","0","","0","0","","0","1987.5","","0","","","","","","","950000000","","","","1988","가족호텔업",
"200","관광숙박업","03_11_01_P","4251000","CDFI2260032015000003","2015-04-24","","01","영업/정상","13","영업중","","","","","033-430-8311","","250-751","강원특별자치도 홍천군 서면 팔봉리 산 292-2","강원특별자치도 홍천군 서면 한치골길 262","25102","소노펠리체 빌리지 E~H 비발디파크","2025-05-08 10:29:06","U","2025-05-10 02:40:00","","260073.447089961","462388.78674746","관광숙박업","","관리지역","5","기타","","","콘도미니엄","3","2","56","9768","SONO FELICE Village E~H Vivaldi Park","Resort Condominium","0","0","","0","0","","0","3726.85","","0","","","","","","","0","","","","3727","휴양콘도미니엄업",
"201","관광숙박업","03_11_01_P","4251000","CDFI2260032016000001","2016-06-28","","01","영업/정상","13","영업중","","","","","033-434-8311","","","강원특별자치도 홍천군 서면 팔봉리 1323","강원특별자치도 홍천군 서면 한치골길 262 (대명비발디파크)","25102","소노펠리체 빌리지 I~O 비발디파크","2025-05-08 10:29:44","U","2025-05-10 02:40:00","","260423.596398243","462154.46883988","관광숙박업","","관리지역","6","기타","","","콘도미니엄","5","1","122","20616","SONO FELICE Village I~O Vivaldi Park","Resort Condominium","0","0","","0","0","","0","20616.14","","0","","","","","","","28205260800","","","","20616","휴양콘도미니엄업",
"202","관광숙박업","03_11_01_P","4251000","CDFI2260032018000001","2018-07-19","","01","영업/정상","13","영업중","","","","","15884888","","","강원특별자치도 홍천군 서면 팔봉리 1290-28","강원특별자치도 홍천군 서면 한치골길 262, 대명비발디파크","25102","소노벨 타워D 비발디파크","2025-05-08 10:30:00","U","2025-05-10 02:40:00","","260256.162782121","460840.157466711","관광숙박업","","관리지역","10","기타","","","호텔","10","1","79","8047","SONO Moon Vivaldi Park","Tourist Accomodations(Tourist Hotel)","0","0","","0","0","","0","8046.88","","0","","","","","","","1353437940000","","","","8047","관광호텔업",
"203","관광숙박업","03_11_01_P","4251000","CDFI2260032019000001","2019-07-05","","01","영업/정상","13","영업중","","","","","033-439-1000","","","강원특별자치도 홍천군 두촌면 괘석리 116","강원특별자치도 홍천군 두촌면 광석로 898-87","25160","세이지우드 호텔 홍천","2023-01-19 10:21:35","I","2023-06-13 00:00:00","","297606.523221348","487550.166179772","관광숙박업","","관리지역","0","기타","","","숙박시설","3","4","32","9731","SAGEWOOD HOTEL HONGCHEON","Resort Condomminium","0","0","","0","0","","0","9730.67","","0","","","","","","","89999999000","","","","9731","가족호텔업",
"204","관광숙박업","03_11_01_P","4251000","CDFI2260032025000001","2025-03-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 홍천군 서면 팔봉리 244-13","강원특별자치도 홍천군 서면 오도치길 139-65","25101","하몽하몽 키즈풀빌라","2025-03-28 15:18:56","I","2025-03-30 00:10:22","","","","관광숙박업","","관리지역","1","","","","숙박시설","1","0","4","279","","","0","0","","0","0","","0","578.73","","0","","","","","","","0","","","","579","호스텔업",
"205","관광숙박업","03_11_01_P","4261000","CDFI2260031990000001","1990-07-03","","03","폐업","03","폐업","2010-04-30","","","","","","225-807","강원특별자치도 횡성군 횡성읍 읍상리 385-12","","","횡성관광호텔","2014-01-28 13:23:46","I","2023-06-13 00:00:00","","287262.274150206","443630.578461615","관광숙박업","관광사업","일반상업지역","9","","","","호텔","7","2","0","0","","","0","0","","0","0","","0","13445","","0","","","","","","","0","","","","13445","",
"206","관광숙박업","03_11_01_P","4261000","CDFI2260032024000001","2024-10-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 횡성군 공근면 학담리 553-10","강원특별자치도 횡성군 공근면 학담서로 137","25208","캠프이노베이션","2025-02-06 16:11:02","U","2025-02-08 02:40:00","","283613.661229435","447846.875978855","관광숙박업","","","1","","","","","1","0","1","0","","","0","0","","0","0","","0","230.4","","0","","","","","","","0","","","","230","호스텔업",
"207","관광숙박업","03_11_01_P","4261000","CDFI2260031995000002","1995-12-16","","01","영업/정상","13","영업중","","","","","033-340-3000","","225-834","강원특별자치도 횡성군 둔내면 두원리 204","강원특별자치도 횡성군 둔내면 고원로 451","","신안종합리조트 타워형휴양콘도미니엄","2025-01-06 17:04:39","U","2025-01-08 02:40:00","","310506.755038668","443916.785022628","관광숙박업","관광사업","","17","","","","콘도미니엄","1","1","767","79947","SHINAN RESORT","The Resort Condominium","0","0","","0","0","","0","7923.81","","0","","","","","","","0","","","","7924","휴양콘도미니엄업",
"208","관광숙박업","03_11_01_P","4261000","CDFI2260032008000001","2008-07-30","","01","영업/정상","13","영업중","","","","","033-340-8000","","225-811","강원특별자치도 횡성군 우천면 하대리 284-10","강원특별자치도 횡성군 우천면 한우로 1295","","알프스대영 골프빌리지","2025-10-01 15:11:30","U","2025-10-03 02:40:00","","294579.101492397","440769.187724667","관광숙박업","관광사업","관리지역","3","기타","","","콘도미니엄","2","1","58","9068","Cheong-u-Golfclub Resort Condominium","Resort Condominium","0","0","","0","0","","0","5295.4","","0","","","","","","","1120000000","","","","5295","휴양콘도미니엄업",
"209","관광숙박업","03_11_01_P","4261000","CDFI2260032015000001","2015-07-15","","01","영업/정상","13","영업중","","","","","033-342-3016","","225-821","강원특별자치도 횡성군 안흥면 상안리 517-2","강원특별자치도 횡성군 안흥면 서동로상안6길 31","25270","횡성 서초휴양소","2025-01-06 11:19:55","U","2025-01-08 02:40:00","","307314.356540711","435525.490488932","관광숙박업","","관리지역","5","기타","","","콘도미니엄","4","1","32","0","","","0","0","","0","0","","0","1480.4","","0","","","","","","","0","","","","1480","휴양콘도미니엄업",
"210","관광숙박업","03_11_01_P","4261000","CDFI2260032019000001","2019-10-24","","01","영업/정상","13","영업중","","","","","033-340-3421","","","강원특별자치도 횡성군 둔내면 조항리 150 히든힐스","강원특별자치도 횡성군 둔내면 조항로 316, 히든힐스","25263","웰리힐리CC 페어웨이빌라(히든힐스)","2025-01-06 17:06:43","U","2025-01-08 02:40:00","","308610.398157229","441877.403395218","관광숙박업","","","3","기타","","","콘도미니엄","1","2","84","0","","","0","0","","0","0","","0","17404.16","","0","","","","","","","131000001000","","","","17404","휴양콘도미니엄업",
"211","관광숙박업","03_11_01_P","4261000","CDFI2260031995000001","1995-08-03","2022-05-12","04","취소/말소/만료/정지/중지","31","등록취소","","","","","07074562155","","225-812","강원특별자치도 횡성군 우천면 오원리 539-1","강원특별자치도 횡성군 우천면 전재로 254","225-812","주식회사 코레스코(치악산 휴양콘도미니엄)","2022-05-27 13:29:56","I","2023-06-13 00:00:00","","296891.795638232","437821.09810028","관광숙박업","관광사업","","4","기타","","","숙박시설","3","1","167","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
"212","관광숙박업","03_11_01_P","4271000","CDFI2260032011000001","2011-05-13","","01","영업/정상","13","영업중","","","","","033-905-2020","","230-888","강원특별자치도 영월군 영월읍 삼옥리 108","강원특별자치도 영월군 영월읍 사지막길 160","26223","에스엠 동강시스타","2025-01-09 14:05:41","U","2025-01-11 02:40:00","","334737.971789668","413950.472458217","관광숙박업","","","6","","","","콘도미니엄","6","1","300","36099","Donggang Cistar","Tourism and lodging business","0","0","","0","0","","0","0","","0","","","","","","","90931610000","","","","0","휴양콘도미니엄업",
"213","관광숙박업","03_11_01_P","4271000","CDFI2260032019000001","2019-11-05","","01","영업/정상","13","영업중","","","","","0333707777","","","강원특별자치도 영월군 상동읍 내덕리 468","강원특별자치도 영월군 상동읍 섬지골길 113","26248","재단법인 산림힐링재단","2025-01-21 15:37:18","U","2025-01-23 02:40:00","","354812.867525631","404601.919037709","관광숙박업","","관리지역","6","기타","","","콘도미니엄","6","0","52","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","휴양콘도미니엄업",
"214","관광숙박업","03_11_01_P","4271000","CDFI2260032024000001","2024-03-15","","01","영업/정상","13","영업중","","","","","033-375-8880","","","강원특별자치도 영월군 영월읍 하송리 182-1","강원특별자치도 영월군 영월읍 은행나무길 22","26237","어라연 관광호텔","2024-12-23 14:22:09","U","2024-12-25 02:40:00","","330007.740391582","409713.396409886","관광숙박업","","일반상업지역","9","기타","","","숙박시설","8","1","41","2025","","","0","0","","0","0","","0","1235","","0","","","","","","","20000000","","","","1235","관광호텔업",
"215","관광숙박업","03_11_01_P","4271000","CDFI2260032023000001","2023-09-21","","01","영업/정상","13","영업중","","","","","02-2049-8302","","","강원특별자치도 영월군 남면 북쌍리 산 34","강원특별자치도 영월군 남면 문개실길 37-222","26215","더한옥헤리티지 주식회사","2024-12-16 10:54:13","U","2024-12-18 02:40:00","","326393.624475378","411669.272680439","관광숙박업","","관리지역","2","기타","","","숙박시설","1","1","3","2511","","","0","0","","0","0","","0","5353","","0","","","","","","","1000000000","","","","5353","한국전통호텔업",
