"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"158","특정고압가스업","09_28_14_P","4341000","2006434003302700003","2006-10-31","","01","영업/정상","BBBB","","","","","","033 6396448","","","강원특별자치도 고성군 토성면 봉포리 사서함 71-6호","","","육군제5861부대보급수송대대","2006-10-31 00:00:00","I","2023-06-13 00:00:00","","","","편성부대 보급","","0","0","",
"159","특정고압가스업","09_28_14_P","4341000","2007434003312200001","2007-12-03","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 간성읍 해상리 사서함 71-21","","","육군 제3150부대","2012-03-14 09:34:32","I","2023-06-13 00:00:00","","","","훈련및작전, 기상관측","훈련및작전, 기상관측
담당자 박희원상사()","30","5","",
"160","특정고압가스업","09_28_14_P","4341000","2008434004312200001","2008-09-30","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 토성면 봉포리 사서함71-6호","","","22사단보수대대","2012-03-13 11:34:31","I","2023-06-13 00:00:00","","","","저장 및 불출","용접,절단","400","200","",
"161","특정고압가스업","09_28_14_P","4341000","2011434004312200001","2011-04-01","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 간성읍 해상리 사서함 71-21","","","육군 제3150부대(중복입력됨)","2012-03-13 15:14:27","I","2023-06-13 00:00:00","","","","훈련 및 작전, 기상 관측","중복입력 삭제 요망","30","5","",
"162","특정고압가스업","09_28_14_P","4341000","2012434004312200001","2012-08-03","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 죽왕면 오봉리 9-19","강원특별자치도 고성군 죽왕면 동해대로 6064","","강원도해양심층수 수산자원센타","2012-08-03 17:30:16","I","2023-06-13 00:00:00","","332385.817523991","538662.887832879","한해성 치어종묘 생산용","한해성 치어종묘 생산","3000","25","",
"163","특정고압가스업","09_28_14_P","4341000","2015434004312200001","2015-05-21","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 죽왕면 오호리 245-7","강원특별자치도 고성군 죽왕면 심층수길 124-32","","한국해양과학기술원 부설 선박해양연구소해수플랜트연구센터","2015-05-21 11:36:06","I","2023-06-13 00:00:00","","333035.404738973","537945.58613179","실험실(시험용)","수질검사 및 검사 또는 측정시 시약
1일 9㎖×30일=0.27㎖",".27","12","",
"164","특정고압가스업","09_28_14_P","4341000","2021434007312200001","2021-11-03","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 간성읍 동호리 355","강원특별자치도 고성군 간성읍 동호1길 36","24731","오션테크 영어조합법인","2021-11-04 16:30:33","I","2023-06-13 00:00:00","","329585.941626508","544683.642098121","양식용","산소 부족시","10000","5","",
"165","특정고압가스업","09_28_14_P","4341000","2023434103012200001","2023-11-20","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 고성군 죽왕면 오봉리 9-19 강원도해양심층수수산자원센터","강원특별자치도 고성군 죽왕면 동해대로 6064, 강원도해양심층수수산자원센터","24747","한해성수산자원센터","2023-11-20 14:34:55","I","2023-11-22 00:17:07","","332385.817523991","538662.887832879","양식생물 피해예방 목적","액화산소(LO2)","10","10","",
"166","특정고압가스업","09_28_14_P","4351000","2016435005012200001","2016-08-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양양군 현북면 하광정리 593","","","미화산업(주)","2016-08-24 17:40:23","I","2023-06-13 00:00:00","","350868.768953481","503958.631706499","강재절단용","가스용접기에 산소가스공급","3286.7","3","",
"167","특정고압가스업","09_28_14_P","4181000","2018418028612200001","2018-05-03","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 온의동 513-3 강남병원","강원특별자치도 춘천시 경춘로 2364, 강남병원 (온의동)","24436","(폐지)","2018-10-01 15:30:27","I","2023-06-13 00:00:00","","263363.74960516","484877.145433762","중환자실 및 병동내 산소 공급","175kg * 2기 현대에너지","2000","187","",
"168","특정고압가스업","09_28_14_P","4181000","2018418032312200002","2018-10-25","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 낙원동 27-1 인성병원","강원특별자치도 춘천시 금강로 39, 인성병원 (낙원동)","24272","폐지","2019-02-21 18:23:24","I","2023-06-13 00:00:00","","263883.466910628","486768.318767618","의료용","배관을 통한 산소 공급","285.6","74","",
"169","특정고압가스업","09_28_14_P","4181000","2019418032312200001","2019-02-21","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 낙원동 27-1 인성병원","강원특별자치도 춘천시 금강로 39, 인성병원 (낙원동)","24272","인성병원","2019-11-28 15:32:14","I","2023-06-13 00:00:00","","263883.466910628","486768.318767618","의료용(병원내환자산소공급)","배관을 통한 산소공급","335.9","156","",
"170","특정고압가스업","09_28_14_P","4181000","2023418040412200002","2012-03-07","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 우두동 291-2 강원도재활병원","강원특별자치도 춘천시 충열로142번길 24-16, 강원도재활병원 (우두동)","24227","강원도재활병원","2023-04-18 10:04:35","I","2023-06-13 00:00:00","","265108.905671972","489243.60633558","환자치료용 산소","액체산소를 기화시켜 배관이송 및 환자호흡에 사용환자호흡용

기존 액체산소 4.06톤과 함께 있었으나
액체산소 폐지(2022.9.1.)하면서 기체산소만 남음.

2023.4.18.
 기체산소 저장능력 추가(73m3->81m3)","28","60","",
"171","특정고압가스업","09_28_14_P","4181000","2007418016602700001","2007-03-14","","01","영업/정상","1","사용중","","","","","033 2603400","","","강원특별자치도 춘천시 남산면 창촌리 300-14","강원특별자치도 춘천시 남산면 보매기길 56","","(주)엔지브이아이","2013-12-27 16:13:08","I","2023-06-13 00:00:00","","256436.249761154","475963.010547701","엔진동력계 시험용","엔진동력계 시험용","1800","10","",
"172","특정고압가스업","09_28_14_P","4181000","2007418016602700002","2007-04-04","","01","영업/정상","1","사용중","","","","","033 2603400","","","강원특별자치도 춘천시 남산면 창촌리 300-14","강원특별자치도 춘천시 남산면 보매기길 56","","(주)엔지브이아이","2013-12-27 16:11:01","I","2023-06-13 00:00:00","","256436.249761154","475963.010547701","엔진동력계 시험연료용","엔진동력계 시험연료용","1800","10","",
"173","특정고압가스업","09_28_14_P","4181000","2007418016602700003","2007-04-04","","01","영업/정상","1","사용중","","","","","033 2649885","","","강원특별자치도 춘천시 서면 당림리 167-1","강원특별자치도 춘천시 서면 샛말길 122-11","","윤영의료재단","2013-12-27 16:05:25","I","2023-06-13 00:00:00","","254245.483818577","483370.766177782","의료용","의료용","1600","16","",
"174","특정고압가스업","09_28_14_P","4181000","2007418016612200001","2007-12-07","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 효자동 17-2","강원특별자치도 춘천시 백령로 156 (효자동)","","강원대학교병원","2013-12-27 16:03:19","I","2023-06-13 00:00:00","","265500.731735027","486038.868111548","의료용","기체산소","12","1000","",
"175","특정고압가스업","09_28_14_P","4181000","2012418035812200001","2012-03-07","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 우두동 291-2 강원도재활병원","강원특별자치도 춘천시 충열로142번길 24-16, 강원도재활병원 (우두동)","24227","강원도재활병원","2022-09-01 17:28:21","I","2023-06-13 00:00:00","","265108.905671972","489243.60633558","환자치료용 산소","액체산소를 기화시켜 배관이송 및 환자호흡에 사용환자호흡용

기존 액체산소 4.06톤과 함께 있었으나
액체산소 폐지(2022.9.1.)하면서 기체산소만 남음.","28","60","",
"176","특정고압가스업","09_28_14_P","4181000","2015418027912200001","2015-11-18","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 동면 장학리 749-3","강원특별자치도 춘천시 동면 공단로70번길 137","","영어조합법인 춘천수산","2016-06-14 16:33:50","I","2023-06-13 00:00:00","","266049.037596996","489213.947044468","산업용가스","산업용가스","10000","5","",
"177","특정고압가스업","09_28_14_P","4181000","2007418109312200001","2007-03-27","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 춘천시 서면 당림리 167-1","강원특별자치도 춘천시 서면 샛말길 122-11","24463","춘천예현병원","2024-12-11 13:50:53","U","2024-12-13 02:40:00","","254245.483818577","483370.766177782","환자치료용(흡입제)","환자치료용(흡입제)","2000","150","",
"178","특정고압가스업","09_28_14_P","4191000","1995419007902700003","1995-05-10","","01","영업/정상","1","사용중","","","","","033 7428691","","","강원특별자치도 원주시 우산동 161","강원특별자치도 원주시 북원로2425번길 73 (우산동)","","한국폴리텍3대학원주캠퍼스","2016-04-29 09:55:20","I","2023-06-13 00:00:00","","282710.819607302","429392.039911748","실습용","실습용","3000","0","",
"179","특정고압가스업","09_28_14_P","4191000","2006419013302700002","2006-10-27","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 학성동 사서함 133-2호 7639부대 3중대","","","육군7639부대","2019-06-05 10:50:51","I","2023-06-13 00:00:00","","","","용접","1군지사 고압가스창고","100","1000","",
"180","특정고압가스업","09_28_14_P","4191000","2016419024512200001","2016-02-01","","01","영업/정상","1","사용중","","","","","","","","","강원특별자치도 원주시 일산로 20 (일산동)","","연세대학교원주세브란스기독병원","2019-03-26 13:55:15","I","2023-06-13 00:00:00","","283684.602363569","427758.377832632","의료용","가스저장실에서 중앙공급용 메니풀드로 공급","165","1500","",
"181","특정고압가스업","09_28_14_P","4191000","2018419024512200001","2018-09-12","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 문막읍 동화리 514-7 연세메디하임병원","강원특별자치도 원주시 문막읍 원문로 1419, 연세메디하임병원","26372","연세메디하임병원","2019-01-31 16:32:48","I","2023-06-13 00:00:00","","274834.971445725","425233.724856602","의료용 산소","배관, 용기
액화산소(배관) 165L * 2병
압축산고(용기) 6m3 * 20병
완성검사 완료 : 2018.12.28.","462","285","",
"182","특정고압가스업","09_28_14_P","4191000","2018419024512200006","2018-12-13","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 문막읍 건등리 583-2 원주의료고등학교","강원특별자치도 원주시 문막읍 원문로 1756, 원주의료고등학교","26370","원주의료고등학교","2018-12-27 16:14:37","I","2023-06-13 00:00:00","","272839.993436659","423848.923048767","교육용","배관
완성검사 : 2018.12.19.","10","350","",
"183","특정고압가스업","09_28_14_P","4191000","2020419024512200002","2020-05-26","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 문막읍 반계리 5-22 ㈜만도원주제1공장","강원특별자치도 원주시 문막읍 문막공단길 80, ㈜만도원주제1공장","26362","에이치엘만도 원주공장","2022-09-26 13:14:53","I","2023-06-13 00:00:00","","270976.604617115","421599.311278033","철구조물 절단","이동식, 용기저장식","140","0","",
"184","특정고압가스업","09_28_14_P","4191000","2021419024512200001","2021-06-10","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 개운동 452-5","강원특별자치도 원주시 남원로 556 (개운동)","26448","원주프라임병원","2021-06-10 09:52:09","I","2023-06-13 00:00:00","","283939.806056716","426141.791401754","환자 치료용","의료용산소","1000","150","",
"185","특정고압가스업","09_28_14_P","4191000","1994419007902700002","1994-06-27","","01","영업/정상","1","사용중","","","","","033 7425181","","","강원특별자치도 원주시 우산동 411-6","강원특별자치도 원주시 우산공단길 10 (우산동)","","한일전기(주)","2016-04-29 09:45:21","I","2023-06-13 00:00:00","","283375.420192584","430796.986639075","공업용","공업용","141","100","",
"186","특정고압가스업","09_28_14_P","4191000","1995419007902700001","1995-07-03","","01","영업/정상","1","사용중","","","","","033 7603300","","","강원특별자치도 원주시 인동 264-21","강원특별자치도 원주시 원일로 22 (인동)","","성지병원","2017-04-04 10:46:38","I","2023-06-13 00:00:00","","284484.959261583","427479.800413061","의료용","의료용","0","0","",
"187","특정고압가스업","09_28_14_P","4191000","1995419007902700002","1995-04-11","","01","영업/정상","1","사용중","","","","","033 7306123","","","강원특별자치도 원주시 문막읍 반계리 5-22 주식회사 일신캐스팅","강원특별자치도 원주시 문막읍 문막공단길 80, 주식회사 일신캐스팅","26362","주식회사 일신캐스팅","2020-05-17 15:23:41","I","2023-06-13 00:00:00","","270976.604617115","421599.311278033","실험용","주물실험실 : 고순도산소-시료가스용","0","0","",
"188","특정고압가스업","09_28_14_P","4191000","2025419112212200003","2025-04-10","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 우산동 170 한국폴리텍대학 원주캠퍼스","강원특별자치도 원주시 북원로2425번길 73, 한국폴리텍대학 원주캠퍼스 (우산동)","26406","한국폴리텍Ⅲ대학 원주캠퍼스","2025-04-10 09:54:43","I","2025-04-12 00:10:01","","282710.819607302","429392.039911748","교육 실습용","교육 실습용","31.5","0","",
"189","특정고압가스업","09_28_14_P","4191000","2020419112212200001","2020-10-13","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 원주시 문막읍 반계리 5-12 토다이수주식회사","강원특별자치도 원주시 문막읍 문막공단길 236, 토다이수주식회사","26362","토다머티리얼즈(주)","2025-05-29 15:58:47","U","2025-05-31 02:40:00","","271582.284846753","422083.178386107","Metal Powder 환원용(연소방식)","Metal Powder 환원용(연소방식)","600","0","",
"190","특정고압가스업","09_28_14_P","4201000","2022420032612200002","2022-02-17","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 강릉시 대전동 902-5","강원특별자치도 강릉시 과학단지로 106-71 (대전동)","25451","(주)코본","2024-05-16 14:06:13","U","2024-05-18 02:40:00","","363615.542533891","479363.807605907","제품생산","탄소나노큐브제조용","50","20","",
"191","특정고압가스업","09_28_14_P","4201000","2006420008502700002","2006-11-20","","01","영업/정상","1","사용중","","","","","033 6627802","","","강원특별자치도 강릉시 주문진읍 교항리 산 320 국군강릉병원내 188보정대","","","제1군수지원사령부 제5337부대","2016-01-28 11:42:35","I","2023-06-13 00:00:00","","","","여하부대 불출용","여하부대 불출용","200","1","",
"192","특정고압가스업","09_28_14_P","4201000","2016420027012200002","2016-05-27","","01","영업/정상","1","사용중","","","","","","","","","강원특별자치도 강릉시 강동면 갯목길 60","","고래바다","2016-05-27 15:03:05","I","2023-06-13 00:00:00","","","","양식장","양식장","15000","0","",
"193","특정고압가스업","09_28_14_P","4211000","1994421009302700030","1994-04-18","","01","영업/정상","1","사용중","","","","","5205040","","","강원특별자치도 동해시 송정동 60","강원특별자치도 동해시 대동로 210 (송정동)","","쌍용양회공업(주)북평공장","2016-01-20 16:23:30","I","2023-06-13 00:00:00","","388872.150122467","445348.387176442","산업용","해당없음","600","0","",
"194","특정고압가스업","09_28_14_P","4211000","1999421009302700001","1999-09-14","","01","영업/정상","1","사용중","","","","","5205206","","","강원특별자치도 동해시 구호동 231","강원특별자치도 동해시 공단9로 145 (구호동)","","한국동서발전(주)동해화력발전처","2023-12-07 13:41:48","U","2023-12-09 02:40:00","","389713.263176334","444719.463998415","발전기냉각","해당없음","112","0","",
"195","특정고압가스업","09_28_14_P","4211000","2003421009302700001","2003-01-29","","01","영업/정상","1","사용중","","","","","5303300","","","강원특별자치도 동해시 천곡동 884","강원특별자치도 동해시 중앙로 218 (천곡동)","","의료법인 해람의료재단 해람병원","2013-12-23 11:54:31","I","2023-06-13 00:00:00","","386974.192783286","448557.45116627","의료용","해당없음","376","0","",
"196","특정고압가스업","09_28_14_P","4211000","2006421009302700001","2006-11-06","","01","영업/정상","1","사용중","","","","","033 5716443","","","강원특별자치도 동해시 단봉동 453-1","","","제23보병사단 보급수송대대","2014-05-19 15:10:37","I","2023-06-13 00:00:00","","387042.827340887","441927.148452717","산업(용접)","해당없음","300","0","",
"197","특정고압가스업","09_28_14_P","4211000","2016421018112200001","2016-03-02","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 동해시 구호동 246","강원특별자치도 동해시 공단4로 36 (구호동)","","(주)지에스동해전력","2016-03-02 16:16:47","I","2023-06-13 00:00:00","","389879.389447498","443866.815521936","발전기 냉각용","발전기 냉각용","570","0","",
"198","특정고압가스업","09_28_14_P","4211000","2020421021512200001","2020-11-10","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 동해시 삼화동 200 쌍용양회동해공장","강원특별자치도 동해시 효자로 246, 쌍용양회동해공장 (삼화동)","25744","쌍용양회공업(주) 동해공장","2023-11-08 11:11:32","U","2023-11-10 02:40:00","","381789.813670765","444419.292367977","산업용","용기","200","20","",
"199","특정고압가스업","09_28_14_P","4221000","1985422007212220001","1985-08-31","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 태백시 장성동 200-1","강원특별자치도 태백시 태백로 1889 (장성동)","","장성광업소","2013-08-20 11:55:06","I","2023-06-13 00:00:00","","378234.288354841","402309.661708615","공작물제작","업무용","180","1110","",
"200","특정고압가스업","09_28_14_P","4231000","2010423005112200001","2010-03-31","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 속초시 교동 669-1","강원특별자치도 속초시 중앙로 11 (교동)","","속초보광병원","2021-05-18 14:46:12","I","2023-06-13 00:00:00","","338197.766804118","522865.442373193","의료용","의료용 산소공급","320","200","",
"201","특정고압가스업","09_28_14_P","4231000","2012423006412200001","2012-03-14","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 속초시 영랑동 591-10","강원특별자치도 속초시 영랑호반길 3 (영랑동)","","강원도속초의료원","2013-12-18 17:20:16","I","2023-06-13 00:00:00","","339079.48882574","524917.714740154","병원 의료원","환자건강회복 증진 목적 
고압산소 사용시설","7500","120","",
"202","특정고압가스업","09_28_14_P","4241000","1995424001002700001","1995-01-01","","01","영업/정상","1","사용중","","","","","5721141","","","강원특별자치도 삼척시 남양동 55-9","강원특별자치도 삼척시 오십천로 418 (남양동)","","지방공사강원특별자치도삼척의료원","2023-07-17 13:58:56","U","2023-07-19 02:40:00","","391434.820290382","439773.856200338","의료용","용기","0","0","",
"203","특정고압가스업","09_28_14_P","4241000","1997424001002700008","1997-03-18","","01","영업/정상","1","사용중","","","","","5749114","","","강원특별자치도 삼척시 정상동 385","강원특별자치도 삼척시 오십천로 506 (정상동)","","의료법인 삼척의료재단","2013-12-31 13:21:43","I","2023-06-13 00:00:00","","392228.467832434","439395.210180362","의료용","-","57","0","",
"204","특정고압가스업","09_28_14_P","4241000","2020424020212200001","2020-06-03","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 삼척시 사직동 114 삼표시멘트","강원특별자치도 삼척시 동양길 20, 삼표시멘트 (사직동)","25930","(주)삼표시멘트 삼척공장","2022-07-22 17:38:27","I","2023-06-13 00:00:00","","392606.428518564","438473.157192767","산소용접","산소용접","490","1","",
"205","특정고압가스업","09_28_14_P","4241000","2024424100712200001","2024-05-03","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 삼척시 적노동 산 29-3","강원특별자치도 삼척시 박걸남로 906 (적노동)","25931","삼척블루파워(주)","2024-05-03 18:06:19","I","2024-05-05 00:14:47","","392694.02063207","436344.38889505","발전기 냉각용(2호기)","발전기 냉각용(2호기)","726","1","",
"206","특정고압가스업","09_28_14_P","4251000","2000425004202700971","1997-10-28","","01","영업/정상","1","사용중","","","","","033 4308536","","","강원특별자치도 홍천군 북방면 하화계리 740","강원특별자치도 홍천군 북방면 도둔길 49","","하이트맥주(주)","2013-12-30 10:14:44","I","2023-06-13 00:00:00","","274091.131503479","465814.991902042","용접용","....","0","0","",
"207","특정고압가스업","09_28_14_P","4251000","2000425004202700972","1997-10-28","","01","영업/정상","1","사용중","","","","","033 4308536","","","강원특별자치도 홍천군 북방면 하화계리 740","강원특별자치도 홍천군 북방면 도둔길 49","","하이트맥주(주)","2013-12-30 10:12:27","I","2023-06-13 00:00:00","","274091.131503479","465814.991902042","용접용","--","10","2","",
"208","특정고압가스업","09_28_14_P","4251000","2018425012112200001","2018-02-13","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 466-1","강원특별자치도 홍천군 홍천읍 산림공원1길 17","25131","홍천아산병원","2018-02-13 14:55:06","I","2023-06-13 00:00:00","","278852.231568625","465755.841290153","의료용","감압하여 공급","2023.74","150","",
"209","특정고압가스업","09_28_14_P","4251000","2021425017212200001","2021-08-26","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 홍천군 북방면 하화계리 827-63","강원특별자치도 홍천군 북방면 송학정로 23-36","25115","(주)아이노스","2021-08-26 11:15:46","I","2023-06-13 00:00:00","","275293.845531558","464799.226020491","(주)아이노스","(주)아이노스","100","1","",
"210","특정고압가스업","09_28_14_P","4261000","2019426008812200001","2019-02-27","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 횡성군 횡성읍 입석리 155-4 대성병원","강원특별자치도 횡성군 횡성읍 횡성로 275, 대성병원","25240","횡성대성병원","2019-02-27 10:49:04","I","2023-06-13 00:00:00","","286612.789231186","442256.80743604","환자 호흡용(액화산소)","초저온탱크(4,976톤*1기)에 액화산소 환자 호흡용","3000","4","",
"211","특정고압가스업","09_28_14_P","4271000","2017427007712200001","2017-04-13","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 영월군 영월읍 하송리 242","강원특별자치도 영월군 영월읍 하송로 64","","ddd","2017-07-10 14:54:03","I","2023-06-13 00:00:00","","329744.826174915","410074.431361514","ㅁㄴㅇ","ㄴㅇㄹ","1111","1","",
"212","특정고압가스업","09_28_14_P","4271000","2018427007712200001","2018-12-24","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 영월군 주천면 주천리 1376-20 영월소방서주천119안전센터","강원특별자치도 영월군 주천면 송학주천로 1467-15, 영월소방서주천119안전센터","26203","영월소방서 주천119안전센터","2018-12-26 08:56:20","I","2023-06-13 00:00:00","","312551.175954097","419954.497859783","산소마스크","-","0","0","",
"213","특정고압가스업","09_28_14_P","4271000","2021427007712200001","2021-06-30","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 영월군 주천면 주천리 1424-1","강원특별자치도 영월군 주천면 송학주천로 1467-51","26203","한국가스안전공사 에너지안전실증연구센터","2021-09-16 13:18:06","I","2023-06-13 00:00:00","","312371.720546162","420352.828544643","실험용","실험용","300","30","",
"214","특정고압가스업","09_28_14_P","4281000","2016428009412200001","2016-11-09","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 평창군 대화면 상안미리 68","강원특별자치도 평창군 대화면 미날1길 53","","안미송어장","2016-11-09 22:36:44","I","2023-06-13 00:00:00","","325876.295304495","440368.625094013","내수면 양식용","산소통으로부터 배관으로 수족관에 산소공급","10000","0","",
"215","특정고압가스업","09_28_14_P","4291000","2023429102012200001","2023-08-24","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 정선군 사북읍 사북리 305-16 정선군립병원","강원특별자치도 정선군 사북읍 지장천로 727, 정선군립병원","26150","재단법인 정선의료재단","2024-09-06 14:08:35","U","2024-09-08 02:40:00","","362023.877879962","415331.483541067","의료용","의료용","4800","0","",
"216","특정고압가스업","09_28_14_P","4291000","2016429007212200001","2016-11-15","","01","영업/정상","1","사용중","","","","","","","","","강원특별자치도 정선군 남면 광락로 659","","광덕수산","2016-11-15 13:39:35","I","2023-06-13 00:00:00","","347935.137501514","425470.458231947","내수면 양식용","송어양식장 산소공급(기화기사용)","10000","0","",
"217","특정고압가스업","09_28_14_P","4291000","2016429007212200002","2016-11-15","","01","영업/정상","1","사용중","","","","","","","","","강원특별자치도 정선군 남면 광락로 89-12","","선명양어장","2016-11-15 13:40:34","I","2023-06-13 00:00:00","","351469.61635914","425814.440653987","내수면 양식용","송어양식장 산소공급(기화기사용)","4976","0","",
"218","특정고압가스업","09_28_14_P","4291000","2016429007212200003","2016-11-15","","01","영업/정상","1","사용중","","","","","","","","","강원특별자치도 정선군 정선읍 군언길 190-27","","군언양어장","2016-11-15 13:41:23","I","2023-06-13 00:00:00","","342171.129785876","431688.803049927","내수면 양식용","송어양식장 산소공급(기화기사용)","4976","0","",
"219","특정고압가스업","09_28_14_P","4291000","2018429007212200001","2018-04-03","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 정선군 사북읍 사북리 305-16 재단법인 정선의료재단","강원특별자치도 정선군 사북읍 지장천로 727, 재단법인 정선의료재단","26150","재단법인정선의료재단","2022-07-27 15:50:58","I","2023-06-13 00:00:00","","362023.877879962","415331.483541067","의료용","배관을 통한 병실공급","1000","200","",
"220","특정고압가스업","09_28_14_P","4301000","2006430005502700001","2006-03-17","","01","영업/정상","1","사용중","","","","","031 5325650","","","강원특별자치도 철원군 갈말읍 군탄리 사서함269-800","강원특별자치도 철원군 갈말읍 갈말로 234","","육군제2181부대","2014-12-04 18:01:54","I","2023-06-13 00:00:00","","226959.178241483","518849.229400448","공공용","군 기상 제원산출","200","2","",
"221","특정고압가스업","09_28_14_P","4301000","2016430008512200002","2016-07-04","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 철원군 갈말읍 군탄리 339 철원병원","강원특별자치도 철원군 갈말읍 명성로 208, 철원병원","24034","철원병원","2020-03-18 10:07:55","I","2023-06-13 00:00:00","","226929.100240543","516412.772602971","의료용","의료용","3360","100","",
"222","특정고압가스업","09_28_14_P","4321000","2020432006212200001","2020-03-12","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 양구군 국토정중앙면 가오작리 376-2","","24552","양구청정양어장","2020-03-12 16:02:53","I","2023-06-13 00:00:00","","291317.561452864","516934.499652456","산소공급","액체 산소를 기화시켜 사용","15000","5","",
"223","특정고압가스업","09_28_14_P","4321000","2006432002902700001","2006-10-30","","01","영업/정상","1","사용중","","","","","033 4807446","","","강원특별자치도 양구군 양구읍 죽곡리 1리 사서함108-6호","","","제1729-03부대","2019-11-20 15:02:18","I","2023-06-13 00:00:00","","","","저장및불출","저장 및 불출","240","200","",
"224","특정고압가스업","09_28_14_P","4331000","2007433004112200001","2007-12-21","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 인제군 서화면 천도리 사서함 100-21","","","육군 제8512부대","2017-06-20 11:40:04","I","2023-06-13 00:00:00","","","","고층기상재원산출용","고층기상재원산출용","480","3","",
"225","특정고압가스업","09_28_14_P","4331000","2022433008112200001","2022-05-18","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 인제군 남면 신풍리 692","강원특별자치도 인제군 남면 신풍길 16, 육군 제2063부대","24651","육군 제2063부대","2022-05-18 18:58:10","I","2023-06-13 00:00:00","","294412.584099097","495154.344879259","인체호흡용(의료용)","각 군 의료처에 공급","200","30","",
"226","특정고압가스업","09_28_14_P","4341000","2019434006712200001","2019-08-02","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 고성군 토성면 성대리 27-1","강원특별자치도 고성군 토성면 신성길 139","24763","오션팜","2023-11-15 11:23:23","U","2023-11-17 02:40:00","","333235.801258739","529348.746451495","새우양식장 산소공급용","액화산소 공급","5000","1","",
"227","특정고압가스업","09_28_14_P","4341000","2020434006712200001","2020-05-08","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 고성군 간성읍 동호리 355","강원특별자치도 고성군 간성읍 동호1길 36","24731","아쿠아시스","2023-11-15 11:22:50","U","2023-11-17 02:40:00","","329585.941626508","544683.642098121","양식장 산소공급용","액화산소 공급","5000","3","",
"228","특정고압가스업","09_28_14_P","4341000","2020434006712200002","2020-09-25","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 고성군 토성면 봉포리 40-25","강원특별자치도 고성군 토성면 봉포해변길 19","24765","거진수산 영어 조합법인","2023-11-15 11:23:33","U","2023-11-17 02:40:00","","337471.490788928","527957.356572008","양식활어용 액체산소공급","액체산소 기화시켜 산소공급","10000","10","",
