"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"212","안경업","01_02_01_P","4201000","PHMB220014200028082200002","2001-08-17","","03","폐업","03","폐업","2018-02-10","","","","","","210-806","강원특별자치도 강릉시 주문진읍 주문리 324번지 27호","강원특별자치도 강릉시 주문진읍 주문로 81","25414","김스안경콘택트","2019-08-20 16:08:42","I","2023-06-13 00:00:00","","360547.411260746","489193.042929724","1","1","1","1","2","1","1","1","1","0",
"213","안경업","01_02_01_P","4201000","PHMB220114200028082200002","2011-04-15","","03","폐업","03","폐업","2016-03-02","","","","033-652-5302","","210-250","강원특별자치도 강릉시 입암동 104번지 1호","강원특별자치도 강릉시 월대산로 71 (입암동)","25578","아이플러스안경원","2016-03-02 12:08:53","I","2023-06-13 00:00:00","","368968.951023453","474801.996885545","1","1","1","2","2","2","1","2","2","52.45",
"214","안경업","01_02_01_P","4201000","PHMB220234200028082200001","2023-06-07","","03","폐업","03","폐업","2024-02-25","","","","","","","강원특별자치도 강릉시 성남동 254","강원특별자치도 강릉시 임영로 102, 105호 (성남동)","25544","아이빛안경","2024-07-11 10:26:16","U","2024-07-13 02:40:00","","366951.313681556","473763.154554713","1","0","0","1","1","0","0","0","0","30.23",
"215","안경업","01_02_01_P","4201000","PHMB219744200028082200001","1974-05-11","","03","폐업","03","폐업","2013-05-31","","","","","","210-806","강원특별자치도 강릉시 주문진읍 주문리 270번지 16호","강원특별자치도 강릉시 주문진읍 주문북로 10-2","210-806","영릉사","2013-07-01 10:56:37","I","2023-06-13 00:00:00","","361054.359089297","489696.826905499","1","1","1","1","1","1","1","1","1","0",
"216","안경업","01_02_01_P","4201000","PHMB219934200028082200001","1993-09-07","","03","폐업","03","폐업","2011-12-13","","","","","","210-940","강원특별자치도 강릉시 포남2동 1073번지 3호","강원특별자치도 강릉시 강릉대로 443 (포남동)","","안경방트윈스","2011-12-13 15:23:10","I","2023-06-13 00:00:00","","368387.893989852","476229.703465364","0","0","0","0","0","0","0","0","0","0",
"217","안경업","01_02_01_P","4201000","PHMB219964200028082200001","1996-02-07","","03","폐업","03","폐업","2011-09-07","","","","","","210-938","강원특별자치도 강릉시 입암동 708번지 1호","강원특별자치도 강릉시 성덕포남로 53 (입암동)","","그린안경","2011-09-07 18:03:15","I","2023-06-13 00:00:00","","369036.44008243","474739.132815298","0","0","0","0","0","0","0","0","0","0",
"218","안경업","01_02_01_P","4201000","PHMB219964200028082200002","1996-05-07","","03","폐업","03","폐업","2016-12-01","","","","","","210-701","강원특별자치도 강릉시 내곡동 522번지 관동대학교내 복지관 1층","강원특별자치도 강릉시 범일로579번길 24 (내곡동)","25601","관동대안경원","2019-08-30 11:37:33","I","2023-06-13 00:00:00","","365136.451379883","472058.531076918","1","1","1","2","1","1","2","2","1","0",
"219","안경업","01_02_01_P","4201000","PHMB220134200028082200001","2013-03-13","","03","폐업","03","폐업","2014-07-25","","","","","","","","강원특별자치도 강릉시 하평길 30 (포남동)","210-953","우리들 안경","2014-12-30 09:27:20","I","2023-06-13 00:00:00","","368385.342760005","475911.403195021","1","1","1","1","2","1","1","2","1","62.8",
"220","안경업","01_02_01_P","4201000","PHMB220164200028082200002","2016-08-30","","03","폐업","03","폐업","2022-03-15","","","","033-641-5442","","","","강원특별자치도 강릉시 경강로 2092-1 (임당동)","25540","렌즈미강릉점","2022-10-27 18:05:42","I","2023-06-13 00:00:00","","367030.702527507","474134.305000102","1","1","1","1","1","1","1","1","1","23",
"221","안경업","01_02_01_P","4201000","PHMB220174200028082200001","2017-02-09","","03","폐업","03","폐업","2021-04-14","","","","033-644-9602","","","강원특별자치도 강릉시 내곡동 522번지","강원특별자치도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)","25601","가톨릭관동대안경원","2021-04-14 08:50:57","I","2023-06-13 00:00:00","","365136.451379883","472058.531076918","1","1","1","1","1","1","1","1","1","65.28",
"222","안경업","01_02_01_P","4201000","PHMB220214200028082200001","2021-09-07","","03","폐업","03","폐업","2024-02-21","","","","","","","강원특별자치도 강릉시 포남동 1167-6","강원특별자치도 강릉시 성덕포남로188번길 6, 2층 (포남동)","25572","강원대학교 시력교정 전문가 그룹 새로안 안경","2024-11-18 20:18:43","U","2024-11-20 02:40:00","","368134.660918449","475724.902158904","1","0","0","1","1","0","0","0","0","48.95",
"223","안경업","01_02_01_P","4201000","PHMB220114200028082200001","2011-03-09","","01","영업/정상","13","영업중","","","","","033-644-0090","","","강원특별자치도 강릉시 성남동 105번지 3호","강원특별자치도 강릉시 금성로45번길 5, 1층 (성남동)","25544","상미안경","2025-09-15 09:54:50","U","2025-09-17 02:40:00","","367066.749497258","473894.84469603","1","1","1","2","2","1","1","1","1","47.2",
"224","안경업","01_02_01_P","4201000","PHMB220134200028082200004","2013-07-02","","01","영업/정상","13","영업중","","","","","033-643-6019","","","강원특별자치도 강릉시 금학동 100-4","강원특별자치도 강릉시 신대학길 31 (금학동)","25540","오렌즈강릉점","2025-09-15 10:15:21","U","2025-09-17 02:40:00","","367052.942815858","474062.661948614","1","1","1","1","1","1","1","1","1","60",
"225","안경업","01_02_01_P","4201000","PHMB220164200028082200001","2016-03-02","","01","영업/정상","13","영업중","","","","","033-652-5302","","","","강원특별자치도 강릉시 월대산로 71 (입암동)","25578","아이플러스안경원","2023-11-06 12:40:00","U","2023-11-08 02:40:00","","368968.951023453","474801.996885545","1","1","1","2","2","2","1","2","2","48",
"226","안경업","01_02_01_P","4201000","PHMB220184200028082200001","2018-03-08","","01","영업/정상","13","영업중","","","","","033-645-1006","","","강원특별자치도 강릉시 임당동 141번지 1호","강원특별자치도 강릉시 경강로 2075 (임당동)","25533","다비치안경강릉대학로점","2023-11-06 12:38:49","U","2023-11-08 02:40:00","","366874.358216962","474058.528605779","2","2","2","1","2","2","2","2","3","194.65",
"227","안경업","01_02_01_P","4201000","PHMB219974200028082200001","1997-01-16","","01","영업/정상","13","영업중","","","","","033-651-5802","","210-943","강원특별자치도 강릉시 포남1동 1114번지 2호","강원특별자치도 강릉시 강릉대로 363 (포남동)","25492","라쌍떼안경원","2025-09-15 11:02:38","U","2025-09-17 02:40:00","","367893.061259521","475624.181510471","1","1","1","2","1","1","1","1","2","0",
"228","안경업","01_02_01_P","4201000","PHMB219984200028082200003","1998-11-20","","01","영업/정상","13","영업중","","","","","033-662-1008","","210-803","강원특별자치도 강릉시 주문진읍 교항10리 177번지 4호","강원특별자치도 강릉시 주문진읍 주문로 42","25419","월드안경","2019-08-31 10:57:06","I","2023-06-13 00:00:00","","360536.166694699","488781.213232392","1","1","1","1","1","1","1","1","1","0",
"229","안경업","01_02_01_P","4201000","PHMB219994200028082200001","1999-04-09","","01","영업/정상","13","영업중","","","","","033-643-5802","","210-080","강원특별자치도 강릉시 임당동 112번지 1호 문선빌딩1층","강원특별자치도 강릉시 경강로 2109 (임당동)","25532","강릉라쌍떼","2023-11-06 13:12:16","U","2023-11-08 02:40:00","","367111.831343426","474287.818576962","2","2","2","2","4","1","1","1","2","0",
"230","안경업","01_02_01_P","4201000","PHMB219994200028082200002","1999-04-10","","01","영업/정상","13","영업중","","","","","033-642-0102","","210-922","강원특별자치도 강릉시 교2동 801번지 5호","강원특별자치도 강릉시 율곡로 2940 (교동)","25490","참사랑안경","2019-08-31 10:55:19","I","2023-06-13 00:00:00","","366631.688431667","475301.679038539","1","1","1","1","1","1","1","1","1","0",
"231","안경업","01_02_01_P","4201000","PHMB220004200028082200001","2000-03-03","","01","영업/정상","13","영업중","","","","","033-648-2412","","210-702","강원특별자치도 강릉시 지변동 123번지 강릉원주대학교내 1층","강원특별자치도 강릉시 죽헌길 7 (지변동)","25457","강릉대안경원","2025-09-15 11:01:09","U","2025-09-17 02:40:00","","364627.278082023","475810.449226925","2","2","1","1","1","1","1","1","1","0",
"232","안경업","01_02_01_P","4201000","PHMB220024200028082200001","2002-12-26","","01","영업/정상","13","영업중","","","","","033-651-1301","","210-140","강원특별자치도 강릉시 송정동 1008번지 7호","강원특별자치도 강릉시 경강로 2398-10 (송정동)","25563","안경진정성 이마트강릉점","2023-11-06 13:11:14","U","2023-11-08 02:40:00","","369334.629080122","475954.381315576","1","1","1","2","3","1","1","1","3","0",
"233","안경업","01_02_01_P","4201000","PHMB220034200028082200001","2003-08-29","","01","영업/정상","13","영업중","","","","","033-645-0491","","210-924","강원특별자치도 강릉시 교1동 1861번지 2호","강원특별자치도 강릉시 교동광장로 137 (교동)","25513","오렌즈강릉교동점센스안경","2022-11-08 11:19:30","I","2023-06-13 00:00:00","","365588.016560449","475217.590461774","2","5","1","2","2","2","2","2","2","0",
"234","안경업","01_02_01_P","4201000","PHMB220034200028082200002","2003-09-19","","01","영업/정상","13","영업중","","","","","033-642-0986","","","강원특별자치도 강릉시 교동 1888-3","강원특별자치도 강릉시 솔올로 9, 1층 (교동)","25515","글라스타","2020-09-29 10:49:15","I","2023-06-13 00:00:00","","365354.054746923","475083.663036931","1","1","1","1","1","1","1","1","2","0",
"235","안경업","01_02_01_P","4201000","PHMB220044200028082200001","2004-04-29","","01","영업/정상","13","영업중","","","","","033-647-1331","","210-715","강원특별자치도 강릉시 임당동 114번지 2호 동아빌딩1층","강원특별자치도 강릉시 경강로 2110 (임당동)","25540","1001안경콘텍트","2025-09-15 10:53:41","U","2025-09-17 02:40:00","","367168.990388628","474231.992217697","2","1","1","2","1","2","1","1","2","0",
"236","안경업","01_02_01_P","4201000","PHMB220144200028082200002","2014-11-20","","01","영업/정상","13","영업중","","","","","033-652-9661","","210-935","강원특별자치도 강릉시 입암동 104번지 11호","강원특별자치도 강릉시 월대산로 65 (입암동)","25578","안경마트","2025-09-15 10:14:03","U","2025-09-17 02:40:00","","368931.911690004","474796.057315926","1","1","1","1","1","1","1","1","1","145",
"237","안경업","01_02_01_P","4201000","PHMB219814200028082200001","1981-06-30","","01","영업/정상","13","영업중","","","","","033-648-0858","","210-060","강원특별자치도 강릉시 금학동 74번지 13호","강원특별자치도 강릉시 금성로 54 (금학동)","25539","보안당안경원","2023-11-06 13:17:39","U","2023-11-08 02:40:00","","366961.884453153","473874.422239203","2","1","1","1","2","1","1","1","1","0",
"238","안경업","01_02_01_P","4201000","PHMB219834200028082200001","1983-06-29","","01","영업/정상","13","영업중","","","","","033-646-0878","","210-933","강원특별자치도 강릉시 옥천동 206번지 5호","강원특별자치도 강릉시 경강로 2174 (옥천동)","25553","안경나라","2025-09-15 10:09:14","U","2025-09-17 02:40:00","","367607.321674296","474671.003254052","1","1","1","1","1","1","1","1","1","0",
"239","안경업","01_02_01_P","4201000","PHMB219854200028082200001","1985-04-25","","01","영업/정상","13","영업중","","","","","033-662-2811","","","강원특별자치도 강릉시 주문진읍 교항리 217-2","강원특별자치도 강릉시 주문진읍 주문로 73","25414","서독안경","2024-09-11 16:39:44","U","2024-09-13 02:40:00","","360536.809037705","489106.602393591","2","1","1","1","2","1","1","1","1","0",
"240","안경업","01_02_01_P","4201000","PHMB219854200028082200002","1985-11-30","","01","영업/정상","13","영업중","","","","","033-642-3134","","","강원특별자치도 강릉시 임당동 71번지 8호","강원특별자치도 강릉시 토성로 156 (임당동)","25533","이태리안경원","2025-09-15 10:51:30","U","2025-09-17 02:40:00","","366802.639988392","474218.64317103","2","1","2","2","1","1","2","2","1","0",
"241","안경업","01_02_01_P","4201000","PHMB219864200028082200001","1986-06-05","","01","영업/정상","13","영업중","","","","","033-648-5404","","","강원특별자치도 강릉시 금학동 98-2","강원특별자치도 강릉시 금성로42번길 9(금학동)","25539","불란서안경원","2023-11-06 13:14:49","U","2023-11-08 02:40:00","","367000.070250507","474026.422035843","2","2","2","2","2","1","2","2","3","172.76",
"242","안경업","01_02_01_P","4201000","PHMB219904200028082200001","1990-06-28","","01","영업/정상","13","영업중","","","","","033-652-4771","","210-943","강원특별자치도 강릉시 포남1동 1187번지","강원특별자치도 강릉시 하평길 46 (포남동)","25568","모닝안경원","2019-08-31 11:01:27","I","2023-06-13 00:00:00","","368540.804923038","475895.703392754","1","1","1","1","1","2","1","1","0","0",
"243","안경업","01_02_01_P","4201000","PHMB219964200028082200003","1996-06-05","","01","영업/정상","13","영업중","","","","","033-648-4459","","210-040","강원특별자치도 강릉시 성내동 13번지 10호","강원특별자치도 강릉시 임영로 114 (성내동)","25539","씨채널안경","2025-09-15 11:03:40","U","2025-09-17 02:40:00","","366856.646333491","473844.274354986","1","2","1","1","1","1","1","1","1","0",
"244","안경업","01_02_01_P","4201000","PHMB220084200028082200001","2008-12-15","","01","영업/정상","13","영업중","","","","","033-662-7881","","210-801","강원특별자치도 강릉시 주문진읍 교항리 198번지 1호 1층","강원특별자치도 강릉시 주문진읍 장성로 48","25419","밝은세상안경","2025-09-15 09:48:07","U","2025-09-17 02:40:00","","360502.42774918","488831.04465383","1","1","1","2","2","1","1","1","2","39.22",
"245","안경업","01_02_01_P","4201000","PHMB220094200028082200002","2009-11-30","","01","영업/정상","13","영업중","","","","","033-643-0813","","","강원특별자치도 강릉시 임당동 103번지 18호","강원특별자치도 강릉시 경강로 2115, 1층 (임당동)","25531","안경하세요","2025-09-15 10:50:30","U","2025-09-17 02:40:00","","367180.163028715","474301.678286764","1","1","1","1","3","1","1","3","3","36.67",
"246","안경업","01_02_01_P","4201000","PHMB220094200028082200001","2009-09-29","","01","영업/정상","13","영업중","","","","","070-8825-4638","","210-924","강원특별자치도 강릉시 교1동 1880번지 5호 은성빌딩1층","강원특별자치도 강릉시 교동광장로 103 (교동)","25512","아이홀릭 안경.콘택트","2025-09-15 10:46:46","U","2025-09-17 02:40:00","","365258.518902454","475279.195970031","1","1","1","1","1","1","1","2","1","117.04",
"247","안경업","01_02_01_P","4201000","PHMB220104200028082200001","2010-06-14","","01","영업/정상","13","영업중","","","","","033-644-9812","","210-924","강원특별자치도 강릉시 교1동 1862번지 2호 101호","강원특별자치도 강릉시 교동광장로 127 (교동)","25513","아이미안경","2023-11-06 12:44:16","U","2023-11-08 02:40:00","","365494.374924664","475233.863275471","1","5","1","1","3","1","1","1","3","124.12",
"248","안경업","01_02_01_P","4201000","PHMB220104200028082200002","2010-10-12","","01","영업/정상","13","영업중","","","","","033-648-2323","","","강원특별자치도 강릉시 옥천동 72-4","강원특별자치도 강릉시 은행나무길 1(옥천동)","25541","다비치안경옥천오거리점","2025-09-15 10:44:19","U","2025-09-17 02:40:00","","367319.09637002","474268.306571148","2","2","2","2","6","1","1","4","4","264",
"249","안경업","01_02_01_P","4201000","PHMB220124200028082200001","2012-05-30","","01","영업/정상","13","영업중","","","","","033-651-5505","","","강원특별자치도 강릉시 입암동 98-4","강원특별자치도 강릉시 성덕포남로 64, 202호 (입암동)","25576","새로안 안경 남강릉센터","2025-09-15 09:56:42","U","2025-09-17 02:40:00","","369017.259572109","474848.185132913","1","1","1","1","2","1","1","2","2","0",
"250","안경업","01_02_01_P","4201000","PHMB220134200028082200003","2013-05-01","","01","영업/정상","13","영업중","","","","","033-661-7733","","210-801","강원특별자치도 강릉시 주문진읍 교항리 127번지 13호","강원특별자치도 강릉시 주문진읍 오동나무길 1","25419","눈애미소 안경원","2025-09-15 10:43:14","U","2025-09-17 02:40:00","","360495.79204222","488706.092348422","1","1","1","1","2","1","1","2","2","206",
"251","안경업","01_02_01_P","4201000","PHMB220134200028082200002","2013-04-16","","01","영업/정상","13","영업중","","","","","033-661-9690","","","강원특별자치도 강릉시 주문진읍 교항리 179번지 12호","강원특별자치도 강릉시 주문진읍 주문로 58, 1층","25418","1001 안경원(주문진점)","2019-08-31 10:46:18","I","2023-06-13 00:00:00","","360550.643912116","488944.20590408","2","2","1","1","3","1","1","3","3","49.43",
"252","안경업","01_02_01_P","4201000","PHMB220144200028082200001","2014-09-23","","01","영업/정상","13","영업중","","","","","033-647-3008","","","","강원특별자치도 강릉시 경강로 2234 (포남동)","25547","보다안경원(VODA)","2023-11-06 12:40:58","U","2023-11-08 02:40:00","","368023.788511529","475147.258655366","1","1","1","1","1","1","1","1","1","92.31",
"253","안경업","01_02_01_P","4201000","PHMB219994200028082200003","1999-06-19","","01","영업/정상","13","영업중","","","","","033-647-0074","","","강원특별자치도 강릉시 임당동 83번지 1호","강원특별자치도 강릉시 문화의길 1 (임당동)","25533","서울안경","2025-09-15 10:02:45","U","2025-09-17 02:40:00","","366979.600128859","474147.30669323","1","1","1","1","1","1","1","1","1","24",
"254","안경업","01_02_01_P","4201000","PHMB220184200028082200002","2018-06-26","","01","영업/정상","13","영업중","","","","","033-655-2828","","","강원특별자치도 강릉시 임당동 87번지 3호","강원특별자치도 강릉시 경강로 2105, 2층 (임당동)","25532","으뜸50안경 강릉옥천오거리점","2023-11-06 12:36:48","U","2023-11-08 02:40:00","","367099.534215415","474241.872296842","1","1","1","1","1","1","1","2","2","146.23",
"255","안경업","01_02_01_P","4201000","PHMB220074200028082200001","2007-08-08","","01","영업/정상","13","영업중","","","","","033-647-1017","","210-933","강원특별자치도 강릉시 옥천동 185번지 3호","강원특별자치도 강릉시 경강로 2121 (옥천동)","25531","글라스바바안경","2025-09-15 10:59:40","U","2025-09-17 02:40:00","","367225.626292689","474343.054946473","2","3","2","2","4","2","2","2","3","0",
"256","안경업","01_02_01_P","4201000","PHMB220204200028082200001","2020-06-25","","01","영업/정상","13","영업중","","","","","033-645-0133","","","강원특별자치도 강릉시 임당동 73번지 4호","강원특별자치도 강릉시 문화의길 17-1, 1층 (임당동)","25533","OOTD 안경원","2020-07-06 11:03:19","I","2023-06-13 00:00:00","","366838.174113471","474228.159772974","1","1","1","1","1","1","1","2","3","118.1",
"257","안경업","01_02_01_P","4201000","PHMB220224200028082200002","2022-03-30","","01","영업/정상","13","영업중","","","","","033-642-8690","","","","강원특별자치도 강릉시 경강로 2100, 신영빌딩 2 103호 (임당동)","25540","안경진정성 강릉중앙로점","2023-11-06 12:35:50","U","2023-11-08 02:40:00","","367081.629567027","474168.095625465","1","0","0","1","1","0","0","0","0","158",
"258","안경업","01_02_01_P","4201000","PHMB220224200028082200001","2022-01-28","","01","영업/정상","13","영업중","","","","","033-644-4009","","","강원특별자치도 강릉시 임당동 126-3","강원특별자치도 강릉시 경강로 2090-1, 2층 (임당동)","25540","으뜸플러스 강릉점","2023-11-06 12:33:41","U","2023-11-08 02:40:00","","367005.70696945","474105.490140165","1","0","0","1","1","0","0","0","0","0",
"259","안경업","01_02_01_P","4201000","PHMB220224200028082200003","2022-04-25","","01","영업/정상","13","영업중","","","","","033-823-3570","","","","강원특별자치도 강릉시 선수촌로 79-7, 1층 104호 (홍제동)","25522","안경,오늘","2025-09-15 10:41:48","U","2025-09-17 02:40:00","","364690.137686606","474458.923178357","1","0","0","1","1","0","0","0","0","45",
"260","안경업","01_02_01_P","4211000","PHMB219914210020082200001","1991-07-02","","03","폐업","03","폐업","2017-08-11","","","","033-531-7766","","240-810","강원특별자치도 동해시 천곡동 853","강원특별자치도 동해시 중앙로 238, 1층 (천곡동)","25769","프리즘안경","2017-08-24 11:46:36","I","2023-06-13 00:00:00","","386893.431097342","448748.331391623","0","0","0","0","0","0","0","0","0","0",
"261","안경업","01_02_01_P","4211000","PHMB219914210020082200004","1991-07-03","","03","폐업","03","폐업","2011-11-22","","","","033-522-4100","","240-805","강원특별자치도 동해시 송정동 849번지 73호","강원특별자치도 동해시 송정중앙로 54 (송정동)","240-805","서독안경","2011-11-22 15:40:47","I","2023-06-13 00:00:00","","387978.168531663","446130.272637909","0","0","0","0","0","0","0","0","0","0",
"262","안경업","01_02_01_P","4211000","PHMB219954210020082200001","1995-09-25","","03","폐업","03","폐업","2015-02-12","","","","033-522-3371","","240-719","강원특별자치도 동해시 동회동 442번지 대동아파트상가동 1048호","강원특별자치도 동해시 청운1길 29, 1층 1048호 (동회동, 대동아파트상가동)","240-719","민안경","2015-02-12 16:09:04","I","2023-06-13 00:00:00","","386177.814049483","444870.370953969","0","0","0","0","0","0","0","0","0","18.9",
"263","안경업","01_02_01_P","4211000","PHMB219964210020082200001","1996-04-16","","03","폐업","03","폐업","2013-01-30","","","","033-532-8839","","240-801","강원특별자치도 동해시 발한동 235-1","강원특별자치도 동해시 해안로 531 (발한동)","240-041","실로암안경원","2013-01-30 16:36:07","I","2023-06-13 00:00:00","","386115.192039886","451596.309962712","0","0","0","0","0","0","0","0","0","0",
"264","안경업","01_02_01_P","4211000","PHMB219984210020082200001","1998-06-11","","03","폐업","03","폐업","2011-02-07","","","","033-531-5582","","240-810","강원특별자치도 동해시 천곡동 1077-5","강원특별자치도 동해시 한섬로 61-1 (천곡동)","240-810","안경사랑","2011-11-11 16:59:09","I","2023-06-13 00:00:00","","386543.49729853","448573.800520608","0","0","0","0","0","0","0","0","0","0",
"265","안경업","01_02_01_P","4211000","PHMB220004210020082200001","2000-04-06","","03","폐업","03","폐업","2009-02-06","","","","033-522-0799","","240-170","강원특별자치도 동해시 나안동 174-5","","","아이센스안경원","2009-02-06 13:14:01","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","0",
"266","안경업","01_02_01_P","4211000","PHMB220034210020082200002","2003-07-24","","03","폐업","03","폐업","2009-02-23","","","","033-532-8080","","240-809","강원특별자치도 동해시 천곡동 1060-2","","","열린안경","2009-02-23 10:27:14","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","0",
"267","안경업","01_02_01_P","4211000","PHMB220044210020082200001","2004-13-31","","03","폐업","03","폐업","2017-04-10","","","","033-533-5121","","","강원특별자치도 동해시 동회동 442번지 상가동 1029,호","강원특별자치도 동해시 청운1길 29, 상가동 1029,1030,1031호 (동회동, 대동아파트)","25807","안경나라","2017-04-11 10:26:13","I","2023-06-13 00:00:00","","386177.814049483","444870.370953969","1","1","1","1","1","1","1","1","1","51",
"268","안경업","01_02_01_P","4211000","PHMB220054210020082200001","2005-04-21","","03","폐업","03","폐업","2011-04-08","","","","033-533-2258","","240-810","강원특별자치도 동해시 천곡동 1074","","","아이메이트안경원","2011-04-08 13:13:50","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","71.82",
"269","안경업","01_02_01_P","4211000","PHMB220084210020082200001","2008-05-23","","03","폐업","03","폐업","2010-06-17","","","","","","240-810","강원특별자치도 동해시 천곡동 1072","","","베스트안경원","2010-06-17 11:36:31","I","2023-06-13 00:00:00","","","","0","0","0","0","0","0","0","0","0","0",
"270","안경업","01_02_01_P","4211000","PHMB220084210020082200002","2008-05-29","","03","폐업","03","폐업","2017-01-25","","","","033-534-2537","","240-809","강원특별자치도 동해시 천곡동 1068번지","강원특별자치도 동해시 중앙로 229 (천곡동)","25768","정안경원","2017-03-03 11:26:50","I","2023-06-13 00:00:00","","386842.161715477","448646.584245127","0","0","0","0","0","0","0","0","0","0",
"271","안경업","01_02_01_P","4211000","PHMB220094210020082200001","2009-03-10","","03","폐업","03","폐업","2010-12-24","","","","531-5445","","240-810","강원특별자치도 동해시 천곡동 1079번지 3호 유화빌딩 1층","강원특별자치도 동해시 천곡로 40 (천곡동,유화빌딩 1층)","","이지안경원","2010-12-24 13:29:21","I","2023-06-13 00:00:00","","386411.484451589","448970.52037143","1","1","1","1","1","1","1","1","1","114.4",
"272","안경업","01_02_01_P","4211000","PHMB220194210020082200002","2019-10-18","","03","폐업","03","폐업","2024-10-10","","","","033-521-3222","","","","강원특별자치도 동해시 효자남길 24, 동보상가 다동 4-5호 (동회동)","25808","지니스안경동보상가점","2024-10-10 11:54:13","U","2024-10-12 02:40:00","","386471.466984915","445005.947147876","1","1","1","1","1","1","1","1","1","0",
"273","안경업","01_02_01_P","4211000","PHMB220174210020082200003","2017-07-31","","01","영업/정상","13","영업중","","","","","033-521-0188","","","","강원특별자치도 동해시 대동로 127 (북평동)","25813","수안경","2017-07-31 10:45:19","I","2023-06-13 00:00:00","","387987.601992452","444437.537237849","1","1","1","1","1","1","1","1","1","79.3",
"274","안경업","01_02_01_P","4211000","PHMB220174210020082200002","2017-04-21","","01","영업/정상","13","영업중","","","","","033-534-2537","","","","강원특별자치도 동해시 한섬로 126 (천곡동)","25770","정안경","2017-04-21 16:56:53","I","2023-06-13 00:00:00","","387154.061735563","448698.585227749","1","2","1","1","2","1","1","1","2","105.8",
"275","안경업","01_02_01_P","4211000","PHMB220214210020082200001","2021-09-10","","01","영업/정상","13","영업중","","","","","033-532-3737","","","강원특별자치도 동해시 천곡동 1060-2 동해 센트로빌 아파트","강원특별자치도 동해시 한섬로 73, 상가동 108호 (천곡동, 동해 센트로빌 아파트)","25767","세컨페이스 동해점","2021-09-13 08:37:18","I","2023-06-13 00:00:00","","386652.211273402","448572.862310602","1","0","0","1","2","0","0","0","0","59.99",
"276","안경업","01_02_01_P","4211000","PHMB219914210020082200002","1991-07-02","","01","영업/정상","13","영업중","","","","","033-531-3813","","240-041","강원특별자치도 동해시 발한동 702번지 53호","강원특별자치도 동해시 발한로 187 (발한동)","25721","정시당안경원","2011-11-21 12:36:03","I","2023-06-13 00:00:00","","386130.904996929","451536.473875391","0","0","0","0","0","0","0","0","0","0",
"277","안경업","01_02_01_P","4211000","PHMB219914210020082200003","1991-07-02","","01","영업/정상","13","영업중","","","","","033-531-3236","","240-804","강원특별자치도 동해시 발한동 37번지 11호","강원특별자치도 동해시 발한로 202 (발한동)","25719","광명당안경원","2011-11-21 12:39:19","I","2023-06-13 00:00:00","","386288.114090163","451547.889377476","0","0","0","0","0","0","0","0","0","0",
"278","안경업","01_02_01_P","4211000","PHMB219934210020082200001","1993-02-28","","01","영업/정상","13","영업중","","","","","033-533-4171","","240-810","강원특별자치도 동해시 천곡동 801-13","강원특별자치도 동해시 천곡로 55 (천곡동)","25759","안경박사","2011-11-11 17:36:30","I","2023-06-13 00:00:00","","386589.130595253","448974.391105819","0","0","0","0","0","0","0","0","0","0",
"279","안경업","01_02_01_P","4211000","PHMB219934210020082200002","1993-11-13","","01","영업/정상","13","영업중","","","","","033-533-0762","","240-810","강원특별자치도 동해시 천곡동 1076","강원특별자치도 동해시 천곡로 68 (천곡동)","25768","에이스안경원","2015-02-11 17:57:00","I","2023-06-13 00:00:00","","386714.603074597","448877.779980518","0","0","0","0","0","0","0","0","0","59.5",
"280","안경업","01_02_01_P","4211000","PHMB219954210020082200002","1995-10-28","","01","영업/정상","13","영업중","","","","","533-7883","","","","강원특별자치도 동해시 발한로 220 (발한동)","25719","예스안경","2016-04-18 14:32:14","I","2023-06-13 00:00:00","","386312.122946211","451734.577858368","0","1","1","1","1","1","1","1","1","50",
"281","안경업","01_02_01_P","4211000","PHMB219964210020082200002","1996-04-27","","01","영업/정상","13","영업중","","","","","033-532-5552","","","강원특별자치도 동해시 천곡동 1069 금강산약국","강원특별자치도 동해시 중앙로 231, 2층 201호 (천곡동)","25768","맑은누리 비젼케어센터","2023-06-20 17:46:31","U","2023-06-22 02:40:00","","386828.62469421","448667.612774727","2","0","0","1","3","0","0","0","0","241.82",
"282","안경업","01_02_01_P","4211000","PHMB220024210020082200001","2002-03-19","","01","영업/정상","13","영업중","","","","","033-531-7766","","","","강원특별자치도 동해시 발한로 215-3 (발한동, 프리즘안경)","25720","프리즘안경묵호점","2017-09-05 09:28:34","I","2023-06-13 00:00:00","","386279.554435115","451707.567640023","0","0","0","0","0","0","0","0","0","50",
