"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"2560","숙박업","03_11_03_P","4341000","4341000-214-2021-00002","2021-01-19","","01","영업/정상","01","영업","","","","","","186.48","","강원특별자치도 고성군 죽왕면 가진리 235-1","강원특별자치도 고성군 죽왕면 가향길 20-3","24744","마크툽 비치하우스 고성","2021-03-03 12:00:45","I","2023-06-13 00:00:00","숙박업(생활)","331446.854407558","542398.969329988","숙박업(생활)","3","0","1","3","0","0","0","2","","","","자가","0","0","N",
"2561","숙박업","03_11_03_P","4341000","4341000-201-2000-00001","2000-04-18","","01","영업/정상","01","영업","","","","","033 6326026","605.60","","강원특별자치도 고성군 죽왕면 문암진리 185-24","강원특별자치도 고성군 죽왕면 천학정길 65","24752","바닷가 펜션","2023-05-17 16:32:56","I","2023-06-13 00:00:00","여관업","335310.289795507","533458.405503897","여관업","3","0","1","3","0","0","0","15","","","","","0","0","N",
"2562","숙박업","03_11_03_P","4341000","4341000-214-2021-00003","2021-03-31","","01","영업/정상","01","영업","","","","","","190.46","","강원특별자치도 고성군 죽왕면 삼포리 215-10","강원특별자치도 고성군 죽왕면 삼포민박촌1길 14-6","24750","조아펜션","2021-03-31 14:48:01","I","2023-06-13 00:00:00","숙박업(생활)","333852.216420034","535726.756198204","숙박업(생활)","2","0","1","2","0","0","0","4","","","","자가","0","0","N",
"2563","숙박업","03_11_03_P","4341000","4341000-201-2021-00001","2021-05-28","","01","영업/정상","01","영업","","","","","","401.45","","강원특별자치도 고성군 간성읍 장신리 513","강원특별자치도 고성군 간성읍 소똥령마을길 32","24741","숨터 게스트하우스","2024-03-05 11:56:34","U","2024-03-07 02:40:00","숙박업 기타","320452.661796686","537276.688819974","숙박업 기타","2","0","1","2","0","0","2","6","","","","임대","0","0","N",
"2564","숙박업","03_11_03_P","4341000","4341000-214-2021-00006","2021-06-30","","01","영업/정상","01","영업","","","","","033 681 2121","195.42","","강원특별자치도 고성군 죽왕면 가진리 26","강원특별자치도 고성군 죽왕면 가진해변길 85","24744","샤인하우스","2021-06-30 09:50:28","I","2023-06-13 00:00:00","숙박업(생활)","331765.525757455","541927.163974595","숙박업(생활)","3","0","1","3","0","0","0","3","","","","자가","0","0","N",
"2565","숙박업","03_11_03_P","4341000","4341000-214-2021-00008","2021-07-16","","01","영업/정상","01","영업","","","","","","78.24","","강원특별자치도 고성군 죽왕면 가진리 236-2","강원특별자치도 고성군 죽왕면 가향길 20-2","24744","스테이디","2025-02-18 13:37:26","U","2025-02-20 02:40:00","숙박업(생활)","331457.715855384","542387.505465957","숙박업(생활)","0","0","0","0","0","0","0","1","","","","","0","0","N",
"2566","숙박업","03_11_03_P","4341000","4341000-214-2019-00007","2019-12-19","","01","영업/정상","01","영업","","","","","","964.96","","강원특별자치도 고성군 토성면 용촌리 363-13","강원특별자치도 고성군 토성면 사진용촌1길 10-10","24770","고성 벨로시","2025-07-25 17:43:40","U","2025-07-27 02:40:00","숙박업(생활)","337880.479257299","526076.176201941","숙박업(생활)","1","3","2","3","0","0","0","12","","","","임대","0","0","N",
"2567","숙박업","03_11_03_P","4341000","4341000-201-2021-00002","2021-08-03","","01","영업/정상","01","영업","","","","","","650.89","","강원특별자치도 고성군 현내면 명파리 230-11 명파비지터센터","강원특별자치도 고성군 현내면 명파4길 43, 명파비지터센터","24701","아트호텔","2021-08-03 17:04:17","I","2023-06-13 00:00:00","숙박업 기타","322389.444762986","561015.111457558","숙박업 기타","2","0","0","0","0","0","1","7","","","","임대","0","0","N",
"2568","숙박업","03_11_03_P","4341000","4341000-214-2021-00010","2021-08-23","","01","영업/정상","01","영업","","","","","","1015.32","","강원특별자치도 고성군 토성면 용촌리 363-14","강원특별자치도 고성군 토성면 사진용촌1길 10-6","24770","용촌키즈펜션","2021-08-23 17:29:54","I","2023-06-13 00:00:00","숙박업(생활)","337908.449373148","526056.607792547","숙박업(생활)","3","1","1","3","1","1","0","14","","","","임대","0","0","N",
"2569","숙박업","03_11_03_P","4341000","4341000-214-2021-00011","2021-10-19","","01","영업/정상","01","영업","","","","","033 639 8451","52720.16","","강원특별자치도 고성군 토성면 원암리 403-24 델피노골프&리조트","강원특별자치도 고성군 토성면 미시령옛길 1153, 소노펠리체 델피노","24768","소노펠리체 델피노","2025-05-09 13:32:42","U","2025-05-11 02:40:00","휴양콘도미니엄업","331116.910496187","524073.824015649","휴양콘도미니엄업","12","1","1","12","0","0","0","211","","","","","0","0","N",
"2570","숙박업","03_11_03_P","4341000","4341000-214-2021-00013","2021-11-15","","01","영업/정상","01","영업","","","","","","94.38","","강원특별자치도 고성군 거진읍 거진리 287-185 야송식당","강원특별자치도 고성군 거진읍 거탄진로 134, 2층","24713","피치펜션","2021-11-15 17:06:12","I","2023-06-13 00:00:00","숙박업(생활)","327004.529999726","550270.875457973","숙박업(생활)","3","1","2","0","0","0","0","3","","","","자가","0","0","N",
"2571","숙박업","03_11_03_P","4341000","4341000-214-2021-00007","2021-07-15","","01","영업/정상","01","영업","","","","","","384.36","","강원특별자치도 고성군 토성면 아야진리 231-1","강원특별자치도 고성군 토성면 아야진해변길 165","24756","아야진 스테이","2021-07-15 17:03:53","I","2023-06-13 00:00:00","숙박업(생활)","335802.664648603","531611.48466094","숙박업(생활)","4","0","3","4","0","0","0","7","","","","자가","0","0","N",
"2572","숙박업","03_11_03_P","4341000","4341000-214-2021-00012","2021-10-28","","01","영업/정상","01","영업","","","","","070 87777442","420.91","","강원특별자치도 고성군 죽왕면 삼포리 497-1","강원특별자치도 고성군 죽왕면 봉수대길 118","24750","서로재","2022-06-03 17:37:12","I","2023-06-13 00:00:00","숙박업(생활)","332681.13412794","535866.887065634","숙박업(생활)","0","0","0","0","0","0","0","7","","","","","0","0","N",
"2573","숙박업","03_11_03_P","4341000","4341000-201-2015-00003","2015-11-06","","01","영업/정상","01","영업","","","","","033 682 3980","736.53","","강원특별자치도 고성군 거진읍 거진리 428-18","강원특별자치도 고성군 거진읍 거탄진로 15","24720","거진호텔","2023-01-05 15:39:55","I","2023-06-13 00:00:00","여관업","326475.939940076","549315.920632636","여관업","4","1","1","4","0","0","12","14","","","","자가","0","0","N",
"2574","숙박업","03_11_03_P","4341000","4341000-214-2021-00001","2021-01-12","","01","영업/정상","01","영업","","","","","","818.00","","강원특별자치도 고성군 토성면 봉포리 185","강원특별자치도 고성군 토성면 토성로 66, SEASPA펜션","24765","씨스파 풀빌라","2022-11-28 13:11:08","I","2023-06-13 00:00:00","숙박업(생활)","336938.911619637","528916.200532059","숙박업(생활)","3","1","1","3","0","0","0","8","","","","자가","0","0","N",
"2575","숙박업","03_11_03_P","4341000","4341000-201-1986-00002","1986-09-15","","01","영업/정상","01","영업","","","","","033 681 3579","286.09","","강원특별자치도 고성군 간성읍 신안리 256","강원특별자치도 고성군 간성읍 간성로30번길 9","24734","성신장여관","2022-11-22 13:56:22","I","2023-06-13 00:00:00","여관업","328535.811730639","542879.169369409","여관업","0","0","0","0","0","0","0","23","","","","","0","0","N",
"2576","숙박업","03_11_03_P","4341000","4341000-201-1991-00005","1991-10-22","","01","영업/정상","01","영업","","","","","033 6824997","411.12","","강원특별자치도 고성군 현내면 초도리 224-30","강원특별자치도 고성군 현내면 한나루로 6","24706","부천장여관","2023-11-09 10:28:30","U","2023-11-11 02:40:00","여관업","324772.062528491","555017.210075106","여관업","0","0","0","0","0","0","0","18","","","","","0","0","N",
"2577","숙박업","03_11_03_P","4341000","4341000-201-1999-00002","1999-05-20","","01","영업/정상","01","영업","","","","","033 6822527","270.00","","강원특별자치도 고성군 거진읍 거진리 148-57","강원특별자치도 고성군 거진읍 거탄진로 164","24713","선인장여관","2023-11-16 15:28:48","U","2023-11-18 02:40:00","여관업","327219.39255473","550473.04100506","여관업","0","0","0","0","0","0","0","14","","","","","0","0","N",
"2578","숙박업","03_11_03_P","4341000","4341000-214-2016-00001","2016-02-22","","01","영업/정상","01","영업","","","","","","112.00","","강원특별자치도 고성군 토성면 용암리 147-16","강원특별자치도 고성군 토성면 용암길 120-2","24759","솔즈베리펜션(A)","2017-11-28 09:40:53","I","2023-06-13 00:00:00","숙박업(생활)","334431.694816631","529974.081071243","숙박업(생활)","1","0","1","1","0","0","0","2","","","","임대","1","0","N",
"2579","숙박업","03_11_03_P","4341000","4341000-201-1999-00003","1999-07-13","","01","영업/정상","01","영업","","","","","","322.00","","강원특별자치도 고성군 죽왕면 문암진리 10-81","강원특별자치도 고성군 죽왕면 문암항길 81","24752","백도항구모텔","2025-02-25 16:00:42","U","2025-02-27 02:40:00","여관업","335375.493403321","534479.975256296","여관업","0","0","0","0","0","0","0","12","","","","","0","0","N",
"2580","숙박업","03_11_03_P","4341000","4341000-214-2016-00002","2016-04-01","","01","영업/정상","01","영업","","","","","","112.00","","강원특별자치도 고성군 토성면 용암리 147-16","강원특별자치도 고성군 토성면 용암길 120-2","24759","솔즈베리펜션(C)","2017-11-28 09:41:08","I","2023-06-13 00:00:00","숙박업(생활)","334431.694816631","529974.081071243","숙박업(생활)","1","0","1","1","0","0","0","2","","","","임대","0","0","N",
"2581","숙박업","03_11_03_P","4341000","4341000-214-2016-00003","2016-04-01","","01","영업/정상","01","영업","","","","","","112.00","","강원특별자치도 고성군 토성면 용암리 147-16","강원특별자치도 고성군 토성면 용암길 120-2","24759","솔즈베리펜션(B)","2018-12-28 14:01:00","I","2023-06-13 00:00:00","숙박업(생활)","334431.694816631","529974.081071243","숙박업(생활)","1","0","1","1","0","0","0","2","","","","임대","0","0","N",
"2582","숙박업","03_11_03_P","4341000","4341000-214-2016-00004","2016-05-20","","01","영업/정상","01","영업","","","","","","198.01","","강원특별자치도 고성군 토성면 봉포리 179","강원특별자치도 고성군 토성면 토성로 58-2","24765","파라다이스 코브","2017-11-28 09:41:28","I","2023-06-13 00:00:00","숙박업(생활)","337006.842632324","528895.374377725","숙박업(생활)","4","0","3","4","0","0","0","3","","","","","0","1","N",
"2583","숙박업","03_11_03_P","4341000","4341000-214-2017-00001","2017-01-02","","01","영업/정상","01","영업","","","","","","491.58","","강원특별자치도 고성군 토성면 교암리 180-3","강원특별자치도 고성군 토성면 교암길 16","24755","아지로 펜션","2017-11-28 09:41:46","I","2023-06-13 00:00:00","숙박업(생활)","335361.748675315","532663.137786847","숙박업(생활)","4","0","1","4","0","0","0","7","","","","자가","1","1","N",
"2584","숙박업","03_11_03_P","4341000","4341000-201-2004-00001","2004-01-13","","01","영업/정상","01","영업","","","","","033 6382002","539.04","","강원특별자치도 고성군 죽왕면 공현진리 143-20","강원특별자치도 고성군 죽왕면 공현진길 8","24745","g2002","2023-12-06 10:31:08","U","2023-12-09 02:40:00","여관업","331903.416248195","539905.370107699","여관업","5","0","1","4","0","0","4","15","","","","자가","0","0","N",
"2585","숙박업","03_11_03_P","4341000","4341000-201-2017-00002","2017-07-28","","01","영업/정상","01","영업","","","","","","531.78","","강원특별자치도 고성군 토성면 용촌리 7-1","강원특별자치도 고성군 토성면 중앙로 482-19","24770","해담은모텔","2017-11-28 09:33:38","I","2023-06-13 00:00:00","숙박업 기타","338649.169160671","526347.297160108","숙박업 기타","4","0","2","4","0","0","2","10","","","","자가","0","1","N",
"2586","숙박업","03_11_03_P","4341000","4341000-201-1963-00001","1963-05-25","","01","영업/정상","01","영업","","","","","033 6825466","148.60","","강원특별자치도 고성군 거진읍 거진리 288-1","강원특별자치도 고성군 거진읍 거탄진로 115","24717","황금모텔","2022-03-18 10:42:39","I","2023-06-13 00:00:00","숙박업 기타","326887.327771516","550154.961863448","숙박업 기타","0","0","0","0","0","0","7","0","","","","","0","0","N",
"2587","숙박업","03_11_03_P","4341000","4341000-214-2017-00002","2017-09-26","","01","영업/정상","01","영업","","","","","033 631 5597","495.72","","강원특별자치도 고성군 토성면 천진리 2-15","강원특별자치도 고성군 토성면 토성로 114","24764","추억만들기","2017-09-26 11:45:14","I","2023-06-13 00:00:00","숙박업(생활)","336598.090321227","529238.816579408","숙박업(생활)","4","0","1","3","0","0","0","12","","","","임대","1","1","N",
"2588","숙박업","03_11_03_P","4341000","4341000-214-2017-00003","2017-09-29","","01","영업/정상","01","영업","","","","","","466.88","","강원특별자치도 고성군 토성면 천진리 2-8","강원특별자치도 고성군 토성면 토성로 124-1","24764","스테이지풀빌라","2022-01-24 11:09:52","I","2023-06-13 00:00:00","숙박업(생활)","336531.215640364","529316.704866067","숙박업(생활)","5","1","1","4","0","0","0","8","","","","","0","0","N",
"2589","숙박업","03_11_03_P","4341000","4341000-214-2014-00001","2014-04-23","","01","영업/정상","01","영업","","","","","033 631 0020","716.48","","강원특별자치도 고성군 죽왕면 공현진리 153-1","강원특별자치도 고성군 죽왕면 공현진길 6","24745","네츄럴하우스","2024-02-08 10:05:21","U","2024-02-11 02:40:00","숙박업(생활)","331891.469626401","539879.972925815","숙박업(생활)","4","1","1","4","0","0","0","19","","","","자가","0","0","N",
"2590","숙박업","03_11_03_P","4341000","4341000-214-2017-00004","2017-12-20","","01","영업/정상","01","영업","","","","","","486.03","","강원특별자치도 고성군 토성면 봉포리 195 씨랜드펜션","강원특별자치도 고성군 토성면 토성로 71, 씨랜드펜션","24765","씨랜드펜션","2017-12-20 14:20:11","I","2023-06-13 00:00:00","숙박업(생활)","336868.71224219","528925.116844368","숙박업(생활)","4","0","2","3","0","0","1","14","","","","자가","1","0","N",
"2591","숙박업","03_11_03_P","4341000","4341000-201-2018-00001","2018-02-06","","01","영업/정상","01","영업","","","","","033 6353006","16272.36","","강원특별자치도 고성군 토성면 용촌리 591-2","강원특별자치도 고성군 토성면 잼버리동로 583-20","24766","레이크오션","2019-12-30 14:32:21","I","2023-06-13 00:00:00","관광호텔","337259.868971732","527369.692678937","관광호텔","7","1","1","6","0","0","73","130","","","","자가","0","0","N",
"2592","숙박업","03_11_03_P","4341000","4341000-214-2018-00001","2018-02-21","","01","영업/정상","01","영업","","","","","","387.33","","강원특별자치도 고성군 간성읍 동호리 308-3","강원특별자치도 고성군 간성읍 고성해변길 126, 누볼라풀빌라","24731","누볼라풀빌라","2022-11-29 16:15:16","I","2023-06-13 00:00:00","숙박업(생활)","330078.012205289","544021.448321337","숙박업(생활)","1","0","1","0","0","0","0","4","","","","","0","0","N",
"2593","숙박업","03_11_03_P","4341000","4341000-201-2002-00002","2002-09-06","","01","영업/정상","01","영업","","","","","033 631 7750","573.91","","강원특별자치도 고성군 토성면 교암리 196-10","강원특별자치도 고성군 토성면 교암길 8","24755","하비치","2018-03-09 11:54:39","I","2023-06-13 00:00:00","여관업","335371.145525443","532588.515295285","여관업","0","0","0","0","0","0","24","0","","","","임대","0","0","N",
"2594","숙박업","03_11_03_P","4341000","4341000-214-2018-00003","2018-05-02","","01","영업/정상","01","영업","","","","","033 6338717","153.28","","강원특별자치도 고성군 죽왕면 삼포리 239-50","강원특별자치도 고성군 죽왕면 삼포민박촌길 8-15","24750","공방스테이","2024-05-08 15:49:08","U","2024-05-10 02:40:00","숙박업(생활)","333646.271542094","535873.549602946","숙박업(생활)","2","0","2","2","0","0","6","0","","","","","1","0","N",
"2595","숙박업","03_11_03_P","4341000","4341000-201-1995-00001","1995-08-12","","01","영업/정상","01","영업","","","","","033 6360013","45949.87","","강원특별자치도 고성군 토성면 원암리 331-2","강원특별자치도 고성군 토성면 고성대로 47-24","24768","일성설악휴양콘도미니엄","2019-12-30 14:33:50","I","2023-06-13 00:00:00","휴양콘도미니엄업","331627.272688906","523921.362834984","휴양콘도미니엄업","0","0","0","0","0","0","0","341","","","","","0","0","N",
"2596","숙박업","03_11_03_P","4341000","4341000-201-1982-00001","1982-04-17","","01","영업/정상","01","영업","","","","","033 682 2614","69.86","","강원특별자치도 고성군 거진읍 거진리 289-116","강원특별자치도 고성군 거진읍 거탄진로 95","24718","해성여관","2022-11-22 14:00:23","I","2023-06-13 00:00:00","여관업","326805.513449151","549945.739388773","여관업","0","0","0","0","0","0","0","10","","","","","0","0","N",
"2597","숙박업","03_11_03_P","4341000","4341000-201-2005-00005","2005-07-26","","01","영업/정상","01","영업","","","","","033 6305308","3160678.00","","강원특별자치도 고성군 죽왕면 삼포리 988-127","강원특별자치도 고성군 죽왕면 순포로 188","24750","설악썬밸리리조트콘도미니엄","2021-01-21 15:19:04","I","2023-06-13 00:00:00","휴양콘도미니엄업","332106.6892848","535433.575343822","휴양콘도미니엄업","5","2","1","5","0","0","0","198","","","","","0","0","N",
"2598","숙박업","03_11_03_P","4341000","4341000-214-2024-00005","2024-10-10","","01","영업/정상","01","영업","","","","","","270.06","","강원특별자치도 고성군 토성면 아야진리 226-12","강원특별자치도 고성군 토성면 아야진북길 31-34","24756","아야진 풀빌라","2024-10-10 15:28:57","I","2024-10-12 00:12:32","숙박업(생활)","335693.391342536","531659.403984964","숙박업(생활)","3","0","1","3","0","0","0","3","","","","자가","0","0","N",
"2599","숙박업","03_11_03_P","4341000","4341000-214-2021-00015","2021-12-24","","01","영업/정상","01","영업","","","","","","99.55","","강원특별자치도 고성군 죽왕면 공현진리 9-1","강원특별자치도 고성군 죽왕면 공현진길 62, 1층","24745","나무와 해(海)","2021-12-24 16:28:41","I","2023-06-13 00:00:00","숙박업(생활)","331811.125834596","540334.131884342","숙박업(생활)","0","0","1","1","0","0","0","3","","","","","0","0","N",
"2600","숙박업","03_11_03_P","4341000","4341000-214-2022-00001","2022-06-03","","01","영업/정상","01","영업","","","","","","356.17","","강원특별자치도 고성군 죽왕면 문암진리 81-25 멍스테이","강원특별자치도 고성군 죽왕면 백도해변길 78, 멍스테이","24752","멍스테이","2024-11-08 14:34:34","U","2024-11-10 02:40:00","숙박업(생활)","335102.636154902","534339.746668797","숙박업(생활)","3","1","2","3","0","0","0","12","","","","","0","0","Y",
"2601","숙박업","03_11_03_P","4341000","4341000-214-2022-00002","2022-06-21","","01","영업/정상","01","영업","","","","","","265.02","","강원특별자치도 고성군 토성면 교암리 196-14","강원특별자치도 고성군 토성면 동해대로 5350","24755","휴버트 펜션","2025-10-22 13:31:26","U","2025-10-24 02:40:00","숙박업(생활)","335484.806358467","532380.517582763","숙박업(생활)","0","0","1","2","0","0","0","3","","","","자가","0","0","N",
"2602","숙박업","03_11_03_P","4341000","4341000-214-2022-00003","2022-07-06","","01","영업/정상","01","영업","","","","","","215.75","","강원특별자치도 고성군 토성면 용암리 140","강원특별자치도 고성군 토성면 용암길 122, 단독동","24759","아트힐스","2023-09-13 17:11:14","U","2023-09-16 02:40:00","숙박업(생활)","334430.989892869","529905.859900947","숙박업(생활)","0","0","1","2","0","0","0","1","","","","임대","0","1","N",
"2603","숙박업","03_11_03_P","4341000","4341000-214-2019-00005","2019-09-09","","01","영업/정상","01","영업","","","","","","293.98","","강원특별자치도 고성군 죽왕면 공현진리 639-1 가진항영미네","강원특별자치도 고성군 죽왕면 가진해변길 168","24745","스테이가진","2019-09-09 16:47:44","I","2023-06-13 00:00:00","숙박업(생활)","331629.846537626","541237.12538505","숙박업(생활)","3","0","1","2","0","0","0","7","","","","임대","1","0","N",
"2604","숙박업","03_11_03_P","4341000","4341000-214-2021-00009","2021-08-05","","01","영업/정상","01","영업","","","","","","300.16","","강원특별자치도 고성군 죽왕면 문암진리 364-23","강원특별자치도 고성군 죽왕면 문암항1길 21","24752","더솔펜션","2025-01-21 17:06:56","U","2025-01-23 02:40:00","숙박업(생활)","334903.978494174","534353.027801744","숙박업(생활)","3","0","1","3","0","0","0","5","","","","자가","0","0","N",
"2605","숙박업","03_11_03_P","4341000","4341000-201-1998-00001","1998-01-24","","01","영업/정상","01","영업","","","","","033 6822588","570.95","","강원특별자치도 고성군 거진읍 거진리 284-8","강원특별자치도 고성군 거진읍 거탄진로 121","24717","바다호텔","2023-01-11 16:59:28","I","2023-06-13 00:00:00","여관업","326902.812225561","550209.333561195","여관업","1","6","4","5","0","0","0","17","","","","자가","0","0","N",
"2606","숙박업","03_11_03_P","4341000","4341000-214-2022-00004","2022-07-11","","01","영업/정상","01","영업","","","","","","546.88","","강원특별자치도 고성군 토성면 봉포리 255-8 배불아지트","강원특별자치도 고성군 토성면 봉포4길 5-3","24765","배불아지트 팬션민박","2022-07-11 11:05:25","I","2023-06-13 00:00:00","숙박업(생활)","336768.286535307","528979.407023212","숙박업(생활)","4","0","2","4","0","0","0","16","","","","","0","0","N",
"2607","숙박업","03_11_03_P","4341000","4341000-214-2021-00005","2021-06-22","","01","영업/정상","01","영업","","","","","","199.02","","강원특별자치도 고성군 죽왕면 공현진리 42","강원특별자치도 고성군 죽왕면 공현진해변길 89-1","24745","바다나루","2022-07-13 15:05:55","I","2023-06-13 00:00:00","숙박업(생활)","331968.990433813","540270.509181676","숙박업(생활)","4","0","1","4","0","0","0","5","","","","임대","0","0","N",
"2608","숙박업","03_11_03_P","4341000","4341000-214-2022-00005","2022-07-18","","01","영업/정상","01","영업","","","","","","2232.76","","강원특별자치도 고성군 죽왕면 가진리 280","강원특별자치도 고성군 죽왕면 가향길 20-4","24744","에이프레임 풀빌라","2022-07-18 15:33:12","I","2023-06-13 00:00:00","숙박업(생활)","331410.573991872","542482.980105708","숙박업(생활)","4","0","1","4","0","0","0","18","","","","자가","0","0","N",
"2609","숙박업","03_11_03_P","4341000","4341000-201-2022-00002","2022-07-21","","01","영업/정상","01","영업","","","","","","1696.84","","강원특별자치도 고성군 죽왕면 삼포리 242-1","강원특별자치도 고성군 죽왕면 삼포민박촌2길 34","24750","파랑뷰호텔","2022-07-21 15:23:51","I","2023-06-13 00:00:00","관광호텔","333610.411213366","536065.236593568","관광호텔","4","1","1","4","1","0","0","25","","","","자가","0","0","N",
"2610","숙박업","03_11_03_P","4341000","4341000-201-2022-00003","2022-07-29","","01","영업/정상","01","영업","","","","","","246.72","","강원특별자치도 고성군 토성면 교암리 151-2","강원특별자치도 고성군 토성면 천학정길 21, 2,3층","24755","르메르63펜션","2023-04-21 13:42:15","I","2023-06-13 00:00:00","숙박업 기타","335295.900353952","533038.463981943","숙박업 기타","0","0","2","3","0","0","0","6","","","","","0","0","N",
"2611","숙박업","03_11_03_P","4341000","4341000-214-2022-00006","2022-07-29","","01","영업/정상","01","영업","","","","","","319.45","","강원특별자치도 고성군 토성면 아야진리 56-13","강원특별자치도 고성군 토성면 아야진해변길 45","24757","스테이해돋(STAY HAEDOT)","2022-07-29 11:43:13","I","2023-06-13 00:00:00","숙박업(생활)","336192.12990023","530841.241623484","숙박업(생활)","5","0","2","5","0","0","0","4","","","","자가","0","0","N",
"2612","숙박업","03_11_03_P","4341000","4341000-214-2022-00007","2022-10-31","","01","영업/정상","01","영업","","","","","","293.92","","강원특별자치도 고성군 죽왕면 인정리 36-4","강원특별자치도 고성군 죽왕면 송지호로 54","24748","수스테이","2024-11-27 09:23:59","U","2024-11-29 02:40:00","숙박업(생활)","332739.969747603","537304.094825945","숙박업(생활)","2","0","1","2","0","0","0","18","","","","","0","0","N",
"2613","숙박업","03_11_03_P","4341000","4341000-201-2022-00005","2022-11-03","","01","영업/정상","01","영업","","","","","","109.47","","강원특별자치도 고성군 토성면 교암리 1-7","강원특별자치도 고성군 토성면 교암3길 18","24755","세모별","2022-11-03 10:28:28","I","2023-06-13 00:00:00","숙박업 기타","335228.34875492","533380.694915285","숙박업 기타","1","0","0","0","0","0","0","3","","","","자가","0","0","N",
"2614","숙박업","03_11_03_P","4341000","4341000-214-2022-00008","2022-12-14","","01","영업/정상","01","영업","","","","","033 682 7772","808.05","","강원특별자치도 고성군 간성읍 신안리 242-2","강원특별자치도 고성군 간성읍 수성로16번길 20","24736","지(G)호텔","2022-12-14 13:54:20","I","2023-06-13 00:00:00","숙박업(생활)","328532.01247784","542741.107941051","숙박업(생활)","5","0","1","5","0","0","0","19","","","","자가","0","0","Y",
"2615","숙박업","03_11_03_P","4341000","4341000-201-2020-00002","2020-08-31","","01","영업/정상","01","영업","","","","","0336325300","452.88","","강원특별자치도 고성군 죽왕면 오호리 산 2-22","강원특별자치도 고성군 죽왕면 심층수길 96","24747","송지호 모네블루 펜션","2024-01-10 10:32:37","U","2024-01-12 02:40:00","숙박업 기타","","","숙박업 기타","5","1","3","5","0","0","1","9","","","","","0","0","N",
"2616","숙박업","03_11_03_P","4341000","4341000-214-2022-00009","2022-12-28","","01","영업/정상","01","영업","","","","","","398.42","","강원특별자치도 고성군 토성면 성대리 215-20","강원특별자치도 고성군 토성면 동루골1길 5-39","24762","스테이 앤 다이닝산","2022-12-28 09:31:30","I","2023-06-13 00:00:00","숙박업(생활)","332243.186813593","528995.932098173","숙박업(생활)","2","0","1","2","0","0","0","4","","","","","0","1","Y",
"2617","숙박업","03_11_03_P","4341000","4341000-214-2012-00003","2012-06-15","","01","영업/정상","01","영업","","","","","033 6393611","43416.62","","강원특별자치도 고성군 토성면 원암리 474-2","강원특별자치도 고성군 토성면 미시령옛길 1153","24768","소노캄 델피노 A . B","2025-05-09 14:08:17","U","2025-05-11 02:40:00","휴양콘도미니엄업","330752.610588333","524109.068857917","휴양콘도미니엄업","8","3","8","1","0","0","0","240","","","","자가","0","0","N",
"2618","숙박업","03_11_03_P","4341000","4341000-214-2012-00004","2012-08-08","","01","영업/정상","01","영업","","","","","033 639 8441","9829.83","","강원특별자치도 고성군 토성면 원암리 474-1","강원특별자치도 고성군 토성면 미시령옛길 1153","24768","소노펠리체 빌리지 델피노","2025-05-09 13:52:42","U","2025-05-11 02:40:00","휴양콘도미니엄업","330509.924017044","524109.314620407","휴양콘도미니엄업","3","1","1","3","1","1","0","58","","","","자가","0","0","N",
"2619","숙박업","03_11_03_P","4341000","4341000-201-2018-00002","2018-07-27","","01","영업/정상","01","영업","","","","","033 681 0605","588.24","","강원특별자치도 고성군 죽왕면 가진리 275","강원특별자치도 고성군 죽왕면 가향길 2-7","24744","롱비치275","2025-10-29 13:49:52","U","2025-10-31 02:40:00","숙박업 기타","331505.83517085","542418.018079818","숙박업 기타","3","0","2","3","0","0","0","16","","","","자가","0","0","N",
"2620","숙박업","03_11_03_P","4341000","4341000-214-2013-00002","2013-08-13","","01","영업/정상","01","영업","","","","","","289.76","","강원특별자치도 고성군 토성면 천진리 105","강원특별자치도 고성군 토성면 천진해변길 35-2","24764","스테이 프레소","2023-02-20 14:25:04","I","2023-06-13 00:00:00","숙박업(생활)","336421.138531082","529710.0734349","숙박업(생활)","3","0","2","3","0","0","6","0","","","","자가","0","0","N",
"2621","숙박업","03_11_03_P","4341000","4341000-214-2023-00001","2023-03-14","","01","영업/정상","01","영업","","","","","","520.02","","강원특별자치도 고성군 토성면 교암리 180-7","강원특별자치도 고성군 토성면 교암길 20","24755","맹그로브 고성","2024-10-28 13:39:50","U","2024-10-30 02:40:00","숙박업(생활)","335353.54418973","532706.830711565","숙박업(생활)","4","0","2","4","0","0","0","15","","","","임대","0","0","N",
"2622","숙박업","03_11_03_P","4341000","4341000-214-2023-00002","2023-04-07","","01","영업/정상","01","영업","","","","","","1279.35","","강원특별자치도 고성군 토성면 아야진리 226-10","강원특별자치도 고성군 토성면 아야진북길 31-28","24756","아야진메이플키즈풀타운","2025-04-10 13:38:58","U","2025-04-12 02:40:00","숙박업(생활)","335639.699420001","531659.277254002","숙박업(생활)","4","1","3","4","0","0","0","12","","","","임대","0","0","N",
