"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1153","방문판매업","08_26_02_P","4191000","2000419015323200004","2000-10-24","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-764-9124","","220-945","강원특별자치도 원주시 명륜동 **번지 *호","","","현진물산","2008-06-19 09:40:31","I","2023-06-13 00:00:00","","","","0","0","0","",
"1154","방문판매업","08_26_02_P","4191000","2001419015323200001","2001-01-18","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-963","강원특별자치도 원주시 학성동 ***번지 *호","강원특별자치도 원주시 원일로 ***-** (학성동)","","신성물산","2008-06-19 09:42:24","I","2023-06-13 00:00:00","","283774.865518781","428482.488510208","0","0","0","",
"1155","방문판매업","08_26_02_P","4191000","2001419015323200002","2001-02-12","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-748-3432","","220-952","강원특별자치도 원주시 우산동 **번지 **호","강원특별자치도 원주시 북원로 **** (우산동)","","대우자동차 치악영업소","2008-06-19 09:44:00","I","2023-06-13 00:00:00","","283199.694010357","429667.449982639","0","0","0","",
"1156","방문판매업","08_26_02_P","4191000","2001419015323200004","2001-02-22","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-766-1812","","220-947","강원특별자치도 원주시 명륜동 ***번지 **호","강원특별자치도 원주시 종각길 ** (명륜동)","","정선아유통","2008-07-07 10:29:44","I","2023-06-13 00:00:00","","283318.467284988","426864.527154643","0","0","0","",
"1157","방문판매업","08_26_02_P","4191000","2001419015323200006","2001-04-23","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-160","강원특별자치도 원주시 행구동 ***번지","강원특별자치도 원주시 오리현안길 **-* (행구동)","","전일유통","2008-06-19 09:46:25","I","2023-06-13 00:00:00","","288220.669408392","426541.950064805","0","0","0","",
"1158","방문판매업","08_26_02_P","4191000","2001419015323200008","2001-07-12","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-745-2122","","220-121","강원특별자치도 원주시 태장동 ***번지 *호","강원특별자치도 원주시 새동네*길 **-* (태장동)","","세명","2008-06-19 09:48:02","I","2023-06-13 00:00:00","","284275.739943988","429083.614794288","0","0","0","",
"1159","방문판매업","08_26_02_P","4191000","2001419015323200011","2001-08-13","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-7173","","220-903","강원특별자치도 원주시 중앙동 **번지","강원특별자치도 원주시 평원로 ** (중앙동)","","진호물산","2008-07-07 10:32:13","I","2023-06-13 00:00:00","","284206.1113561","428016.138710964","0","0","0","",
"1160","방문판매업","08_26_02_P","4191000","2003419015323200002","2003-01-24","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-745-9121","","220-786","강원특별자치도 원주시 일산동 ***번지 *호 우보삼성아파트 상가 B동 ***호","","","S.M.P","2008-07-07 10:38:47","I","2023-06-13 00:00:00","","283256.141912458","427509.579903602","0","0","0","",
"1161","방문판매업","08_26_02_P","4191000","2003419015323200004","2003-02-04","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-955","강원특별자치도 원주시 우산동 ***번지","","","미림상사","2008-07-07 10:40:23","I","2023-06-13 00:00:00","","","","0","0","0","",
"1162","방문판매업","08_26_02_P","4191000","2003419015323200005","2003-03-15","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-3623","","220-948","강원특별자치도 원주시 명륜동 ***번지","강원특별자치도 원주시 예술관길 ** (명륜동)","","동양메디칼","2008-06-19 10:07:07","I","2023-06-13 00:00:00","","283499.859175004","426218.270035789","0","0","0","",
"1163","방문판매업","08_26_02_P","4191000","2003419015323200006","2003-03-15","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-763-4489","","220-775","강원특별자치도 원주시 명륜동 ***번지 **호 현대*차아파트 ***동 ***호","","","유한상사","2008-06-19 10:17:59","I","2023-06-13 00:00:00","","283730.774981201","426900.324101985","0","0","0","",
"1164","방문판매업","08_26_02_P","4191000","2003419015323200009","2003-04-29","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-764-9473","","220-940","강원특별자치도 원주시 단구동 ***번지 **호","강원특별자치도 원주시 치악로****번길 * (단구동)","","㈜지앤티","2008-06-19 10:21:11","I","2023-06-13 00:00:00","","285144.169288241","425335.223327483","0","0","0","",
"1165","방문판매업","08_26_02_P","4191000","2003419015323200010","2003-05-29","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-746-5542","","220-964","강원특별자치도 원주시 학성동 ***번지 **호","강원특별자치도 원주시 원일로 *** (학성동)","","원우엠엔씨","2008-06-19 10:22:55","I","2023-06-13 00:00:00","","283560.971371812","428631.431257867","0","0","0","",
"1166","방문판매업","08_26_02_P","4191000","2003419015323200011","2003-06-03","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-1158","","220-934","강원특별자치도 원주시 관설동 ****번지 *호","강원특별자치도 원주시 치악로 ****-* (관설동)","","한울바이오","2008-06-19 10:24:28","I","2023-06-13 00:00:00","","286443.638703525","423446.396021573","0","0","0","",
"1167","방문판매업","08_26_02_P","4191000","2003419015323200013","2003-07-03","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-744-6027","","220-938","강원특별자치도 원주시 단계동 ***번지 *호","강원특별자치도 원주시 서원대로 *** (단계동)","","장영물류유통","2008-07-07 10:42:03","I","2023-06-13 00:00:00","","282331.528604412","427343.368587835","0","0","0","",
"1168","방문판매업","08_26_02_P","4191000","2003419015323200015","2003-07-31","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-762-8831","","220-901","강원특별자치도 원주시 원동 **번지 **호","","","태건","2008-06-19 10:27:38","I","2023-06-13 00:00:00","","284270.31808148","427658.998571723","0","0","0","",
"1169","방문판매업","08_26_02_P","4191000","2003419015323200016","2003-07-31","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-6777","","220-760","강원특별자치도 원주시 원동 ***번지 원동*단지아파트 ***동 ***호","","","TIPTOPKOREA","2008-06-19 10:29:04","I","2023-06-13 00:00:00","","283565.220405635","427117.631606004","0","0","0","",
"1170","방문판매업","08_26_02_P","4191000","2003419015323200017","2003-09-02","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-766-7953","","220-931","강원특별자치도 원주시 개운동 ***번지 *호","강원특별자치도 원주시 개운로 *** (개운동)","","제이엘통상","2008-06-19 10:31:14","I","2023-06-13 00:00:00","","285068.934688486","426787.222513586","0","0","0","",
"1171","방문판매업","08_26_02_P","4191000","2003419015323200019","2003-10-01","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-140","강원특별자치도 원주시 가현동 **번지 *호","강원특별자치도 원주시 북원로 **** (가현동)","","서호메디칼","2008-06-19 10:44:13","I","2023-06-13 00:00:00","","283819.148165651","431794.743722032","0","0","0","",
"1172","방문판매업","08_26_02_P","4191000","2003419015323200020","2003-10-20","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-903","강원특별자치도 원주시 중앙동 **번지 *호","강원특별자치도 원주시 평원로 ** (중앙동)","","미래실비","2008-06-19 10:45:43","I","2023-06-13 00:00:00","","284055.176535851","428200.932269085","0","0","0","",
"1173","방문판매업","08_26_02_P","4191000","2010419019023200014","2010-04-30","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","070-7638-7778","","220-020","강원특별자치도 원주시 평원동 ***번지 **호","강원특별자치도 원주시 평원안길 * (평원동)","","웰빙스타","2011-08-30 14:17:31","I","2023-06-13 00:00:00","","284458.858111022","427837.033292305","0","0","0","",
"1174","방문판매업","08_26_02_P","4191000","2010419019023200017","2010-05-10","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-955","강원특별자치도 원주시 우산동 ***번지 *호 *층","강원특별자치도 원주시 우산초교길 **-** (우산동,*층)","","유로세프라인","2011-08-30 14:16:00","I","2023-06-13 00:00:00","","283095.545162138","429976.44317699","0","0","0","",
"1175","방문판매업","08_26_02_P","4191000","2010419019023200018","2010-06-11","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","1666-6033","","220-952","강원특별자치도 원주시 우산동 **번지 *호","강원특별자치도 원주시 우무개로 ** (우산동)","","엠에스케이동성 주식회사","2011-08-30 14:13:48","I","2023-06-13 00:00:00","","283079.786386352","429621.670408239","50000000","0","50000000","",
"1176","방문판매업","08_26_02_P","4191000","2004419015323200021","2004-10-25","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-765-1125","","220-160","강원특별자치도 원주시 행구동 ****번지 *호","","","헬스초이스(health choice)","2008-06-19 11:19:55","I","2023-06-13 00:00:00","","287434.837583946","427189.718355805","0","0","0","",
"1177","방문판매업","08_26_02_P","4191000","2004419015323200023","2004-10-28","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-140","강원특별자치도 원주시 가현동 **번지 *호","강원특별자치도 원주시 북원로 **** (가현동)","","영진기획","2008-06-19 11:24:02","I","2023-06-13 00:00:00","","283819.148165651","431794.743722032","0","0","0","",
"1178","방문판매업","08_26_02_P","4191000","2004419015323200024","2004-11-11","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-732-0971","","220-939","강원특별자치도 원주시 단계동 ****번지","강원특별자치도 원주시 모래내길 * (단계동)","","현대오토웰빙","2008-06-19 11:25:53","I","2023-06-13 00:00:00","","282706.464936001","428452.388856844","0","0","0","",
"1179","방문판매업","08_26_02_P","4191000","2005419015323200003","2005-02-22","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-731-8630","","220-833","강원특별자치도 원주시 소초면 수암리 ***번지 *호","강원특별자치도 원주시 소초면 치악로 ****","","㈜정품","2008-06-19 11:27:35","I","2023-06-13 00:00:00","","287445.722214331","433211.310065732","50000000","0","50000000","",
"1180","방문판매업","08_26_02_P","4191000","2005419015323200005","2005-03-19","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-746-8890","","220-937","강원특별자치도 원주시 단계동 ***번지 **호","강원특별자치도 원주시 단구로 ** (단계동)","","천하지수","2008-07-07 10:53:15","I","2023-06-13 00:00:00","","283140.517217818","427203.290180128","0","0","0","",
"1181","방문판매업","08_26_02_P","4191000","2005419015323200006","2005-04-01","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-766-4832","","220-931","강원특별자치도 원주시 개운동 ***번지 **호","강원특별자치도 원주시 남원로 *** (개운동)","","풀무원건강생활㈜","2008-06-19 11:29:02","I","2023-06-13 00:00:00","","284447.034636298","426956.479401189","0","0","0","",
"1182","방문판매업","08_26_02_P","4191000","2005419015323200007","2005-04-04","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-962","강원특별자치도 원주시 태장동 ****번지 *호","강원특별자치도 원주시 북원로 **** (태장동)","","라인테크","2008-06-19 11:30:57","I","2023-06-13 00:00:00","","283774.670298647","431268.282307495","0","0","0","",
"1183","방문판매업","08_26_02_P","4191000","2005419015323200011","2005-06-17","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-7034","","220-786","강원특별자치도 원주시 일산동 ***번지 *호 우보삼성아파트 상가 A동 ***호","","","㈜아이닉스웰빙","2008-06-19 11:32:31","I","2023-06-13 00:00:00","","283256.141912458","427509.579903602","50000000","0","50000000","",
"1184","방문판매업","08_26_02_P","4191000","2005419015323200012","2005-06-17","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-748-6088","","220-956","강원특별자치도 원주시 일산동 ***번지 **호","강원특별자치도 원주시 원일로***번길 ** (일산동)","","㈜카피스원주지사","2008-06-19 11:35:18","I","2023-06-13 00:00:00","","283843.201653556","427910.021512237","0","0","0","",
"1185","방문판매업","08_26_02_P","4191000","2005419015323200013","2005-07-26","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-7851","","220-938","강원특별자치도 원주시 단계동 ***번지 *호","강원특별자치도 원주시 금불*길 **-* (단계동)","","생그린원주단계지사","2011-08-30 14:37:25","I","2023-06-13 00:00:00","","282303.465","427858.855","0","0","0","",
"1186","방문판매업","08_26_02_P","4191000","2011419020323200007","2010-10-19","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-040","강원특별자치도 원주시 명륜동 **번지 남부시장 상가*층 *","강원특별자치도 원주시 치악로 **** (명륜동,남부시장 상가*층 *)","","해피아울렛","2011-08-30 14:11:02","I","2023-06-13 00:00:00","","284505.128476342","427202.926014401","0","0","0","",
"1187","방문판매업","08_26_02_P","4191000","2008419015323200026","2008-07-29","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-734-3661","","220-962","강원특별자치도 원주시 태장동 ****번지","강원특별자치도 원주시 북원로****번길 ** (태장동)","","농협홍삼","2011-08-30 14:30:36","I","2023-06-13 00:00:00","","283992.289099358","432149.163192227","0","0","0","",
"1188","방문판매업","08_26_02_P","4191000","2008419015323200027","2008-07-30","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-765-2541","","220-901","강원특별자치도 원주시 원동 ***번지 *호","강원특별자치도 원주시 일산로 **-* (원동)","","아이미키즈교육","2011-08-30 14:29:32","I","2023-06-13 00:00:00","","284114.714577396","427480.779692934","0","0","0","",
"1189","방문판매업","08_26_02_P","4191000","2005419015323200015","2005-08-05","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-766-1235","","220-944","강원특별자치도 원주시 단구동 ****번지 *호","강원특별자치도 원주시 남원로 ***-** (단구동)","","아마란트코리아원주지부","2008-06-19 11:36:47","I","2023-06-13 00:00:00","","284080.556681701","425707.109801663","0","0","0","",
"1190","방문판매업","08_26_02_P","4191000","2005419015323200016","2005-08-29","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-742-3711","","220-904","강원특별자치도 원주시 중앙동 ***번지","강원특별자치도 원주시 평원로 * (중앙동)","","㈜녹십초알로에상지점","2008-06-19 11:38:10","I","2023-06-13 00:00:00","","284449.927758119","427707.568540322","0","0","0","",
"1191","방문판매업","08_26_02_P","4191000","2006419015323200005","2006-01-31","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-4457","","220-963","강원특별자치도 원주시 학성동 ***번지 *호","강원특별자치도 원주시 원일로 *** (학성동)","","대진","2011-08-30 14:36:10","I","2023-06-13 00:00:00","","283719.939348254","428338.77938424","0","0","0","",
"1192","방문판매업","08_26_02_P","4191000","2006419015323200008","2006-02-08","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-731-6381","","220-962","강원특별자치도 원주시 태장동 ****번지 *호","강원특별자치도 원주시 북원로 **** (태장동)","","㈜락영텔레콤","2008-06-19 11:40:23","I","2023-06-13 00:00:00","","283774.670298647","431268.282307495","150000000","0","150000000","",
"1193","방문판매업","08_26_02_P","4191000","2006419015323200012","2006-02-20","2006-08-14","04","취소/말소/만료/정지/중지","04","직권취소","","","","","0337665204","","","원주시 학성동 ***-** 삼아빌딩*층","","","우리한방화장품원주지사","2008-05-01 17:29:19","I","2023-06-13 00:00:00","","","","0","0","0","",
"1194","방문판매업","08_26_02_P","4191000","2006419015323200017","2006-05-08","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-955","강원특별자치도 원주시 우산동 ***번지 **호","강원특별자치도 원주시 우산초교길 **-* (우산동)","","태현상사","2008-07-07 09:54:00","I","2023-06-13 00:00:00","","282968.654458464","429857.489469272","0","0","0","",
"1195","방문판매업","08_26_02_P","4191000","2006419015323200021","2006-06-29","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-748-4898","","220-952","강원특별자치도 원주시 우산동 **번지 *호","강원특별자치도 원주시 북원로 **** (우산동)","","현대건설장비원주대리점","2008-06-19 11:44:50","I","2023-06-13 00:00:00","","283297.788566799","430330.70906008","0","0","0","",
"1196","방문판매업","08_26_02_P","4191000","2006419015323200029","2006-09-07","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-747-4335","","220-924","강원특별자치도 원주시 호저면 만종리 ***번지 *호","강원특별자치도 원주시 호저면 사제로 ***","","종근당건강 중부메디칼","2011-08-30 14:34:44","I","2023-06-13 00:00:00","","279413.58518394","426785.555621498","0","0","0","",
"1197","방문판매업","08_26_02_P","4191000","2006419015323200030","2006-09-22","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-762-0783","","220-100","강원특별자치도 원주시 단계동 ***번지 *호","강원특별자치도 원주시 북원로 **** (단계동)","","원주단계지사","2011-08-30 14:33:31","I","2023-06-13 00:00:00","","282631.133378275","427563.632613094","0","0","0","",
"1198","방문판매업","08_26_02_P","4191000","2014419020323200001","2013-12-27","2013-12-31","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-8330","","","","강원특별자치도 원주시 향교길 ** (명륜동)","220-947","마임원주명륜지사","2014-01-02 14:53:05","I","2023-06-13 00:00:00","","284210.861281569","426751.191779295","0","0","0","",
"1199","방문판매업","08_26_02_P","4191000","2015419024123200001","2015-01-02","2015-01-05","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-745-8282","","","","강원특별자치도 원주시 무실로 *** (단계동)","220-937","현대원주치악판매대리점","2015-01-05 17:48:47","I","2023-06-13 00:00:00","","","","0","0","0","",
"1200","방문판매업","08_26_02_P","4191000","2001419015323200013","2001-11-08","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-746-7691","","220-962","강원특별자치도 원주시 태장동 ****번지 **호 북원상가 *-*호","강원특별자치도 원주시 북원상가길 **, *-*호 (태장동,북원상가)","","금산인삼","2008-07-07 10:34:33","I","2023-06-13 00:00:00","","283960.641282355","431787.035435458","0","0","0","",
"1201","방문판매업","08_26_02_P","4191000","2001419015323200014","2001-12-14","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-766-7743","","220-903","강원특별자치도 원주시 중앙동 **번지 *호","강원특별자치도 원주시 평원로 ** (중앙동)","","카오디오대리점","2008-06-19 09:49:33","I","2023-06-13 00:00:00","","284188.996326934","428004.5784353","0","0","0","",
"1202","방문판매업","08_26_02_P","4191000","2002419015323200001","2002-05-09","2007-12-24","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-743-4266","","220-140","강원특별자치도 원주시 가현동 **번지 *호","","","삼진기획","2008-05-14 08:34:54","I","2023-06-13 00:00:00","","","","0","0","0","",
"1203","방문판매업","08_26_02_P","4191000","2002419015323200002","2002-07-24","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-742-1691","","220-962","강원특별자치도 원주시 태장동 ****번지 **호","강원특별자치도 원주시 북원상가길 ** (태장동)","","㈜하이피플","2008-06-19 09:51:51","I","2023-06-13 00:00:00","","283960.641282355","431787.035435458","0","0","0","",
"1204","방문판매업","08_26_02_P","4191000","2002419015323200004","2002-09-17","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-760-2870","","220-842","강원특별자치도 원주시 흥업면 매지리 ***번지 연세창업보육센타 ***호","강원특별자치도 원주시 흥업면 무수막*길 **, ***호 (연세창업보육센타)","","주식회사비엔티","2008-06-19 10:00:10","I","2023-06-13 00:00:00","","281105.693982309","420333.536040056","0","0","0","",
"1205","방문판매업","08_26_02_P","4191000","2003419015323200021","2003-11-07","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-734-1287","","220-963","강원특별자치도 원주시 학성동 ***번지 *호 하나빌딩 *층층","강원특별자치도 원주시 원일로 ***-* (학성동,하나빌딩 *층층)","","음이온세상","2008-07-07 10:43:56","I","2023-06-13 00:00:00","","283756.782954782","428388.408815569","0","0","0","",
"1206","방문판매업","08_26_02_P","4191000","2003419015323200023","2003-12-02","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-764-3558","","220-947","강원특별자치도 원주시 명륜동 ***번지 *호","강원특별자치도 원주시 남원로 *** (명륜동)","","JU원주지사","2008-06-19 10:47:08","I","2023-06-13 00:00:00","","284093.646797663","426487.620702396","0","0","0","",
"1207","방문판매업","08_26_02_P","4191000","2004419015323200001","2004-02-12","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-765-7002","","220-944","강원특별자치도 원주시 단구동 ****번지 *호 광장타운 ***호","강원특별자치도 원주시 서원대로 ***, ***호 (단구동,광장타운)","","원주프뢰벨","2008-06-19 10:48:39","I","2023-06-13 00:00:00","","284124.423574889","425753.203190806","0","0","0","",
"1208","방문판매업","08_26_02_P","4191000","2004419015323200004","2004-03-19","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-748-3027","","220-793","강원특별자치도 원주시 태장동 ***번지 삼정백조아파트 ***동 ***호","","","웅이상회","2008-06-19 10:50:34","I","2023-06-13 00:00:00","","284767.524126103","431444.125058169","0","0","0","",
"1209","방문판매업","08_26_02_P","4191000","2004419015323200005","2004-03-20","2004-03-22","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-0633","","220-944","강원특별자치도 원주시 단구동 ****번지 *호","강원특별자치도 원주시 남원로 *** (단구동)","","쌍용자동차신원주판매대리점","2008-05-02 13:01:37","I","2023-06-13 00:00:00","","283876.595427365","425904.096989277","0","0","0","",
"1210","방문판매업","08_26_02_P","4191000","2004419015323200006","2007-03-20","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-0633","","220-935","강원특별자치도 원주시 단계동 ***번지 *호","강원특별자치도 원주시 북원로 **** (단계동)","","원주로하스건강생활","2011-08-30 14:39:04","I","2023-06-13 00:00:00","","282714.2032408","427775.398393822","0","0","0","",
"1211","방문판매업","08_26_02_P","4191000","2008419015323200036","2008-10-17","2011-07-21","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-4501","","220-947","강원특별자치도 원주시 명륜동 ***번지 **호","강원특별자치도 원주시 향교길 ** (명륜동)","","지에스씨 영농조합법인","2011-08-30 14:20:57","I","2023-06-13 00:00:00","","284031.54440283","426544.409675177","250000000","0","250000000","",
"1212","방문판매업","08_26_02_P","4191000","2004419015323200009","2004-06-18","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-746-9014","","220-963","강원특별자치도 원주시 학성동 ***번지 **호","강원특별자치도 원주시 송계*길 **-* (학성동)","","썬","2008-06-19 10:52:24","I","2023-06-13 00:00:00","","283151.237629135","428889.430418925","0","0","0","",
"1213","방문판매업","08_26_02_P","4191000","2004419015323200010","2004-06-19","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-746-6141","","220-956","강원특별자치도 원주시 일산동 ***번지 *호","강원특별자치도 원주시 원일로***번길 ** (일산동)","","백옥생원주중앙지사","2008-06-19 10:53:55","I","2023-06-13 00:00:00","","283881.740621124","427891.296637046","0","0","0","",
"1214","방문판매업","08_26_02_P","4191000","2004419015323200011","2004-07-09","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-735-1161","","220-802","강원특별자치도 원주시 문막읍 동화리 ****번지 *호 부영아파트 ***동 ***호","","","바비걸메이크업","2008-06-19 10:55:23","I","2023-06-13 00:00:00","","273511.362744973","425197.425551055","0","0","0","",
"1215","방문판매업","08_26_02_P","4191000","2004419015323200012","2004-07-14","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-745-5610","","220-963","강원특별자치도 원주시 학성동 ***번지 **호","강원특별자치도 원주시 원일로 *** (학성동)","","(주)아이즈밸리","2008-06-19 10:57:16","I","2023-06-13 00:00:00","","283748.311638137","428371.942857293","50000000","0","50000000","",
"1216","방문판매업","08_26_02_P","4191000","2004419015323200014","2004-07-28","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-765-5318","","220-070","강원특별자치도 원주시 인동 ***번지 **호","강원특별자치도 원주시 원일로 ** (인동)","","서진통상","2008-06-19 11:15:33","I","2023-06-13 00:00:00","","284394.503173561","427586.982097336","0","0","0","",
"1217","방문판매업","08_26_02_P","4191000","2004419015323200015","2004-08-03","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-732-0166","","220-836","강원특별자치도 원주시 소초면 흥양리 ***번지 *호","강원특별자치도 원주시 소초면 상초구길 **","","삼봉식품","2008-07-07 10:48:59","I","2023-06-13 00:00:00","","289504.254596186","431203.614583191","0","0","0","",
"1218","방문판매업","08_26_02_P","4191000","2004419015323200017","2004-10-12","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-762-0283","","220-776","강원특별자치도 원주시 명륜동 ***번지 대성현대아파트 ***동 ****호","","","예랑패션","2008-06-19 11:16:59","I","2023-06-13 00:00:00","","284132.141987679","426812.624137424","0","0","0","",
"1219","방문판매업","08_26_02_P","4191000","2004419015323200018","2004-10-22","2008-07-08","04","취소/말소/만료/정지/중지","04","직권취소","","","","","","","220-934","강원특별자치도 원주시 관설동 ****번지 *호","강원특별자치도 원주시 나비허리길 ** (관설동)","","승미유통","2008-07-07 10:50:46","I","2023-06-13 00:00:00","","285140.172616509","424878.299411235","0","0","0","",
"1220","방문판매업","08_26_02_P","4191000","2002419015323200003","2002-08-22","2008-06-19","04","취소/말소/만료/정지/중지","04","직권취소","","","","","033-761-6336","","220-944","강원특별자치도 원주시 단구동 ****번지 *호","강원특별자치도 원주시 늘품로 ** (단구동)","","가베스쿨","2008-06-19 09:57:22","I","2023-06-13 00:00:00","","284113.460621165","424869.941939162","0","0","0","",
"1221","방문판매업","08_26_02_P","4191000","2012419020323200042","2012-08-22","","04","취소/말소/만료/정지/중지","07","직권말소","","","","","033-731-3300","","220-030","강원특별자치도 원주시 학성동 ***번지 *호","강원특별자치도 원주시 원문로 ** (학성동)","","한국정보통신 (주)강원대리점","2018-08-30 10:14:06","I","2023-06-13 00:00:00","","283293.292101415","428735.176223647","0","0","0","",
"1222","방문판매업","08_26_02_P","4191000","2012419020323200046","2012-09-07","","04","취소/말소/만료/정지/중지","07","직권말소","","","","","","","","","강원특별자치도 원주시 나비허리길 ***, ***동 ***호 (관설동, 청솔*차아파트)","220-180","JK mobile (제이케이모바일)","2013-12-02 20:31:05","I","2023-06-13 00:00:00","","285585.793888962","424297.389932818","0","0","0","",
"1223","방문판매업","08_26_02_P","4191000","2012419020323200047","2012-09-12","","04","취소/말소/만료/정지/중지","07","직권말소","","","","","033-742-0692","","","","강원특별자치도 원주시 장미공원길 ** (단계동, 주차타워***호)","220-100","(주)은성","2016-03-22 15:17:32","I","2023-06-13 00:00:00","","282279.001468689","427568.366371032","300000000","0","0","",
"1224","방문판매업","08_26_02_P","4191000","2012419020323200048","2012-09-13","","04","취소/말소/만료/정지/중지","07","직권말소","","","","","033-765-8542","","","","강원특별자치도 원주시 평원로 * (중앙동, 중원빌딩*층)","220-010","천하메디칼","2013-12-09 15:17:21","I","2023-06-13 00:00:00","","284437.10455377","427711.846914481","0","0","0","",
