"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"1324","의원","01_01_02_P","4201000","PHMA120064200028041100006","2006-04-20","","01","영업/정상","13","영업중","","","","","033-648-9878","","210-060","강원특별자치도 강릉시 금학동 10번지 8호 중화당빌딩2층1호","강원특별자치도 강릉시 금성로22번길 10 (금학동)","25540","푸른내과의원","2021-03-30 16:20:25","I","2023-06-13 00:00:00","의원","367181.750687537","474187.997195301","의원","1","0","0","192.55","101","내과","","","","0","0","","","0","",
"1325","의원","01_01_02_P","4201000","PHMA119994200028041100011","1999-11-27","","01","영업/정상","13","영업중","","","","","033-651-2875","","210-953","강원특별자치도 강릉시 포남동 1187번지 용인빌딩2층","강원특별자치도 강릉시 하평길 46, 2층 (포남동)","25568","현대치과의원","2025-01-31 10:37:25","U","2025-02-02 02:40:00","치과의원","368540.804923038","475895.703392754","치과의원","1","0","0","115","407 406 403","치과보철과, 치주과, 치과보존과","","","","0","0","","","0","",
"1326","의원","01_01_02_P","4201000","PHMA120004200028041100001","2000-01-04","","01","영업/정상","13","영업중","","","","","033-661-6119","","","","강원특별자치도 강릉시 주문진읍 주문로 64","25418","한림정형외과의원","2023-07-14 08:43:22","U","2023-07-16 02:40:00","의원","360568.125437645","489017.094069014","의원","2","0","0","285","101 104 105 111 114 115","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"1327","의원","01_01_02_P","4201000","PHMA120164200028041100010","2016-11-04","","01","영업/정상","13","영업중","","","","","033-644-2131","","","","강원특별자치도 강릉시 교동광장로 105, 3층 (교동)","25512","아산마취통증의학과의원","2019-02-15 00:43:13","I","2023-06-13 00:00:00","의원","365277.155317842","475276.11528091","의원","1","0","0","265.42","109","마취통증의학과","","","","0","0","","","0","",
"1328","의원","01_01_02_P","4201000","PHMA120004200028041100005","2000-06-01","","01","영업/정상","13","영업중","","","","","033-641-6680","","","강원특별자치도 강릉시 임당동 112-1","강원특별자치도 강릉시 경강로 2109, 5층 (임당동)","25532","행복누리산부인과의원","2023-10-11 09:09:19","U","2023-10-14 02:40:00","의원","367111.831343426","474287.818576962","의원","1","7","7","1098.3","110","산부인과","","","","0","0","","","0","",
"1329","의원","01_01_02_P","4201000","PHMA120004200028041100006","2000-08-01","","01","영업/정상","13","영업중","","","","","033-653-7588","","210-943","강원특별자치도 강릉시 포남1동 1187번지 용인빌딩2층","강원특별자치도 강릉시 하평길 46 (포남동)","25568","한솔내과의원","2022-10-27 10:47:10","I","2023-06-13 00:00:00","의원","368540.804923038","475895.703392754","의원","1","0","0","0","101 111 113 105 114 115","내과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"1330","의원","01_01_02_P","4201000","PHMA120004200028041100009","2000-11-18","","01","영업/정상","13","영업중","","","","","033-642-3142","","210-933","강원특별자치도 강릉시 옥천동 188번지","강원특별자치도 강릉시 경강로 2117 (옥천동)","25531","연세플러스치과의원","2024-12-04 16:53:54","U","2024-12-06 02:40:00","치과의원","367192.032358276","474329.599212654","치과의원","1","0","0","121","411 409 406 405 404","치과교정과, 소아치과, 치주과, 영상치의학과, 예방치과","","","","0","0","","","0","",
"1331","의원","01_01_02_P","4201000","PHMA120004200028041100011","1988-01-01","","01","영업/정상","13","영업중","","","","","033-660-2340","","","","강원특별자치도 강릉시 왕산면 백두대간로 1991","25644","왕산보건지소","2022-01-16 12:49:57","I","2023-06-13 00:00:00","보건지소","362067.390414808","464920.498213611","보건지소","3","0","0","382.93","","","","","","0","0","","","0","",
"1332","의원","01_01_02_P","4201000","PHMA120004200028041100012","1983-03-29","","01","영업/정상","13","영업중","","","","","033-640-4431","","","강원특별자치도 강릉시 강동면 상시동리 157-1번지","강원특별자치도 강릉시 강동면 율곡로 2208","25620","강동보건지소","2022-01-16 12:44:56","I","2023-06-13 00:00:00","보건지소","372222.463251072","471308.4399023","보건지소","3","0","0","392.13","602","보건지소","","","","0","0","","","0","",
"1333","의원","01_01_02_P","4201000","PHMA120014200028041100001","2001-01-02","","01","영업/정상","13","영업중","","","","","033-645-0570","","","","강원특별자치도 강릉시 경강로 2097, 4층 (임당동, 원영빌딩)","25532","서울성형외과의원","2025-07-25 01:13:18","U","2025-07-27 02:40:00","의원","367027.876123664","474197.530827919","의원","2","0","0","0","108","성형외과","","","","0","0","","","0","",
"1334","의원","01_01_02_P","4201000","PHMA120014200028041100002","2001-02-24","","01","영업/정상","13","영업중","","","","","033-642-6429","","","강원특별자치도 강릉시 임당동 119-3 신영빌딩 2","강원특별자치도 강릉시 경강로 2100, 신영빌딩2관 6층 (임당동)","25540","한빛안과의원","2021-04-30 11:05:30","I","2023-06-13 00:00:00","의원","367081.629567027","474168.095625465","의원","1","0","0","378.12","112","안과","","","","0","0","","","0","",
"1335","의원","01_01_02_P","4201000","PHMA120014200028041100003","2001-03-27","","01","영업/정상","13","영업중","","","","","033-644-1075","","","강원특별자치도 강릉시 임당동 88-2","강원특별자치도 강릉시 문화의길8번길 18, 1~2층 (임당동)","25532","강릉한의원","2024-07-26 09:20:16","U","2024-07-28 02:40:00","한의원","367038.521571737","474267.819850286","한의원","2","0","0","317.76","301","한방내과","","","","0","0","","","0","",
"1336","의원","01_01_02_P","4201000","PHMA120014200028041100007","2001-06-11","","01","영업/정상","13","영업중","","","","","033-645-2875","","","","강원특별자치도 강릉시 경강로 2106 (임당동)","25540","영동치과의원","2024-10-25 17:07:45","U","2024-10-27 02:40:00","치과의원","367139.395198995","474208.39644644","치과의원","4","0","0","138","402 403 404 406 407 408 412","구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 통합치의학과","","","","0","0","","","0","",
"1337","의원","01_01_02_P","4201000","PHMA120014200028041100008","2001-07-23","","01","영업/정상","13","영업중","","","","","033-645-1729","","","강원특별자치도 강릉시 금학동 97-3","강원특별자치도 강릉시 금성로42번길 13, 2층 (금학동)","25539","수한의원","2023-01-21 08:48:27","I","2023-06-13 00:00:00","한의원","366977.72024926","474056.778968661","한의원","1","0","0","162.88","308 307 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과","","","","0","0","","","0","",
"1338","의원","01_01_02_P","4201000","PHMA120014200028041100012","2001-11-08","","01","영업/정상","13","영업중","","","","","033-662-1475","","210-806","강원특별자치도 강릉시 주문진읍 주문리 333번지 23호","강원특별자치도 강릉시 주문진읍 주문로 103","25414","성광용내과의원","2021-04-16 14:19:11","I","2023-06-13 00:00:00","의원","360625.351321406","489394.648917475","의원","1","0","0","0","101 111 113","내과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"1339","의원","01_01_02_P","4201000","PHMA120014200028041100013","2001-12-05","","01","영업/정상","13","영업중","","","","","033-641-8898","","","강원특별자치도 강릉시 교동 1854번지 2호 성심빌딩2층","강원특별자치도 강릉시 교동광장로 145, 2층 (교동, 성심빌딩)","25513","김동일내과의원","2020-12-09 17:40:32","I","2023-06-13 00:00:00","의원","365676.380757249","475202.244821534","의원","1","0","0","217.9","101 111 113 114 115","내과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"1340","의원","01_01_02_P","4201000","PHMA120024200028041100002","2002-03-19","","01","영업/정상","13","영업중","","","","","033-642-3733","","","","강원특별자치도 강릉시 옥가로 19 (옥천동)","25551","한빛한의원","2023-09-12 17:55:26","U","2023-09-14 02:40:00","한의원","367276.049025721","474542.00321725","한의원","1","0","0","130","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1341","의원","01_01_02_P","4201000","PHMA120024200028041100006","2002-10-01","","01","영업/정상","13","영업중","","","","","033-644-8256","","210-924","강원특별자치도 강릉시 교1동 1088번지 4호","강원특별자치도 강릉시 교동광장로 105 (교동)","25512","조소아청소년과의원","2017-09-05 18:36:46","I","2023-06-13 00:00:00","의원","365277.155317842","475276.11528091","의원","1","0","0","0","111","소아청소년과","","","","0","0","","","0","",
"1342","의원","01_01_02_P","4201000","PHMA120174200028041100002","2017-02-01","","01","영업/정상","13","영업중","","","","","033-646-0182","","","강원특별자치도 강릉시 임당동 114번지 2호","강원특별자치도 강릉시 경강로 2110, 3층 (임당동)","25540","청플러스비뇨기과의원","2017-09-05 18:36:47","I","2023-06-13 00:00:00","의원","367168.990388628","474231.992217697","의원","1","0","0","141.24","115","비뇨의학과","","","","0","0","","","0","",
"1343","의원","01_01_02_P","4201000","PHMA120174200028041100001","2017-01-17","","01","영업/정상","13","영업중","","","","","033-655-7522","","","","강원특별자치도 강릉시 솔올로5번길 40, 3층 (교동)","25515","연세재활의학과의원","2025-08-08 07:13:19","U","2025-08-10 02:40:00","의원","365199.458952565","475137.884682519","의원","2","0","0","332.68","120 109 105","정형외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"1344","의원","01_01_02_P","4201000","PHMA120174200028041100003","2017-03-28","","01","영업/정상","13","영업중","","","","","033-661-2325","","","강원특별자치도 강릉시 주문진읍 주문리 356번지 1호","강원특별자치도 강릉시 주문진읍 주문로 113","25410","혜현의원","2023-08-04 01:13:23","U","2023-08-06 02:40:00","의원","360678.750059824","489483.774239711","의원","1","0","0","179.78","122 115 114 111 101","내과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"1345","의원","01_01_02_P","4201000","PHMA119934200028041100001","1993-05-03","","01","영업/정상","13","영업중","","","","","033-662-8380","","210-806","강원특별자치도 강릉시 주문진읍 주문리 333번지 2호","강원특별자치도 강릉시 주문진읍 주문로 97","25414","에스엠 가정의학과의원","2024-01-12 00:13:17","U","2024-01-14 02:40:00","의원","360605.071565717","489360.130846274","의원","7","0","0","391","122 101 111 114 110 113","내과, 산부인과, 소아청소년과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"1346","의원","01_01_02_P","4201000","PHMA120054200028041100006","2005-07-29","","01","영업/정상","13","영업중","","","","","033-646-1688","","","","강원특별자치도 강릉시 주문진읍 주문로 62","25414","중인당한의원","2024-04-08 09:09:07","U","2024-04-10 02:40:00","한의원","360560.752528653","488991.214904333","한의원","2","0","0","268.11","301 302 303 304 305 306 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"1347","의원","01_01_02_P","4201000","PHMA120174200028041100004","2017-05-25","","01","영업/정상","13","영업중","","","","","033-646-2875","","","강원특별자치도 강릉시 임당동 1-8","강원특별자치도 강릉시 강릉대로228번길 4, 3~4층 (임당동)","25531","미시간치과의원","2024-10-17 23:43:15","U","2024-10-19 02:40:00","치과의원","366977.765325159","474567.823418999","치과의원","1","0","0","120","411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과","","","","0","0","","","0","",
"1348","의원","01_01_02_P","4201000","PHMA120174200028041100005","2017-05-26","","01","영업/정상","13","영업중","","","","","033-643-1075","","","","강원특별자치도 강릉시 토성로61번길 7, 1층 (홍제동)","25536","홍제부부한의원","2024-01-08 09:29:39","U","2024-01-10 02:40:00","한의원","365987.169454454","473806.917489091","한의원","2","0","0","208.21","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1349","의원","01_01_02_P","4201000","PHMA120004200028041100008","2000-09-20","","01","영업/정상","13","영업중","","","","","033-651-6008","","","","강원특별자치도 강릉시 강릉대로 385 (포남동)","25487","하나산부인과의원","2017-10-31 20:03:21","I","2023-06-13 00:00:00","의원","368038.797338864","475785.948331907","의원","1","0","0","328.48","110","산부인과","","","","0","0","","","0","",
"1350","의원","01_01_02_P","4201000","PHMA120064200028041100005","2006-03-24","","01","영업/정상","13","영업중","","","","","033-648-9768","","","","강원특별자치도 강릉시 경강로 2110, 4층 (임당동, 동아빌딩)","25540","연세항운외과의원","2021-04-02 07:13:14","I","2023-06-13 00:00:00","의원","367168.990388628","474231.992217697","의원","2","5","9","150.67","104","외과","","","","0","0","","","0","",
"1351","의원","01_01_02_P","4201000","PHMA120174200028041100006","2017-09-13","","01","영업/정상","13","영업중","","","","","033-655-1810","","","","강원특별자치도 강릉시 교동광장로 115, 2층 (교동)","25512","아가파퍼즐닥터의원","2025-05-16 02:43:18","U","2025-05-18 02:40:00","의원","365372.925192808","475262.033654472","의원","1","0","0","475.66","114 115","피부과, 비뇨의학과","","","","0","0","","","0","",
"1352","의원","01_01_02_P","4201000","PHMA120174200028041100010","2017-12-04","","01","영업/정상","13","영업중","","","","","033-645-7588","","","강원특별자치도 강릉시 임당동 141번지 1호","강원특별자치도 강릉시 경강로 2075, 3층 (임당동)","25533","강릉바른정형외과의원","2023-04-14 04:43:15","I","2023-06-13 00:00:00","의원","366874.358216962","474058.528605779","의원","2","0","0","256.8","120 114 113 111 109 108 107 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 재활의학과","","","","0","0","","","0","",
"1353","의원","01_01_02_P","4201000","PHMA120174200028041100008","2017-11-20","","01","영업/정상","13","영업중","","","","","033-655-7582","","","강원특별자치도 강릉시 임당동 112번지 1호","강원특별자치도 강릉시 경강로 2109, 6층 (임당동)","25532","연세마디의원","2020-11-25 17:05:50","I","2023-06-13 00:00:00","의원","367111.831343426","474287.818576962","의원","1","0","0","277","122 109","마취통증의학과, 가정의학과","","","","0","0","","","0","",
"1354","의원","01_01_02_P","4201000","PHMA120174200028041100009","2017-11-21","","01","영업/정상","13","영업중","","","","","033-643-8882","","","강원특별자치도 강릉시 노암동 664번지 2호","강원특별자치도 강릉시 남부로 147, 2층 (노암동)","25594","미소한의원","2025-04-24 20:43:17","U","2025-04-26 02:40:00","한의원","367110.229618925","472852.897202356","한의원","1","0","0","171.38","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1355","의원","01_01_02_P","4201000","PHMA120034200028041100005","2003-07-18","","01","영업/정상","13","영업중","","","","","033-648-1589","","","강원특별자치도 강릉시 옥천동 157번지 2호","강원특별자치도 강릉시 율곡로 2832 (옥천동)","25551","델포이내과의원","2023-01-13 00:43:26","I","2023-06-13 00:00:00","의원","367222.891583089","474433.04397448","의원","2","0","0","979.87","101 111 115 113 102","내과, 신경과, 소아청소년과, 이비인후과, 비뇨의학과","","","","0","0","","","0","",
"1356","의원","01_01_02_P","4201000","PHMA120184200028041100001","2018-02-05","","01","영업/정상","13","영업중","","","","","033-655-2275","","","","강원특별자치도 강릉시 선수촌로 77 (홍제동)","25522","스마일치과의원","2020-01-28 14:21:46","I","2023-06-13 00:00:00","치과의원","364722.783084877","474460.03571784","치과의원","1","0","0","159","402 403 404 405 406 407 408 409 410 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"1357","의원","01_01_02_P","4201000","PHMA120024200028041100015","2002-04-27","","01","영업/정상","13","영업중","","","","","033-648-7528","","","강원특별자치도 강릉시 임당동 86번지 원영빌딩4층","강원특별자치도 강릉시 경강로 2097 (임당동)","25532","이가편한미치과의원","2024-12-05 17:55:18","U","2024-12-07 02:40:00","치과의원","367027.876123664","474197.530827919","치과의원","2","0","0","124","412 411 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"1358","의원","01_01_02_P","4201000","PHMA120114200028041100006","2011-05-06","","01","영업/정상","13","영업중","","","","","033-641-6714","","210-924","강원특별자치도 강릉시 교동 1882번지 3호","강원특별자치도 강릉시 솔올로 25, 3층 (교동, 현진빌딩)","25515","한기철내과의원","2025-03-14 06:43:18","U","2025-03-16 02:40:00","의원","365383.307846683","475180.0651013","의원","1","0","0","467.3","101","내과","","","","0","0","","","0","",
"1359","의원","01_01_02_P","4201000","PHMA120114200028041100007","2011-05-06","","01","영업/정상","13","영업중","","","","","033-643-7575","","","","강원특별자치도 강릉시 신대학길 23, 6층 (금학동)","25539","강릉동양한의원","2024-05-22 14:32:12","U","2024-05-24 02:40:00","한의원","366980.160853631","474014.897627175","한의원","1","0","0","211.02","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1360","의원","01_01_02_P","4201000","PHMA119844200028041100006","1984-10-01","","01","영업/정상","13","영업중","","","","","033-535-3309","","","강원특별자치도 강릉시 옥계면 산계리 984-8번지","강원특별자치도 강릉시 옥계면 산계길 952-1","25645","산계보건진료소","2020-02-27 14:07:10","I","2023-06-13 00:00:00","보건진료소","371817.370836568","454317.223813628","보건진료소","1","0","0","153.9","603","보건진료소","","","","0","0","","","0","",
"1361","의원","01_01_02_P","4201000","PHMA119874200028041100001","1987-04-22","","01","영업/정상","13","영업중","","","","","033-653-4213","","210-953","강원특별자치도 강릉시 포남동 1290번지 1호","강원특별자치도 강릉시 하평1길 14 (포남동)","25566","이도현성형외과의원","2023-09-26 15:06:58","U","2023-09-29 02:40:00","의원","368355.278778637","475997.730400939","의원","2","0","0","313.1","108","성형외과","","","","0","0","","","0","",
"1362","의원","01_01_02_P","4201000","PHMA119874200028041100002","1987-05-08","","01","영업/정상","13","영업중","","","","","033-642-3327","","","","강원특별자치도 강릉시 범일로 604 (내곡동)","25604","관동치과의원","2024-10-11 02:43:16","U","2024-10-13 02:40:00","치과의원","365728.839823161","472674.040930889","치과의원","1","0","0","174","411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과","","","","0","0","","","0","",
"1363","의원","01_01_02_P","4201000","PHMA119874200028041100004","1987-05-29","","01","영업/정상","13","영업중","","","","","033-648-7644","","","","강원특별자치도 강릉시 강릉대로 158 (교동)","25528","보생한의원","2020-10-28 21:22:29","I","2023-06-13 00:00:00","한의원","366304.086452785","474391.072449877","한의원","1","0","0","42.84","301","한방내과","","","","0","0","","","0","",
"1364","의원","01_01_02_P","4201000","PHMA119884200028041100001","1988-03-07","","01","영업/정상","13","영업중","","","","","033-646-2630","","210-080","강원특별자치도 강릉시 임당동 81번지 6호","강원특별자치도 강릉시 경강로 2085 (임당동)","25533","정의흠외과의원","2020-06-02 10:38:33","I","2023-06-13 00:00:00","의원","366936.799756787","474110.374030365","의원","1","3","3","159.83","104","외과","","","","0","0","","","0","",
"1365","의원","01_01_02_P","4201000","PHMA119884200028041100002","1988-05-20","","01","영업/정상","13","영업중","","","","","033-643-5562","","","","강원특별자치도 강릉시 경강로 2068 (성내동)","25539","김재구치과의원","2024-10-28 15:54:19","U","2024-10-30 02:40:00","치과의원","366834.398845289","473970.054061805","치과의원","1","0","0","79","404","치과교정과","","","","0","0","","","0","",
"1366","의원","01_01_02_P","4201000","PHMA119894200028041100002","1989-04-24","","01","영업/정상","13","영업중","","","","","033-648-2902","","","","강원특별자치도 강릉시 신대학길 20 (금학동)","25539","행복이송송치과의원","2025-09-09 19:29:51","U","2025-09-11 02:40:00","치과의원","366980.360518498","473978.695040892","치과의원","2","0","0","151","402 403 404 405 406 407 408 409 410 411","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과","","","","0","0","","","0","",
"1367","의원","01_01_02_P","4201000","PHMA119894200028041100003","1989-06-01","","01","영업/정상","13","영업중","","","","","033-648-4611","","","","강원특별자치도 강릉시 금성로22번길 10 (금학동)","25540","중화당한의원","2024-06-12 16:38:01","U","2024-06-14 02:40:00","한의원","367165.371290817","474174.243293467","한의원","1","0","0","300.7","308 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"1368","의원","01_01_02_P","4201000","PHMA119904200028041100001","1990-02-28","","01","영업/정상","13","영업중","","","","","033-645-4082","","","강원특별자치도 강릉시 성남동 23-5","강원특별자치도 강릉시 율곡로 2796, 1층 (성남동)","25555","성심외과의원","2025-02-28 16:15:53","U","2025-03-02 02:40:00","의원","367476.183808079","474165.597903007","의원","1","2","2","192.83","104","외과","","","","0","0","","","0","",
"1369","의원","01_01_02_P","4201000","PHMA119904200028041100003","1990-04-06","","01","영업/정상","13","영업중","","","","","033-641-2208","","210-050","강원특별자치도 강릉시 성남동 40번지 1호","강원특별자치도 강릉시 금성로 7 (성남동)","25542","이승우치과의원","2024-12-06 09:05:06","U","2024-12-08 02:40:00","치과의원","367340.73818627","474162.673050026","치과의원","1","0","0","126","403","치과보철과","","","","0","0","","","0","",
"1370","의원","01_01_02_P","4201000","PHMA119904200028041100004","1990-04-06","","01","영업/정상","13","영업중","","","","","033-641-2304","","210-060","강원특별자치도 강릉시 금학동 10번지 2호","강원특별자치도 강릉시 금성로22번길 12 (금학동)","25540","김이비인후과의원","2020-12-29 15:20:04","I","2023-06-13 00:00:00","의원","367154.842723916","474188.797937434","의원","1","0","0","155.17","113 111 101 112","내과, 소아청소년과, 안과, 이비인후과","","","","0","0","","","0","",
"1371","의원","01_01_02_P","4201000","PHMA119904200028041100005","1990-04-26","","01","영업/정상","13","영업중","","","","","033-661-3342","","210-804","강원특별자치도 강릉시 주문진읍 교항리 181번지 29호","강원특별자치도 강릉시 주문진읍 주문로 68-1","25418","권혁태치과의원","2024-12-04 15:36:12","U","2024-12-06 02:40:00","치과의원","360560.644909655","489060.214686559","치과의원","1","0","0","148","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"1372","의원","01_01_02_P","4201000","PHMA120114200028041100008","2011-07-11","","01","영업/정상","13","영업중","","","","","033-649-3610","","","강원특별자치도 강릉시 학동 334번지 5호 사서함","강원특별자치도 강릉시 성덕로 334-34 (학동)","25617","공군제18전비항공의무대대의원","2023-05-05 11:03:50","I","2023-06-13 00:00:00","의원","","","의원","3","0","0","0","101","내과","","","","0","0","","","0","",
"1373","의원","01_01_02_P","4201000","PHMA120114200028041100010","2011-08-26","","01","영업/정상","13","영업중","","","","","033-653-8767","","","","강원특별자치도 강릉시 성덕포남로 66, 나동 3층 (입암동)","25576","행복한내과의원","2018-12-28 14:43:01","I","2023-06-13 00:00:00","의원","369000.601001989","474873.480720024","의원","3","0","0","266.55","101 102 111 113 114 115","내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"1374","의원","01_01_02_P","4201000","PHMA120124200028041100004","2012-08-28","","01","영업/정상","13","영업중","","","","","033-662-6200","","","","강원특별자치도 강릉시 임영로116번길 3 (성내동)","25539","노승현경희한의원","2020-03-26 15:20:50","I","2023-06-13 00:00:00","한의원","366869.390612864","473874.034029938","한의원","1","0","0","230.32","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1375","의원","01_01_02_P","4201000","PHMA120124200028041100003","2012-06-22","","01","영업/정상","13","영업중","","","","","033-644-4888","","210-924","강원특별자치도 강릉시 교동 1883번지 2호","강원특별자치도 강릉시 교동광장로 106, 5층 (교동, 화영빌딩)","25515","정원치과의원","2024-12-04 16:46:29","U","2024-12-06 02:40:00","치과의원","365245.380196252","475206.646155212","치과의원","1","0","0","188","411 410 408 407 406 403 402","구강악안면외과, 치과보철과, 치주과, 치과보존과, 구강내과, 구강병리과, 예방치과","","","","0","0","","","0","",
"1376","의원","01_01_02_P","4201000","PHMA120124200028041100005","2012-09-07","","01","영업/정상","13","영업중","","","","","033-643-7114","","210-922","강원특별자치도 강릉시  723번지 7호","강원특별자치도 강릉시 율곡로 2982-6 (교동)","25490","세가온산부인과의원","2019-05-07 09:01:48","I","2023-06-13 00:00:00","의원","366678.684068832","475654.262415356","의원","11","20","29","1704.91","110 111 115 109 101","내과, 마취통증의학과, 산부인과, 소아청소년과, 비뇨의학과","","","","0","0","","","0","",
"1377","의원","01_01_02_P","4201000","PHMA120124200028041100006","2012-09-21","","01","영업/정상","13","영업중","","","","","033-648-8075","","","","강원특별자치도 강릉시 토성로 125-1 (용강동)","25528","사임당 한의원","2024-04-01 09:29:48","U","2024-04-03 02:40:00","한의원","366547.557890821","474109.16289024","한의원","1","0","0","115.7","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1378","의원","01_01_02_P","4201000","PHMA120124200028041100007","2012-10-31","","01","영업/정상","13","영업중","","","","","033-646-2048","","","","강원특별자치도 강릉시 금성로 38, 2층 (금학동)","25540","용한의원","2022-12-27 10:39:32","I","2023-06-13 00:00:00","한의원","367085.510305486","474006.013215017","한의원","1","0","0","257.32","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"1379","의원","01_01_02_P","4201000","PHMA120124200028041100008","2012-11-27","","01","영업/정상","13","영업중","","","","","033-644-7528","","","","강원특별자치도 강릉시 솔올로 25 (교동)","25515","아라치과의원","2025-05-26 17:17:06","U","2025-05-28 02:40:00","치과의원","365383.307846683","475180.0651013","치과의원","2","0","0","184","402 403 404 405 406 407 408 409 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"1380","의원","01_01_02_P","4201000","PHMA120134200028041100003","2013-05-03","","01","영업/정상","13","영업중","","","","","033-642-7528","","210-713","강원특별자치도 강릉시 포남동 1193번지 1호","강원특별자치도 강릉시 하평길 56, 2층 (포남동, 우호빌딩)","25568","굿모닝치과의원","2024-12-04 15:45:18","U","2024-12-06 02:40:00","치과의원","368638.300706203","475860.454003571","치과의원","1","0","0","231","412 411 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"1381","의원","01_01_02_P","4201000","PHMA120134200028041100002","2013-04-26","","01","영업/정상","13","영업중","","","","","033-643-7711","","","","강원특별자치도 강릉시 경강로 2110, 4층 (임당동, 동아빌딩)","25540","햇살정신건강의학과의원","2020-01-28 14:24:06","I","2023-06-13 00:00:00","의원","367168.990388628","474231.992217697","의원","1","0","0","112.32","103","정신건강의학과","","","","0","0","","","0","",
