"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"132","치과기공소","01_02_04_P","4241000","PHMB320164240025062300001","2016-02-05","","01","영업/정상","13","영업중","","","","","033-573-2804","","","강원특별자치도 삼척시 남양동 34번지 20호 남양상가","강원특별자치도 삼척시 진주로 28-25, 남양상가 (남양동)","25920","이건각치과기공소","2017-12-13 11:09:03","I","2023-06-13 00:00:00","","391495.415951101","440085.730299567","1","1","4","1","1","2","1","1","1","1","1","1","2","1","1",
"133","치과기공소","01_02_04_P","4241000","PHMB320214240025062300001","2021-04-05","","01","영업/정상","13","영업중","","","","","033-575-3325","","","강원특별자치도 삼척시 교동 744-8 뚜레주르","강원특별자치도 삼척시 청석로 63, 뚜레주르 (교동)","25924","서울미담치과기공소","2021-04-05 15:53:55","I","2023-06-13 00:00:00","","392466.29997789","440668.197464025","1","1","4","1","1","2","3","1","1","2","1","1","1","1","1",
"134","치과기공소","01_02_04_P","4251000","PHMB320154250013062300001","2015-12-31","","03","폐업","03","폐업","2019-05-10","","","","","","","","강원특별자치도 홍천군 홍천읍 진삼거리길 27","25133","수치과기공소","2019-05-15 08:42:34","I","2023-06-13 00:00:00","","278476.683883097","465938.543380317","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1",
"135","치과기공소","01_02_04_P","4251000","PHMB320044250013062300001","2004-08-07","","01","영업/정상","13","영업중","","","","","033-433-2879","","","","강원특별자치도 홍천군 홍천읍 희망로14길 4-3","25133","홍천치과기공소","2016-07-13 13:28:41","I","2023-06-13 00:00:00","","278430.339113186","466047.654380062","1","1","3","1","1","2","1","1","1","2","1","1","1","1","1",
"136","치과기공소","01_02_04_P","4251000","PHMB320084250013062300001","2008-07-04","","01","영업/정상","13","영업중","","","","","033-433-7597","","250-809","강원특별자치도 홍천군 홍천읍 희망리 327번지 28호 (2층)","강원특별자치도 홍천군 홍천읍 번영로 19 ((2층))","25136","엠제이치과기공소","2024-06-05 14:19:46","U","2024-06-08 02:40:00","","277762.761222242","465635.81897142","1","1","4","1","1","2","10","1","1","1","1","0","0","0","0",
"137","치과기공소","01_02_04_P","4251000","PHMB320084250013062300002","2008-08-08","","01","영업/정상","13","영업중","","","","","033-433-3900","","250-809","강원특별자치도 홍천군 홍천읍 희망리 54번지 1호","강원특별자치도 홍천군 홍천읍 희망진리길 6","","미소치과기공소","2010-03-22 17:30:04","I","2023-06-13 00:00:00","","278236.846669115","465982.107295001","1","1","3","1","2","1","1","1","1","1","1","0","0","0","0",
"138","치과기공소","01_02_04_P","4251000","PHMB320104250013062300001","2010-03-22","","01","영업/정상","13","영업중","","","","","033-436-2082","","250-808","강원특별자치도 홍천군 홍천읍 진리 102번지 3호 (3층)","강원특별자치도 홍천군 홍천읍 꽃뫼로 137, 3층","25133","연치과기공소","2013-11-25 17:20:51","I","2023-06-13 00:00:00","","278347.661148513","465868.319784809","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1",
"139","치과기공소","01_02_04_P","4261000","PHMB320104260015062300001","2010-11-23","","03","폐업","03","폐업","2011-11-23","","","","033-343-8644","","225-807","강원특별자치도 횡성군 횡성읍 읍상리 278번지 6호  (2층)","강원특별자치도 횡성군 횡성읍 문정로 41","225-807","수치과기공소","2013-12-16 17:43:40","I","2023-06-13 00:00:00","","287311.138342842","443445.10530772","1","1","2","2","1","1","1","1","1","2","1","1","1","1","1",
"140","치과기공소","01_02_04_P","4261000","PHMB320124260015062300001","2012-09-25","","03","폐업","03","폐업","2013-05-03","","","","033-342-2882","","225-807","강원특별자치도 횡성군 횡성읍 읍상리 385번지 8호","강원특별자치도 횡성군 횡성읍 읍상서로 20, 3층","225-807","횡성치과기공소","2013-05-03 15:31:25","I","2023-06-13 00:00:00","","287302.23957883","443632.039904313","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"141","치과기공소","01_02_04_P","4261000","PHMB320154260015062300001","2015-05-06","","03","폐업","03","폐업","2015-06-09","","","","033-343-5230","","","","강원특별자치도 횡성군 횡성읍 화성로 3","225-807","미소치과기공소","2015-06-09 10:50:36","I","2023-06-13 00:00:00","","287284.402647475","443715.772833354","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"142","치과기공소","01_02_04_P","4261000","PHMB320154260015062300002","2015-11-03","","03","폐업","03","폐업","2016-03-28","","","","","","","강원특별자치도 횡성군 횡성읍 읍상리 386번지 29호","강원특별자치도 횡성군 횡성읍 태기로 31, 3층","25221","예 치과기공소","2016-03-28 17:20:44","I","2023-06-13 00:00:00","","287223.661855901","443673.942739006","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"143","치과기공소","01_02_04_P","4271000","PHMB320134270014062300001","2013-01-09","","03","폐업","03","폐업","2014-06-03","","","","","","230-803","강원특별자치도 영월군 영월읍 영흥리 956번지 7호","강원특별자치도 영월군 영월읍 중앙1로 56","230-803","동강 치과기공소","2014-06-03 17:24:51","I","2023-06-13 00:00:00","","330112.558501012","410364.850260763","1","1","3","1","1","2","1","1","2","1","1","2","1","1","1",
"144","치과기공소","01_02_04_P","4271000","PHMB320114270014062300001","2011-03-24","","01","영업/정상","13","영업중","","","","","373-2804","","230-880","강원특별자치도 영월군 영월읍 하송3리 184번지 71호","강원특별자치도 영월군 영월읍 하송안길 21","26235","인트로 치과기공소","2013-12-26 09:16:13","I","2023-06-13 00:00:00","","329953.534944662","409826.80126275","1","1","4","1","1","1","2","1","1","1","1","1","1","1","1",
"145","치과기공소","01_02_04_P","4281000","PHMB320104280009062300001","2010-04-16","","01","영업/정상","13","영업중","","","","","070-4127-2804","","","강원특별자치도 평창군 평창읍 하리 148번지 10호","강원특별자치도 평창군 평창읍 노성로 225-15, 가동 304호","25375","강원도 어디즈음 치과기공소","2015-10-06 10:51:56","I","2023-06-13 00:00:00","","324216.007126623","430660.280447709","1","1","3","1","1","2","2","1","1","1","1","1","2","2","1",
"146","치과기공소","01_02_04_P","4301000","PHMB320024300012062300001","2002-04-19","","01","영업/정상","13","영업중","","","","","033-455-6782","","","강원특별자치도 철원군 동송읍 이평리 838번지 14호","강원특별자치도 철원군 동송읍 금학로187번안길 11-2","24018","철원치과기공소","2015-11-03 10:58:52","I","2023-06-13 00:00:00","","219016.138650975","522487.551398553","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"147","치과기공소","01_02_04_P","4301000","PHMB320124300012062300001","2012-01-10","","01","영업/정상","13","영업중","","","","","033-455-2804","","","강원특별자치도 철원군 철원읍 화지리 40번지 58호 만수건강원","강원특별자치도 철원군 철원읍 금학로 265, 만수건강원","24006","예담치과기공소","2018-01-20 11:07:18","I","2023-06-13 00:00:00","","218798.207164247","523220.854569585","1","1","3","1","1","1","1","1","1","1","1","1","2","1","1",
"148","치과기공소","01_02_04_P","4321000","PHMB320194320010062300001","2019-01-07","","03","폐업","03","폐업","2019-03-27","","","","033-481-2885","","","강원특별자치도 양구군 양구읍 상리 206번지 1호","강원특별자치도 양구군 양구읍 양구새싹로 27, 2층","24535","정중앙 치과기공소","2019-04-01 14:11:54","I","2023-06-13 00:00:00","","286624.192218804","511548.912274914","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"149","치과기공소","01_02_04_P","4331000","PHMB320174330012062300001","2017-05-14","","03","폐업","03","폐업","2021-05-10","","","","033-463-2804","","","","강원특별자치도 인제군 인제읍 인제로 208","24635","정밀치과기공소","2021-05-10 15:56:44","I","2023-06-13 00:00:00","","302889.282025715","508051.371877937","1","1","3","1","1","3","2","1","1","1","1","2","3","1","1",
"150","치과기공소","01_02_04_P","4341000","PHMB320074340013062300001","2007-01-02","","03","폐업","03","폐업","2011-01-14","","","","","","219-832","강원특별자치도 고성군 토성면 봉포리 305번지","강원특별자치도 고성군 토성면 봉포4길 32-11","","마루치과기공소","2013-01-22 14:33:26","I","2023-06-13 00:00:00","","336462.297400992","528828.098870645","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"151","치과기공소","01_02_04_P","4351000","PHMB320194350012062300002","2019-12-11","","03","폐업","03","폐업","2024-07-31","","","","033-671-3105","","","강원특별자치도 양양군 양양읍 남문리 145번지 1호 현산빌딩 502호","강원특별자치도 양양군 양양읍 양양로 77-1, 5층 502호","25030","베스트 치과기공소","2024-12-23 14:32:23","U","2024-12-25 02:40:00","","342148.304101647","509209.74565792","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"152","치과기공소","01_02_04_P","4351000","PHMB319954350012062300001","1995-08-08","","01","영업/정상","13","영업중","","","","","033-672-2884","","215-804","강원특별자치도 양양군 양양읍 남문2리 359번지 11호 (2층)","강원특별자치도 양양군 양양읍 양양로 110, 2층","25024","바른치과기공소","2023-05-08 10:06:12","I","2023-06-13 00:00:00","","341863.020550001","509091.268066827","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"153","치과기공소","01_02_04_P","4351000","PHMB320194350012062300001","2019-12-11","","01","영업/정상","13","영업중","","","","","033-671-0815","","","강원특별자치도 양양군 양양읍 남문리 145번지 1호 현산빌딩 501호","강원특별자치도 양양군 양양읍 양양로 77-1, 현산빌딩 5층 501호","25030","스마트 치과기공소","2020-11-05 17:40:18","I","2023-06-13 00:00:00","","342148.304101647","509209.74565792","1","1","2","1","1","1","2","1","1","1","1","1","2","1","1",
"154","치과기공소","01_02_04_P","4351000","PHMB320204350012062300001","2020-03-17","","01","영업/정상","13","영업중","","","","","033-672-7204","","","강원특별자치도 양양군 양양읍 남문리 78번지 3호 삼강빌딩 402호","강원특별자치도 양양군 양양읍 양양로 75, 삼강빌딩 402호","25030","D-one(디 원) 치과기공소","2020-11-05 17:41:23","I","2023-06-13 00:00:00","","342187.582298586","509216.451512924","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
